dt,volume
2010-01-04,167389414
2010-01-05,125279569
2010-01-06,251082592
2010-01-07,201438510
2010-01-08,126559130
2010-01-11,153449591
2010-01-12,203663482
2010-01-13,162037152
2010-01-14,109388696
2010-01-15,231887919
2010-01-19,196733742
2010-01-20,173214867
2010-01-21,270455013
2010-01-22,178906607
2010-01-25,190940583
2010-01-26,168191833
2010-01-27,154738241
2010-01-28,204017287
2010-01-29,311488233
2010-02-01,127002221
2010-02-02,139368649
2010-02-03,146857076
2010-02-04,144352575
2010-02-05,182805076
2010-02-08,133533793
2010-02-09,180631473
2010-02-10,115305321
2010-02-11,213011404
2010-02-12,184870538
2010-02-16,164269996
2010-02-17,97516079
2010-02-18,103248405
2010-02-19,176868009
2010-02-22,162571892
2010-02-23,184235794
2010-02-24,217707063
2010-02-25,231835910
2010-02-26,174301883
2010-03-01,135746261
2010-03-02,155533064
2010-03-03,136091725
2010-03-04,127828894
2010-03-05,142650964
2010-03-08,160878554
2010-03-09,172363965
2010-03-10,166254565
2010-03-11,184761498
2010-03-12,189948291
2010-03-15,164310342
2010-03-16,132276190
2010-03-17,677174680
2010-03-18,109197437
2010-03-19,204669104
2010-03-22,118828679
2010-03-23,107873800
2010-03-24,143326355
2010-03-25,160445286
2010-03-26,133634441
2010-03-29,162098280
2010-03-30,139726215
2010-03-31,100560773
2010-04-01,233467305
2010-04-05,111386475
2010-04-06,135996993
2010-04-07,160794361
2010-04-08,116827112
2010-04-09,126169151
2010-04-12,130364862
2010-04-13,101962421
2010-04-14,147556312
2010-04-15,109968483
2010-04-16,224591789
2010-04-19,114896309
2010-04-20,149790047
2010-04-21,207653964
2010-04-22,170696571
2010-04-23,126293273
2010-04-26,142099440
2010-04-27,204576943
2010-04-28,164541691
2010-04-29,120369524
2010-04-30,158352499
2010-05-03,117618310
2010-05-04,187039805
2010-05-05,176958625
2010-05-06,304878226
2010-05-07,346636588
2010-05-10,312397494
2010-05-11,191342166
2010-05-12,199133356
2010-05-13,119069637
2010-05-14,243444226
2010-05-17,228821958
2010-05-18,233977572
2010-05-19,239328897
2010-05-20,269940191
2010-05-21,470816021
2010-05-24,250662183
2010-05-25,354492642
2010-05-26,269795930
2010-05-27,200980362
2010-05-28,234986312
2010-06-01,233766259
2010-06-02,223592101
2010-06-03,196013004
2010-06-04,318794054
2010-06-07,301387626
2010-06-08,250893738
2010-06-09,355453491
2010-06-10,369714228
2010-06-11,263910261
2010-06-14,339341135
2010-06-15,189492124
2010-06-16,126809273
2010-06-17,185827620
2010-06-18,217076694
2010-06-21,156027512
2010-06-22,137395371
2010-06-23,171698914
2010-06-24,169393278
2010-06-25,188591637
2010-06-28,778269320
2010-06-29,349685520
2010-06-30,235795132
2010-07-01,228307221
2010-07-02,132656957
2010-07-06,173997743
2010-07-07,190970985
2010-07-08,241584229
2010-07-09,216432345
2010-07-12,136177006
2010-07-13,151197141
2010-07-14,123804868
2010-07-15,134375274
2010-07-16,201846917
2010-07-19,115717287
2010-07-20,133971926
2010-07-21,191696652
2010-07-22,212547280
2010-07-23,256822811
2010-07-26,197079797
2010-07-27,159161845
2010-07-28,111649276
2010-07-29,125852684
2010-07-30,118258153
2010-08-02,152206995
2010-08-03,123494854
2010-08-04,149494969
2010-08-05,91353237
2010-08-06,111261403
2010-08-09,83063756
2010-08-10,98354829
2010-08-11,171180610
2010-08-12,135777627
2010-08-13,75570474
2010-08-16,117564916
2010-08-17,173334412
2010-08-18,244140304
2010-08-19,172537480
2010-08-20,154254624
2010-08-23,150200338
2010-08-24,187312753
2010-08-25,135872428
2010-08-26,157587114
2010-08-27,206019658
2010-08-30,149733718
2010-08-31,228461909
2010-09-01,192423841
2010-09-02,112039786
2010-09-03,163606758
2010-09-07,199757438
2010-09-08,164680703
2010-09-09,140804289
2010-09-10,176733053
2010-09-13,168085281
2010-09-14,144602641
2010-09-15,128195033
2010-09-16,162092408
2010-09-17,170079365
2010-09-20,118197586
2010-09-21,117938097
2010-09-22,131340748
2010-09-23,173241763
2010-09-24,179673532
2010-09-27,132228360
2010-09-28,163530632
2010-09-29,136762063
2010-09-30,176733251
2010-10-01,250997940
2010-10-04,109292768
2010-10-05,315427784
2010-10-06,175640539
2010-10-07,177310208
2010-10-08,124329837
2010-10-11,115345195
2010-10-12,141257225
2010-10-13,156683475
2010-10-14,106965445
2010-10-15,157404087
2010-10-18,104837051
2010-10-19,130276142
2010-10-20,164117467
2010-10-21,149368808
2010-10-22,89629996
2010-10-25,133000729
2010-10-26,96020470
2010-10-27,134364843
2010-10-28,127370397
2010-10-29,134560026
2010-11-01,190979379
2010-11-02,125335051
2010-11-03,102533521
2010-11-04,161211530
2010-11-05,119543166
2010-11-08,133207051
2010-11-09,163190739
2010-11-10,330451208
2010-11-11,158280284
2010-11-12,280809823
2010-11-15,141542847
2010-11-16,213471342
2010-11-17,123921345
2010-11-18,122072952
2010-11-19,137590359
2010-11-22,135528935
2010-11-23,156407066
2010-11-24,116811738
2010-11-26,70932678
2010-11-29,166009079
2010-11-30,181541390
2010-12-01,198862287
2010-12-02,276451866
2010-12-03,188712661
2010-12-06,129825949
2010-12-07,137075540
2010-12-08,116090148
2010-12-09,159038832
2010-12-10,144386755
2010-12-13,140551174
2010-12-14,82953606
2010-12-15,102473439
2010-12-16,73817871
2010-12-17,141227334
2010-12-20,117743668
2010-12-21,116262675
2010-12-22,102626455
2010-12-23,112890793
2010-12-27,70374720
2010-12-28,65955121
2010-12-29,62884887
2010-12-30,62678097
2010-12-31,44407746
2011-01-03,130599494
2011-01-04,171257586
2011-01-05,161271368
2011-01-06,114537752
2011-01-07,144741659
2011-01-10,179864438
2011-01-11,162751514
2011-01-12,156850176
2011-01-13,99191192
2011-01-14,99842274
2011-01-18,130993682
2011-01-19,115919177
2011-01-20,121153922
2011-01-21,148423072
2011-01-24,140711464
2011-01-25,133616619
2011-01-26,127089272
2011-01-27,206911121
2011-01-28,144444693
2011-01-31,196191544
2011-02-01,195403168
2011-02-02,120435026
2011-02-03,174101444
2011-02-04,115493924
2011-02-07,106079260
2011-02-08,97659835
2011-02-09,82932601
2011-02-10,99249129
2011-02-11,124589535
2011-02-14,114276811
2011-02-15,94276110
2011-02-16,128016363
2011-02-17,174385268
2011-02-18,124894171
2011-02-22,144557602
2011-02-23,125098978
2011-02-24,117856769
2011-02-25,94921779
2011-02-28,141625197
2011-03-01,171974676
2011-03-02,143690608
2011-03-03,216277382
2011-03-04,125299583
2011-03-07,127655212
2011-03-08,99630639
2011-03-09,99386061
2011-03-10,130020487
2011-03-11,155800718
2011-03-14,122765055
2011-03-15,159230454
2011-03-16,167394242
2011-03-17,138277294
2011-03-18,206290067
2011-03-21,143668099
2011-03-22,156728585
2011-03-23,109066207
2011-03-24,153083810
2011-03-25,116625377
2011-03-28,359739765
2011-03-29,99204325
2011-03-30,119742947
2011-03-31,100950306
2011-04-01,100027601
2011-04-04,88249026
2011-04-05,106568345
2011-04-06,89060430
2011-04-07,134127499
2011-04-08,127357283
2011-04-11,159299939
2011-04-12,145932899
2011-04-13,95798153
2011-04-14,94750080
2011-04-15,144524061
2011-04-18,174469707
2011-04-19,196127991
2011-04-20,215409806
2011-04-21,144808617
2011-04-25,94200388
2011-04-26,123960604
2011-04-27,134348309
2011-04-28,124664398
2011-04-29,123232806
2011-05-02,92373368
2011-05-03,119906111
2011-05-04,111033086
2011-05-05,96967303
2011-05-06,149130030
2011-05-09,85265745
2011-05-10,105251344
2011-05-11,81313705
2011-05-12,86088991
2011-05-13,99247696
2011-05-16,627559650
2011-05-17,164312089
2011-05-18,87388340
2011-05-19,90967883
2011-05-20,116622922
2011-05-23,189663697
2011-05-24,97852752
2011-05-25,117280403
2011-05-26,178014795
2011-05-27,80492636
2011-05-31,121919479
2011-06-01,119027648
2011-06-02,150142824
2011-06-03,382632259
2011-06-06,124228989
2011-06-07,109795863
2011-06-08,125165003
2011-06-09,127699348
2011-06-10,143130810
2011-06-13,141710379
2011-06-14,128478441
2011-06-15,174186950
2011-06-16,153775609
2011-06-17,150403375
2011-06-20,100521056
2011-06-21,120534748
2011-06-22,147667284
2011-06-23,173252895
2011-06-24,117835324
2011-06-27,112178726
2011-06-28,312850648
2011-06-29,251091180
2011-06-30,164387175
2011-07-01,130940948
2011-07-05,186572224
2011-07-06,121164158
2011-07-07,101903121
2011-07-08,110925874
2011-07-11,153754765
2011-07-12,132115299
2011-07-13,87463520
2011-07-14,106248373
2011-07-15,144668208
2011-07-18,93267791
2011-07-19,116938093
2011-07-20,280101329
2011-07-21,149724713
2011-07-22,126321744
2011-07-25,153866165
2011-07-26,96415260
2011-07-27,124577472
2011-07-28,125090355
2011-07-29,172833999
2011-08-01,210227529
2011-08-02,151750586
2011-08-03,201436982
2011-08-04,272665826
2011-08-05,368993056
2011-08-08,526187588
2011-08-09,628591401
2011-08-10,481223227
2011-08-11,261170154
2011-08-12,188941214
2011-08-15,137633494
2011-08-16,134596838
2011-08-17,163165904
2011-08-18,220634878
2011-08-19,248567403
2011-08-22,146344577
2011-08-23,165884829
2011-08-24,101040185
2011-08-25,167574667
2011-08-26,173252530
2011-08-29,101673563
2011-08-30,132671453
2011-08-31,131615096
2011-09-01,129521361
2011-09-02,118431010
2011-09-06,195560656
2011-09-07,131934596
2011-09-08,134039035
2011-09-09,228005242
2011-09-12,165893299
2011-09-13,168722588
2011-09-14,207512158
2011-09-15,159123725
2011-09-16,233150090
2011-09-19,95917539
2011-09-20,122630981
2011-09-21,170689112
2011-09-22,250406470
2011-09-23,147980655
2011-09-26,141878563
2011-09-27,341090447
2011-09-28,116582887
2011-09-29,114563915
2011-09-30,262603511
2011-10-03,188990445
2011-10-04,223227086
2011-10-05,145431995
2011-10-06,126597547
2011-10-07,152987449
2011-10-10,142009824
2011-10-11,157497273
2011-10-12,182710204
2011-10-13,121081672
2011-10-14,115118053
2011-10-17,90609165
2011-10-18,103182417
2011-10-19,114966242
2011-10-20,157213644
2011-10-21,208663237
2011-10-24,146085191
2011-10-25,213846665
2011-10-26,167277472
2011-10-27,271027943
2011-10-28,149874305
2011-10-31,188950424
2011-11-01,245861928
2011-11-02,133878140
2011-11-03,160043623
2011-11-04,87599715
2011-11-07,101420533
2011-11-08,113743240
2011-11-09,145965292
2011-11-10,117177283
2011-11-11,101804799
2011-11-14,84584577
2011-11-15,104317758
2011-11-16,126497448
2011-11-17,122635766
2011-11-18,153237772
2011-11-21,156744222
2011-11-22,137247629
2011-11-23,111782930
2011-11-25,24177562
2011-11-28,143824899
2011-11-29,167351775
2011-11-30,160234290
2011-12-01,191575279
2011-12-02,152963963
2011-12-05,143137488
