dt,volume
2010-01-04,57442636
2010-01-05,86672903
2010-01-06,155065081
2010-01-07,79584329
2010-01-08,58845851
2010-01-11,62995359
2010-01-12,142189063
2010-01-13,106218018
2010-01-14,58552067
2010-01-15,86593609
2010-01-19,61211361
2010-01-20,63836025
2010-01-21,86178616
2010-01-22,54692388
2010-01-25,47467502
2010-01-26,74055075
2010-01-27,52136419
2010-01-28,102381396
2010-01-29,70554378
2010-02-01,47174295
2010-02-02,68580036
2010-02-03,76687749
2010-02-04,61773618
2010-02-05,56234099
2010-02-08,57548748
2010-02-09,74467043
2010-02-10,81495821
2010-02-11,86498026
2010-02-12,61047339
2010-02-16,62839529
2010-02-17,70586466
2010-02-18,65053017
2010-02-19,65914323
2010-02-22,57359349
2010-02-23,62623282
2010-02-24,57358825
2010-02-25,71545118
2010-02-26,39309612
2010-03-01,50970699
2010-03-02,77328483
2010-03-03,40998315
2010-03-04,51203923
2010-03-05,65322485
2010-03-08,34563270
2010-03-09,45528224
2010-03-10,58998686
2010-03-11,45080951
2010-03-12,187559189
2010-03-15,60014587
2010-03-16,54778461
2010-03-17,49592882
2010-03-18,115093945
2010-03-19,68961488
2010-03-22,72945568
2010-03-23,53878577
2010-03-24,103563250
2010-03-25,56315838
2010-03-26,57613652
2010-03-29,50585392
2010-03-30,40678755
2010-03-31,52406562
2010-04-01,181029507
2010-04-05,66245910
2010-04-06,46946769
2010-04-07,75472913
2010-04-08,38847304
2010-04-09,65862501
2010-04-12,39448858
2010-04-13,60376169
2010-04-14,154831764
2010-04-15,67307145
2010-04-16,81160588
2010-04-19,85094842
2010-04-20,66786049
2010-04-21,64619273
2010-04-22,59308502
2010-04-23,60507194
2010-04-26,82788520
2010-04-27,106398810
2010-04-28,87927939
2010-04-29,73868358
2010-04-30,65023559
2010-05-03,48453744
2010-05-04,71518475
2010-05-05,91554236
2010-05-06,99678448
2010-05-07,140275500
2010-05-10,87831307
2010-05-11,48903600
2010-05-12,73349652
2010-05-13,46604197
2010-05-14,59636683
2010-05-17,47289589
2010-05-18,98834952
2010-05-19,68223467
2010-05-20,76821974
2010-05-21,71311197
2010-05-24,55807751
2010-05-25,85732509
2010-05-26,55541542
2010-05-27,80918920
2010-05-28,40557925
2010-06-01,43624905
2010-06-02,37936705
2010-06-03,65882221
2010-06-04,47594645
2010-06-07,57186327
2010-06-08,44178535
2010-06-09,43382610
2010-06-10,62195478
2010-06-11,46223819
2010-06-14,43904397
2010-06-15,40697152
2010-06-16,41528555
2010-06-17,51038246
2010-06-18,45757010
2010-06-21,46681159
2010-06-22,43812886
2010-06-23,30572719
2010-06-24,32309615
2010-06-25,27290808
2010-06-28,35578762
2010-06-29,64564483
2010-06-30,74626596
2010-07-01,75874220
2010-07-02,36883138
2010-07-06,43401378
2010-07-07,76834815
2010-07-08,84130585
2010-07-09,105347127
2010-07-12,124379760
2010-07-13,128483132
2010-07-14,82872217
2010-07-15,113202395
2010-07-16,124651442
2010-07-19,73416747
2010-07-20,80211544
2010-07-21,92378187
2010-07-22,74649825
2010-07-23,91383524
2010-07-26,40284910
2010-07-27,46435008
2010-07-28,106872820
2010-07-29,95062378
2010-07-30,42899687
2010-08-02,146455387
2010-08-03,66679143
2010-08-04,69629441
2010-08-05,161282423
2010-08-06,100604018
2010-08-09,46285598
2010-08-10,36382940
2010-08-11,40190112
2010-08-12,70703602
2010-08-13,46567898
2010-08-16,34684855
2010-08-17,317810802
2010-08-18,247709335
2010-08-19,115195896
2010-08-20,80039826
2010-08-23,137393139
2010-08-24,125675211
2010-08-25,129103511
2010-08-26,83851060
2010-08-27,69509334
2010-08-30,38682951
2010-08-31,48118462
2010-09-01,70297259
2010-09-02,48131706
2010-09-03,48910159
2010-09-07,48075629
2010-09-08,73826244
2010-09-09,55617208
2010-09-10,38971479
2010-09-13,41759673
2010-09-14,47714573
2010-09-15,53309659
2010-09-16,88741611
2010-09-17,55209290
2010-09-20,65249339
2010-09-21,51352877
2010-09-22,55455530
2010-09-23,49151693
2010-09-24,59754278
2010-09-27,68037323
2010-09-28,60741858
2010-09-29,44100595
2010-09-30,110104130
2010-10-01,74456453
2010-10-04,46298477
2010-10-05,128349152
2010-10-06,79848564
2010-10-07,53209834
2010-10-08,246497295
2010-10-11,108681823
2010-10-12,72054320
2010-10-13,60404081
2010-10-14,45726929
2010-10-15,90332142
2010-10-18,45915174
2010-10-19,90073456
2010-10-20,66149737
2010-10-21,41857231
2010-10-22,29130251
2010-10-25,42819341
2010-10-26,108898301
2010-10-27,65009173
2010-10-28,59918429
2010-10-29,67603639
2010-11-01,37238094
2010-11-02,39543722
2010-11-03,60971711
2010-11-04,67039459
2010-11-05,73644291
2010-11-08,45430938
2010-11-09,89629623
2010-11-10,36647694
2010-11-11,54751410
2010-11-12,66036338
2010-11-15,141952739
2010-11-16,107032787
2010-11-17,60941640
2010-11-18,63752451
2010-11-19,42544262
2010-11-22,80305750
2010-11-23,56902096
2010-11-24,42614082
2010-11-26,13740849
2010-11-29,75078613
2010-11-30,91619581
2010-12-01,117249487
2010-12-02,74024606
2010-12-03,94890773
