dt,volume
2010-01-04,16575115
2010-01-05,22916745
2010-01-06,13561859
2010-01-07,14178982
2010-01-08,10917038
2010-01-11,11989955
2010-01-12,19938188
2010-01-13,23505461
2010-01-14,47132555
2010-01-15,15605890
2010-01-19,22016246
2010-01-20,28192305
2010-01-21,23539059
2010-01-22,16100635
2010-01-25,13755994
2010-01-26,13240778
2010-01-27,19548345
2010-01-28,17792943
2010-01-29,43126351
2010-02-01,22629357
2010-02-02,20354317
2010-02-03,16102517
2010-02-04,23258905
2010-02-05,32757246
2010-02-08,12048444
2010-02-09,18886995
2010-02-10,17572219
2010-02-11,11058450
2010-02-12,11851624
2010-02-16,30707405
2010-02-17,55513639
2010-02-18,22634451
2010-02-19,24810593
2010-02-22,22064583
2010-02-23,39420540
2010-02-24,27118831
2010-02-25,27149943
2010-02-26,23025277
2010-03-01,39619233
2010-03-02,29773946
2010-03-03,25570161
2010-03-04,34227036
2010-03-05,11536128
2010-03-08,16908918
2010-03-09,13032667
2010-03-10,24922467
2010-03-11,29994006
2010-03-12,27074106
2010-03-15,16864714
2010-03-16,14151820
2010-03-17,15879075
2010-03-18,36941764
2010-03-19,31990565
2010-03-22,28561833
2010-03-23,25134034
2010-03-24,26063128
2010-03-25,17160345
2010-03-26,22365322
2010-03-29,21913399
2010-03-30,33942547
2010-03-31,38638410
2010-04-01,33202385
2010-04-05,18863093
2010-04-06,16545695
2010-04-07,17638432
2010-04-08,27669009
2010-04-09,27519217
2010-04-12,17772466
2010-04-13,25102595
2010-04-14,18422676
2010-04-15,11727203
2010-04-16,15888485
2010-04-19,16834759
2010-04-20,15562367
2010-04-21,13103378
2010-04-22,15529878
2010-04-23,28431703
2010-04-26,28715478
2010-04-27,44305546
2010-04-28,29981595
2010-04-29,39560307
2010-04-30,62387199
2010-05-03,21308269
2010-05-04,20927573
2010-05-05,42236168
2010-05-06,32168383
2010-05-07,51125803
2010-05-10,29045496
2010-05-11,19672735
2010-05-12,20458133
2010-05-13,13846729
2010-05-14,19573962
2010-05-17,17747902
2010-05-18,22271654
2010-05-19,32828870
2010-05-20,43296215
2010-05-21,38657822
2010-05-24,22997521
2010-05-25,24140678
2010-05-26,24240706
2010-05-27,32238272
2010-05-28,47082268
2010-06-01,46552689
2010-06-02,43542038
2010-06-03,24284442
2010-06-04,25751899
2010-06-07,17480576
2010-06-08,23123940
2010-06-09,23043303
2010-06-10,20049653
2010-06-11,20038663
2010-06-14,20941678
2010-06-15,27653835
2010-06-16,26814116
2010-06-17,18069351
2010-06-18,23397079
2010-06-21,18955812
2010-06-22,16153531
2010-06-23,16371997
2010-06-24,15102831
2010-06-25,19755243
2010-06-28,14341278
2010-06-29,22299650
2010-06-30,18577564
2010-07-01,28817475
2010-07-02,15812968
2010-07-06,19818618
2010-07-07,21602225
2010-07-08,19500803
2010-07-09,46172951
2010-07-12,32771219
2010-07-13,13288142
2010-07-14,11358461
2010-07-15,13714540
2010-07-16,12672626
2010-07-19,12537516
2010-07-20,14338471
2010-07-21,8723345
2010-07-22,25577172
2010-07-23,32350947
2010-07-26,9255454
2010-07-27,35883440
2010-07-28,19208794
2010-07-29,20430401
2010-07-30,15322973
2010-08-02,19943723
2010-08-03,17309948
2010-08-04,15366021
2010-08-05,13025902
2010-08-06,17589397
2010-08-09,20220309
2010-08-10,14344277
2010-08-11,22303791
2010-08-12,28123196
2010-08-13,19654478
2010-08-16,24688887
2010-08-17,18432322
2010-08-18,14023127
2010-08-19,15304242
2010-08-20,21516889
2010-08-23,11460118
2010-08-24,17756848
2010-08-25,32835400
2010-08-26,14230796
2010-08-27,8602042
2010-08-30,23619219
2010-08-31,16296863
2010-09-01,17229974
2010-09-02,9361606
2010-09-03,13041869
2010-09-07,5800466
2010-09-08,8249691
2010-09-09,20814279
2010-09-10,19513047
2010-09-13,23556894
2010-09-14,17974379
2010-09-15,15531757
2010-09-16,18604633
2010-09-17,15990685
2010-09-20,11928176
2010-09-21,12124745
2010-09-22,7854128
2010-09-23,13906296
2010-09-24,25473997
2010-09-27,20723086
2010-09-28,20164871
2010-09-29,17883153
2010-09-30,32182340
2010-10-01,20345013
2010-10-04,30354964
2010-10-05,20750442
2010-10-06,16260814
2010-10-07,17511752
2010-10-08,8645635
2010-10-11,8730190
2010-10-12,13144133
2010-10-13,11879902
2010-10-14,11765159
2010-10-15,8463248
2010-10-18,12668162
2010-10-19,15072432
2010-10-20,25405091
2010-10-21,13216617
2010-10-22,15748735
2010-10-25,18716290
2010-10-26,12694076
2010-10-27,16504858
2010-10-28,7765578
2010-10-29,6378715
2010-11-01,22391670
2010-11-02,9259430
2010-11-03,14879469
2010-11-04,21047840
2010-11-05,15677156
2010-11-08,18000140
2010-11-09,10699391
2010-11-10,12070362
2010-11-11,14102898
2010-11-12,18069158
2010-11-15,14012112
2010-11-16,19839465
2010-11-17,16383311
2010-11-18,22985239
2010-11-19,15493008
2010-11-22,11684890
2010-11-23,12737090
2010-11-24,15110299
2010-11-26,1491223
2010-11-29,13225117
2010-11-30,9597944
2010-12-01,13395591
2010-12-02,11292403
2010-12-03,9037178
2010-12-06,13567155
2010-12-07,16337896
2010-12-08,10013808
2010-12-09,6849838
2010-12-10,40557327
2010-12-13,17895349
2010-12-14,16166203
2010-12-15,18005608
2010-12-16,11022520
2010-12-17,31597239
2010-12-20,28881191
2010-12-21,19827240
2010-12-22,24749843
2010-12-23,12123083
2010-12-27,13884337
2010-12-28,10309158
2010-12-29,9670185
2010-12-30,10293192
2010-12-31,8089768
2011-01-03,12905096
2011-01-04,22855030
2011-01-05,20579271
2011-01-06,13186219
2011-01-07,18948274
2011-01-10,18136913
2011-01-11,30899070
2011-01-12,17000068
2011-01-13,15596054
2011-01-14,24633600
2011-01-18,17941141
2011-01-19,20323980
2011-01-20,22893999
2011-01-21,16272527
2011-01-24,19532965
2011-01-25,27182171
2011-01-26,21270015
2011-01-27,34599118
2011-01-28,19501485
2011-01-31,23657351
2011-02-01,16812399
2011-02-02,16974653
2011-02-03,12611559
2011-02-04,11439251
2011-02-07,24799259
2011-02-08,29790055
2011-02-09,16228877
2011-02-10,12698858
2011-02-11,12163544
2011-02-14,9730028
2011-02-15,11944962
2011-02-16,24131099
2011-02-17,96580550
2011-02-18,39450382
2011-02-22,38616733
2011-02-23,41346281
2011-02-24,27973795
2011-02-25,52884439
2011-02-28,17008556
2011-03-01,25751709
2011-03-02,23104807
2011-03-03,19316247
2011-03-04,22734943
2011-03-07,24392074
2011-03-08,16940207
2011-03-09,25715171
2011-03-10,32713550
2011-03-11,13554356
2011-03-14,15158908
2011-03-15,21909330
2011-03-16,21398444
2011-03-17,15891075
2011-03-18,20636685
2011-03-21,29926690
2011-03-22,41993387
2011-03-23,26073254
2011-03-24,27707354
2011-03-25,16308604
2011-03-28,13588149
2011-03-29,12148733
2011-03-30,22226506
2011-03-31,15743082
2011-04-01,21653819
2011-04-04,13541005
2011-04-05,18477027
2011-04-06,15702830
2011-04-07,13673972
2011-04-08,12290715
2011-04-11,19202522
2011-04-12,25540486
2011-04-13,15473267
2011-04-14,19755995
2011-04-15,18076713
2011-04-18,20537255
2011-04-19,21890305
2011-04-20,21371021
2011-04-21,30838242
2011-04-25,16049142
2011-04-26,15625138
2011-04-27,28514683
2011-04-28,28853689
2011-04-29,17332758
2011-05-02,30015311
2011-05-03,23008046
2011-05-04,43669624
2011-05-05,27723366
2011-05-06,27937345
2011-05-09,48652755
2011-05-10,24931476
2011-05-11,35098201
2011-05-12,37570445
2011-05-13,35348607
2011-05-16,27064841
2011-05-17,53976948
2011-05-18,34088313
2011-05-19,19776048
2011-05-20,28247139
2011-05-23,16198445
2011-05-24,24423911
2011-05-25,15956579
2011-05-26,17462151
2011-05-27,11392940
2011-05-31,12127496
2011-06-01,24034126
2011-06-02,43252980
2011-06-03,22527424
2011-06-06,25431598
2011-06-07,27780291
2011-06-08,26222356
2011-06-09,22068648
2011-06-10,34115820
2011-06-13,17425854
2011-06-14,21677366
2011-06-15,30145545
2011-06-16,21978817
2011-06-17,29907370
2011-06-20,32925707
2011-06-21,46718893
2011-06-22,26394694
2011-06-23,23567793
2011-06-24,23135490
2011-06-27,19656849
2011-06-28,15113867
2011-06-29,20577070
2011-06-30,22185951
2011-07-01,14885573
2011-07-05,18958512
2011-07-06,12544933
2011-07-07,16196978
2011-07-08,15564151
2011-07-11,11831091
2011-07-12,17556888
2011-07-13,12137829
2011-07-14,18610130
2011-07-15,39301647
2011-07-18,26837877
2011-07-19,20806063
2011-07-20,21991854
2011-07-21,48091714
2011-07-22,23601699
2011-07-25,9989690
2011-07-26,14210088
2011-07-27,24581811
2011-07-28,21555178
2011-07-29,25906921
2011-08-01,22583416
2011-08-02,24907818
2011-08-03,20722676
2011-08-04,56533015
2011-08-05,54926201
2011-08-08,53015445
2011-08-09,35226137
2011-08-10,31825084
2011-08-11,42956709
2011-08-12,40907061
2011-08-15,16479810
2011-08-16,30022667
2011-08-17,36239242
2011-08-18,46602812
2011-08-19,33361209
2011-08-22,35211281
2011-08-23,41540904
2011-08-24,20017391
2011-08-25,17269021
2011-08-26,21438180
2011-08-29,20386014
2011-08-30,16928591
2011-08-31,20806944
2011-09-01,20854346
2011-09-02,20471483
2011-09-06,14219880
2011-09-07,26405799
2011-09-08,38204373
2011-09-09,37285127
2011-09-12,28050661
2011-09-13,28407018
2011-09-14,24682139
2011-09-15,15553335
2011-09-16,34090479
2011-09-19,25480644
2011-09-20,35201748
2011-09-21,32356966
2011-09-22,31493188
2011-09-23,21707047
2011-09-26,16918418
2011-09-27,25514952
2011-09-28,29808050
2011-09-29,16599157
2011-09-30,32988714
2011-10-03,25814103
2011-10-04,22345931
2011-10-05,32570231
2011-10-06,46386747
2011-10-07,26841397
2011-10-10,16498543
2011-10-11,33054838
2011-10-12,37392920
2011-10-13,51056538
2011-10-14,58922041
2011-10-17,44752615
2011-10-18,45768686
2011-10-19,55468599
2011-10-20,243106496
2011-10-21,67132211
2011-10-24,40385131
2011-10-25,63424449
2011-10-26,66647542
2011-10-27,56961986
2011-10-28,35737888
2011-10-31,31277513
