dt,volume
2010-01-04,9440745
2010-01-05,16500371
2010-01-06,10341950
2010-01-07,7658231
2010-01-08,6443825
2010-01-11,8965568
2010-01-12,8530646
2010-01-13,4476874
2010-01-14,6732400
2010-01-15,6657536
2010-01-19,8002103
2010-01-20,9408489
2010-01-21,8920835
2010-01-22,4715709
2010-01-25,7549807
2010-01-26,3526675
2010-01-27,7815620
2010-01-28,3647406
2010-01-29,7360891
2010-02-01,6436660
2010-02-02,6911696
2010-02-03,5229353
2010-02-04,6353404
2010-02-05,9315983
2010-02-08,4085906
2010-02-09,6074734
2010-02-10,5701947
2010-02-11,3312905
2010-02-12,6430779
2010-02-16,6461303
2010-02-17,9736253
2010-02-18,7002155
2010-02-19,10028245
2010-02-22,9447717
2010-02-23,9702957
2010-02-24,7336668
2010-02-25,4099889
2010-02-26,6691023
2010-03-01,4806411
2010-03-02,5327154
2010-03-03,5161207
2010-03-04,16745549
2010-03-05,7472920
2010-03-08,10218912
2010-03-09,7476475
2010-03-10,7895375
2010-03-11,8044720
2010-03-12,19746007
2010-03-15,21601636
2010-03-16,11967499
2010-03-17,12928120
2010-03-18,11371094
2010-03-19,12751363
2010-03-22,8841880
2010-03-23,8458719
2010-03-24,8046256
2010-03-25,6483776
2010-03-26,7543806
2010-03-29,6698698
2010-03-30,8913862
2010-03-31,6442606
2010-04-01,6081983
2010-04-05,6871937
2010-04-06,6440417
2010-04-07,7476938
2010-04-08,6180751
2010-04-09,4111106
2010-04-12,5302519
2010-04-13,5216252
2010-04-14,6894398
2010-04-15,6243121
2010-04-16,8909194
2010-04-19,5853445
2010-04-20,7139405
2010-04-21,3569966
2010-04-22,5279640
2010-04-23,5770864
2010-04-26,7330782
2010-04-27,9728426
2010-04-28,7781120
2010-04-29,10590903
2010-04-30,14640318
2010-05-03,8905430
2010-05-04,10185353
2010-05-05,17899820
2010-05-06,12912459
2010-05-07,18911795
2010-05-10,12760311
2010-05-11,7283098
2010-05-12,8575239
2010-05-13,6433104
2010-05-14,12959845
2010-05-17,7973227
2010-05-18,9897888
2010-05-19,15594031
2010-05-20,17670992
2010-05-21,24330567
2010-05-24,11075518
2010-05-25,20481836
2010-05-26,22331050
2010-05-27,12484645
2010-05-28,15090309
2010-06-01,11869207
2010-06-02,7470731
2010-06-03,6207317
2010-06-04,7811963
2010-06-07,8396806
2010-06-08,10509887
2010-06-09,7099942
2010-06-10,11238998
2010-06-11,5859449
2010-06-14,7308848
2010-06-15,8860571
2010-06-16,6055996
2010-06-17,6194105
2010-06-18,7324139
2010-06-21,8108945
2010-06-22,6783961
2010-06-23,14503299
2010-06-24,7765315
2010-06-25,8929503
2010-06-28,7589194
2010-06-29,8320460
2010-06-30,7504304
2010-07-01,11346149
2010-07-02,6041973
2010-07-06,7113481
2010-07-07,7298172
2010-07-08,6117185
2010-07-09,5854690
2010-07-12,8306081
2010-07-13,5770622
2010-07-14,4566670
2010-07-15,5201636
2010-07-16,8017091
2010-07-19,4649380
2010-07-20,6934883
2010-07-21,6804373
2010-07-22,6679350
2010-07-23,5531138
2010-07-26,5142398
2010-07-27,8531833
2010-07-28,9561144
2010-07-29,6339381
2010-07-30,3954658
2010-08-02,5216058
2010-08-03,6447051
2010-08-04,7317674
2010-08-05,6183719
2010-08-06,5947461
2010-08-09,5371627
2010-08-10,7076365
2010-08-11,10955736
2010-08-12,9783390
2010-08-13,8423044
2010-08-16,6459683
2010-08-17,5006391
2010-08-18,4682401
2010-08-19,5275780
2010-08-20,9201911
2010-08-23,6349956
2010-08-24,6987339
2010-08-25,7839391
2010-08-26,12795790
2010-08-27,10034621
2010-08-30,6440209
2010-08-31,10254204
2010-09-01,8283430
2010-09-02,6767662
2010-09-03,6403864
2010-09-07,11145580
2010-09-08,7880377
2010-09-09,5989906
2010-09-10,6403063
2010-09-13,7001785
2010-09-14,3478899
2010-09-15,5837976
2010-09-16,9767682
2010-09-17,12043192
2010-09-20,5942654
2010-09-21,5562759
2010-09-22,7285408
2010-09-23,8000143
2010-09-24,9187807
2010-09-27,7734630
2010-09-28,12417839
2010-09-29,6361777
2010-09-30,8291916
2010-10-01,10441034
2010-10-04,14920564
2010-10-05,20738305
2010-10-06,11635670
2010-10-07,10622365
2010-10-08,6787851
2010-10-11,5490796
2010-10-12,4439552
2010-10-13,5194548
2010-10-14,5989331
2010-10-15,9217375
2010-10-18,4234287
2010-10-19,6193764
2010-10-20,5781326
2010-10-21,5821024
2010-10-22,9672772
2010-10-25,7278158
2010-10-26,8414023
2010-10-27,9923140
2010-10-28,8249175
2010-10-29,8909792
2010-11-01,4907633
2010-11-02,4141626
2010-11-03,6101837
2010-11-04,5767928
2010-11-05,6571192
2010-11-08,4139140
2010-11-09,6837008
2010-11-10,5518998
2010-11-11,5327972
2010-11-12,10278577
2010-11-15,7929355
2010-11-16,6574377
2010-11-17,5151331
2010-11-18,5830148
2010-11-19,7167256
2010-11-22,4678246
2010-11-23,5034473
2010-11-24,3491064
2010-11-26,776310
2010-11-29,3246944
2010-11-30,7186496
2010-12-01,5079747
2010-12-02,6381922
2010-12-03,6471498
2010-12-06,6733708
2010-12-07,8262983
2010-12-08,10708603
2010-12-09,8465788
2010-12-10,9963352
2010-12-13,6036407
2010-12-14,5497486
2010-12-15,5958027
2010-12-16,9338212
2010-12-17,10322891
2010-12-20,6694663
2010-12-21,4851362
2010-12-22,5355538
2010-12-23,3191666
2010-12-27,2087071
2010-12-28,4463463
2010-12-29,3601250
2010-12-30,3576603
2010-12-31,3577778
2011-01-03,5822352
2011-01-04,8421774
2011-01-05,5789508
2011-01-06,5581968
2011-01-07,5350848
2011-01-10,7155689
2011-01-11,7149599
2011-01-12,6692166
2011-01-13,7924995
2011-01-14,4651441
2011-01-18,6169843
2011-01-19,5253822
2011-01-20,10133601
2011-01-21,8478494
2011-01-24,5540759
2011-01-25,5276366
2011-01-26,6494582
2011-01-27,7545122
2011-01-28,8326416
2011-01-31,5078739
2011-02-01,5196794
2011-02-02,5226340
2011-02-03,6238277
2011-02-04,4968240
2011-02-07,5431019
2011-02-08,5722177
2011-02-09,4965946
2011-02-10,5059270
2011-02-11,7704088
2011-02-14,5969254
2011-02-15,9226289
2011-02-16,8638275
2011-02-17,10964631
2011-02-18,14738285
