dt,volume
2010-01-04,33171460
2010-01-05,41732507
2010-01-06,26218366
2010-01-07,38465921
2010-01-08,35136212
2010-01-11,19603158
2010-01-12,41387134
2010-01-13,39797190
2010-01-14,25771874
2010-01-15,37506163
2010-01-19,31517314
2010-01-20,35840725
2010-01-21,51851269
2010-01-22,69082758
2010-01-25,56125905
2010-01-26,35506570
2010-01-27,67418867
2010-01-28,69983157
2010-01-29,75480762
2010-02-01,65208065
2010-02-02,65876066
2010-02-03,40873104
2010-02-04,39630048
2010-02-05,60043150
2010-02-08,42323588
2010-02-09,46958356
2010-02-10,42839385
2010-02-11,30554631
2010-02-12,33337410
2010-02-16,43767761
2010-02-17,33202501
2010-02-18,40829566
2010-02-19,65443288
2010-02-22,54168204
2010-02-23,57751344
2010-02-24,49365909
2010-02-25,31263442
2010-02-26,25770884
2010-03-01,37387745
2010-03-02,39134258
2010-03-03,31155267
2010-03-04,20533199
2010-03-05,50342400
2010-03-08,22993766
2010-03-09,23519005
2010-03-10,49490385
2010-03-11,43990870
2010-03-12,27514621
2010-03-15,34573474
2010-03-16,35439159
2010-03-17,41007540
2010-03-18,38563977
2010-03-19,131176617
2010-03-22,78025870
2010-03-23,37269546
2010-03-24,71690631
2010-03-25,71804418
2010-03-26,97995767
2010-03-29,35199625
2010-03-30,58312209
2010-03-31,53927283
2010-04-01,47689072
2010-04-05,66321208
2010-04-06,91218958
2010-04-07,113624655
2010-04-08,83819790
2010-04-09,49199773
2010-04-12,46059996
2010-04-13,40914638
2010-04-14,55663898
2010-04-15,64311750
2010-04-16,159362519
2010-04-19,103206730
2010-04-20,58231818
2010-04-21,50184936
2010-04-22,54857687
2010-04-23,58697672
2010-04-26,182072372
2010-04-27,87173181
2010-04-28,78990048
2010-04-29,90624840
2010-04-30,48832109
2010-05-03,60499241
2010-05-04,79023248
2010-05-05,120860152
2010-05-06,138936294
2010-05-07,128475510
2010-05-10,95009808
2010-05-11,69510042
2010-05-12,86835163
2010-05-13,56738927
2010-05-14,69436942
2010-05-17,71698974
2010-05-18,56514614
2010-05-19,70862194
2010-05-20,105957183
2010-05-21,89118409
2010-05-24,59493339
2010-05-25,87323908
2010-05-26,53207685
2010-05-27,121767107
2010-05-28,112404519
2010-06-01,89451624
2010-06-02,57554469
2010-06-03,68542598
2010-06-04,147817034
2010-06-07,70761378
2010-06-08,92396365
2010-06-09,80787391
2010-06-10,87207132
2010-06-11,46873179
2010-06-14,30537259
2010-06-15,49605189
2010-06-16,117763452
2010-06-17,67651828
2010-06-18,58999929
2010-06-21,50277636
2010-06-22,78083643
2010-06-23,44993008
2010-06-24,48543065
2010-06-25,51082519
2010-06-28,60856154
2010-06-29,98841045
2010-06-30,89471715
2010-07-01,67978926
2010-07-02,56060801
2010-07-06,57643767
2010-07-07,40142300
2010-07-08,72171383
2010-07-09,37050342
2010-07-12,104415453
2010-07-13,85779381
2010-07-14,38483239
2010-07-15,58235004
2010-07-16,140428765
2010-07-19,65183143
2010-07-20,44616507
2010-07-21,50602243
2010-07-22,30977955
2010-07-23,59173444
2010-07-26,36336578
2010-07-27,66634698
2010-07-28,32016033
2010-07-29,56035539
2010-07-30,38854405
2010-08-02,42677767
2010-08-03,57829656
2010-08-04,26737438
2010-08-05,28020545
2010-08-06,34414336
2010-08-09,28154660
2010-08-10,53132023
2010-08-11,42393302
2010-08-12,38163611
2010-08-13,28192209
2010-08-16,35254105
2010-08-17,28767722
2010-08-18,25128290
2010-08-19,39253116
