dt,volume
2010-01-04,19213676
2010-01-05,8632129
2010-01-06,11685133
2010-01-07,13165701
2010-01-08,20219835
2010-01-11,12630585
2010-01-12,33293966
2010-01-13,26928826
2010-01-14,12930632
2010-01-15,22038968
2010-01-19,18782124
2010-01-20,13032002
2010-01-21,35628949
2010-01-22,15196980
2010-01-25,14884301
2010-01-26,13770411
2010-01-27,19705746
2010-01-28,19889004
2010-01-29,17719428
2010-02-01,13639339
2010-02-02,16135278
2010-02-03,19704230
2010-02-04,25083954
2010-02-05,22294329
2010-02-08,15232602
2010-02-09,22698345
2010-02-10,48989471
2010-02-11,34871353
2010-02-12,46940618
2010-02-16,16178488
2010-02-17,29324828
2010-02-18,20425979
2010-02-19,18211688
2010-02-22,10153701
2010-02-23,11906703
2010-02-24,9522941
2010-02-25,11773373
2010-02-26,27891713
