dt,volume
2010-01-04,16052696
2010-01-05,22524974
2010-01-06,28531154
2010-01-07,22389027
2010-01-08,18631635
2010-01-11,22775794
2010-01-12,27393649
2010-01-13,17308204
2010-01-14,10857685
2010-01-15,47035122
2010-01-19,27282210
2010-01-20,30553737
2010-01-21,20046805
2010-01-22,34849588
2010-01-25,30363462
2010-01-26,18165209
2010-01-27,38111653
2010-01-28,26662321
2010-01-29,58690927
2010-02-01,28676392
2010-02-02,43003788
2010-02-03,37434774
2010-02-04,29958183
2010-02-05,54174693
2010-02-08,22899114
2010-02-09,27877947
2010-02-10,40864142
2010-02-11,33610447
2010-02-12,18413568
2010-02-16,23225064
2010-02-17,23082411
2010-02-18,25782631
2010-02-19,43147640
2010-02-22,31857982
2010-02-23,36132668
2010-02-24,45422980
2010-02-25,45828088
2010-02-26,44232795
2010-03-01,27518612
2010-03-02,29760719
2010-03-03,27083161
2010-03-04,28492760
2010-03-05,16151102
2010-03-08,15679553
2010-03-09,16469805
2010-03-10,25741587
2010-03-11,12318531
2010-03-12,17576712
2010-03-15,19892905
2010-03-16,16358594
2010-03-17,17073696
2010-03-18,24004907
2010-03-19,42539037
2010-03-22,28798174
2010-03-23,28741449
2010-03-24,28617734
2010-03-25,30025621
2010-03-26,21840092
2010-03-29,21635331
2010-03-30,18673168
2010-03-31,18210614
2010-04-01,15309444
2010-04-05,14856202
2010-04-06,15653087
2010-04-07,18226846
2010-04-08,14172330
2010-04-09,17215646
2010-04-12,14231595
2010-04-13,18296506
2010-04-14,26967756
2010-04-15,24343545
2010-04-16,30418304
2010-04-19,21379290
2010-04-20,17692614
2010-04-21,27104549
2010-04-22,23240338
2010-04-23,29462045
2010-04-26,21106445
2010-04-27,27422144
2010-04-28,37509995
2010-04-29,21169257
2010-04-30,26796554
2010-05-03,28594699
2010-05-04,37763074
2010-05-05,62850321
2010-05-06,45579227
2010-05-07,73838928
2010-05-10,43894174
2010-05-11,41144531
2010-05-12,43102147
2010-05-13,23293217
2010-05-14,41744570
2010-05-17,29928446
2010-05-18,29358117
2010-05-19,40568677
2010-05-20,47466735
2010-05-21,48624621
2010-05-24,35039696
2010-05-25,37212290
2010-05-26,23709064
2010-05-27,30302640
2010-05-28,24960545
2010-06-01,28647452
2010-06-02,23103823
2010-06-03,21175782
2010-06-04,34387200
2010-06-07,25413443
2010-06-08,39297797
2010-06-09,49926682
2010-06-10,42419440
2010-06-11,31928783
2010-06-14,23357422
2010-06-15,23566270
2010-06-16,23898566
2010-06-17,28911624
2010-06-18,27830411
2010-06-21,16322131
2010-06-22,21406149
2010-06-23,18094322
2010-06-24,21870215
2010-06-25,23361804
2010-06-28,22983246
2010-06-29,33506703
2010-06-30,19675767
2010-07-01,39719452
2010-07-02,23404626
2010-07-06,21619032
2010-07-07,29196885
2010-07-08,27990804
2010-07-09,20129212
2010-07-12,20825940
2010-07-13,29642346
2010-07-14,18326399
2010-07-15,28173827
2010-07-16,29019306
2010-07-19,14708406
2010-07-20,19204506
2010-07-21,28856688
2010-07-22,24936665
2010-07-23,22218513
2010-07-26,15666115
2010-07-27,42096168
2010-07-28,27861171
2010-07-29,27002649
2010-07-30,31620826
2010-08-02,33696282
2010-08-03,24828866
2010-08-04,30000277
2010-08-05,38405422
2010-08-06,48112990
2010-08-09,22392703
2010-08-10,23859196
2010-08-11,21769769
2010-08-12,33436642
2010-08-13,25325999
2010-08-16,21306695
2010-08-17,35453053
2010-08-18,54038923
2010-08-19,31139300
2010-08-20,49738243
2010-08-23,42711670
2010-08-24,65267440
2010-08-25,56862749
2010-08-26,41141993
2010-08-27,31717786
2010-08-30,27780254
