dt,volume
2010-01-04,24049065
2010-01-05,15459862
2010-01-06,8827236
2010-01-07,16563518
2010-01-08,21182067
2010-01-11,25967138
2010-01-12,16668067
2010-01-13,12131310
2010-01-14,9076978
2010-01-15,19289037
2010-01-19,9430058
2010-01-20,17146030
2010-01-21,20777880
2010-01-22,10479289
2010-01-25,9155109
2010-01-26,11757884
2010-01-27,15582147
2010-01-28,10379015
2010-01-29,19687012
2010-02-01,17118312
2010-02-02,14024590
2010-02-03,11577120
2010-02-04,21991219
2010-02-05,11905114
2010-02-08,13048289
2010-02-09,12284959
2010-02-10,14746890
2010-02-11,16341467
2010-02-12,19573285
2010-02-16,28554926
2010-02-17,15495634
2010-02-18,17545821
2010-02-19,18725748
2010-02-22,20428541
2010-02-23,15101925
2010-02-24,13776116
2010-02-25,11814936
2010-02-26,13962242
2010-03-01,11910864
2010-03-02,28619191
2010-03-03,10233102
2010-03-04,13032527
2010-03-05,11213979
2010-03-08,10297709
2010-03-09,15987212
2010-03-10,15236027
2010-03-11,12212331
2010-03-12,8847591
2010-03-15,9333424
2010-03-16,7258980
2010-03-17,10223802
2010-03-18,6326508
2010-03-19,18078167
2010-03-22,14920534
2010-03-23,8706448
2010-03-24,9569128
2010-03-25,8302941
2010-03-26,8083001
2010-03-29,7515029
2010-03-30,7725160
2010-03-31,8115384
2010-04-01,20419762
2010-04-05,9884733
2010-04-06,9847170
2010-04-07,8230158
2010-04-08,9856985
2010-04-09,5475425
2010-04-12,6607618
2010-04-13,9278293
2010-04-14,12445250
2010-04-15,9031417
2010-04-16,29916864
2010-04-19,12190574
2010-04-20,9083661
2010-04-21,7321931
2010-04-22,11699069
2010-04-23,8203678
2010-04-26,6106480
2010-04-27,8725360
2010-04-28,12212958
2010-04-29,5531614
2010-04-30,9417734
2010-05-03,16755744
2010-05-04,16013074
2010-05-05,12989455
2010-05-06,28161508
2010-05-07,26918965
2010-05-10,14497426
2010-05-11,8901758
2010-05-12,7528577
2010-05-13,8919228
2010-05-14,11532527
2010-05-17,9857003
2010-05-18,14537853
2010-05-19,11957295
2010-05-20,21808355
2010-05-21,20482952
2010-05-24,12237774
2010-05-25,13667277
2010-05-26,16207121
2010-05-27,10145263
2010-05-28,9254118
2010-06-01,9623591
2010-06-02,9958318
2010-06-03,14919156
2010-06-04,14386344
2010-06-07,9813053
2010-06-08,15595156
2010-06-09,11697997
2010-06-10,8380586
2010-06-11,5336385
2010-06-14,7309221
2010-06-15,6551142
2010-06-16,8280490
2010-06-17,8332221
2010-06-18,14101323
2010-06-21,8251099
2010-06-22,6769774
2010-06-23,8347530
2010-06-24,10893157
2010-06-25,6134953
2010-06-28,5011663
2010-06-29,9667722
2010-06-30,5265256
2010-07-01,27519246
2010-07-02,6628626
2010-07-06,10183790
2010-07-07,8406700
2010-07-08,11051754
2010-07-09,6032326
2010-07-12,6710899
2010-07-13,7031296
2010-07-14,4928527
2010-07-15,7119844
2010-07-16,12488258
2010-07-19,10294108
2010-07-20,12523974
2010-07-21,15716328
2010-07-22,20454449
2010-07-23,11573209
2010-07-26,7776767
2010-07-27,11517923
2010-07-28,8623708
2010-07-29,23343317
2010-07-30,16604927
2010-08-02,15769805
2010-08-03,10340940
2010-08-04,10050662
2010-08-05,4326377
2010-08-06,7116399
2010-08-09,4357613
2010-08-10,7205501
2010-08-11,8809981
2010-08-12,7171779
2010-08-13,8269370
2010-08-16,5520882
2010-08-17,9702003
2010-08-18,7198030
2010-08-19,14004056
2010-08-20,13472073
2010-08-23,8114552
2010-08-24,22144599
2010-08-25,12015452
2010-08-26,42232626
2010-08-27,22930365
2010-08-30,9667748
2010-08-31,20756075
2010-09-01,13701449
2010-09-02,11333482
2010-09-03,7748461
2010-09-07,8632318
2010-09-08,11136157
2010-09-09,7887479
2010-09-10,5383199
2010-09-13,8211054
2010-09-14,8473203
2010-09-15,9329323
2010-09-16,10948348
2010-09-17,22117826
2010-09-20,8748804
2010-09-21,13552597
2010-09-22,9691093
2010-09-23,6077355
2010-09-24,12249577
2010-09-27,6465563
2010-09-28,9119854
2010-09-29,11419397
2010-09-30,14224205
2010-10-01,12867548
2010-10-04,8237741
2010-10-05,9288694
2010-10-06,5658913
2010-10-07,6620975
2010-10-08,6904988
2010-10-11,7479922
2010-10-12,6722977
2010-10-13,4756252
2010-10-14,9994932
2010-10-15,9609170
2010-10-18,10334686
2010-10-19,22547626
2010-10-20,17483922
2010-10-21,9951809
2010-10-22,7094217
2010-10-25,6471685
2010-10-26,5918725
2010-10-27,5951790
2010-10-28,12132040
2010-10-29,8531722
2010-11-01,6616241
2010-11-02,3989527
2010-11-03,4464210
2010-11-04,5556269
2010-11-05,8059274
2010-11-08,4394726
2010-11-09,7047743
2010-11-10,9228460
2010-11-11,10068514
2010-11-12,13003778
2010-11-15,6380150
2010-11-16,9784518
2010-11-17,8334310
2010-11-18,12228740
2010-11-19,13085362
2010-11-22,8981803
2010-11-23,21781510
2010-11-24,16581689
2010-11-26,2822884
2010-11-29,19558333
2010-11-30,14374861
2010-12-01,13967691
2010-12-02,11962499
2010-12-03,8301015
2010-12-06,9291101
2010-12-07,8008509
2010-12-08,12029795
2010-12-09,9638715
2010-12-10,12760400
2010-12-13,13125237
2010-12-14,5800982
2010-12-15,10633833
2010-12-16,7407480
2010-12-17,21528817
2010-12-20,12895882
2010-12-21,8140810
2010-12-22,7011424
2010-12-23,3852191
2010-12-27,3607044
2010-12-28,11421187
2010-12-29,4744491
2010-12-30,4571256
2010-12-31,6505559
2011-01-03,10710874
2011-01-04,12324948
2011-01-05,5475180
2011-01-06,6391314
2011-01-07,14570687
2011-01-10,11203354
2011-01-11,6668873
2011-01-12,9110443
2011-01-13,5681992
2011-01-14,6332916
2011-01-18,6281366
2011-01-19,5095167
2011-01-20,5668877
2011-01-21,6670103
2011-01-24,5100399
2011-01-25,19745243
2011-01-26,10062163
2011-01-27,4655149
2011-01-28,11306101
2011-01-31,7150830
2011-02-01,6515080
2011-02-02,9536849
2011-02-03,18223473
2011-02-04,14171295
2011-02-07,8342317
2011-02-08,5698672
2011-02-09,3128008
2011-02-10,6353265
2011-02-11,3926251
2011-02-14,2145625
2011-02-15,2042875
2011-02-16,3341495
2011-02-17,3930935
2011-02-18,121798189
2011-02-22,33024149
2011-02-23,18314081
2011-02-24,18295775
2011-02-25,7992274
2011-02-28,13543292
2011-03-01,9660863
2011-03-02,9346216
2011-03-03,8106699
2011-03-04,6868310
2011-03-07,19124731
2011-03-08,6899060
2011-03-09,9305050
2011-03-10,15405393
2011-03-11,9482164
2011-03-14,11630090
2011-03-15,7934560
2011-03-16,13849558
2011-03-17,9588606
2011-03-18,9276954
2011-03-21,5643509
2011-03-22,8228806
2011-03-23,6902647
2011-03-24,7669348
2011-03-25,5525229
2011-03-28,8813566
2011-03-29,9467527
2011-03-30,6323993
2011-03-31,7431978
2011-04-01,13134959
2011-04-04,9640181
2011-04-05,5011808
2011-04-06,4080578
2011-04-07,8513444
2011-04-08,3312957
2011-04-11,3469843
2011-04-12,5151489
2011-04-13,6019885
2011-04-14,5083466
2011-04-15,5528231
2011-04-18,6626020
2011-04-19,3714456
2011-04-20,3980077
2011-04-21,4192215
2011-04-25,4542752
2011-04-26,5413927
2011-04-27,6959240
2011-04-28,7457552
2011-04-29,3720046
2011-05-02,8790561
2011-05-03,5943556
2011-05-04,6757102
2011-05-05,3916873
2011-05-06,5474055
2011-05-09,3039045
2011-05-10,5564218
2011-05-11,2515163
2011-05-12,4924615
2011-05-13,6449439
2011-05-16,6868261
2011-05-17,14250624
2011-05-18,4573779
2011-05-19,4672255
2011-05-20,11137213
2011-05-23,8393525
2011-05-24,6708835
2011-05-25,7276003
2011-05-26,13501387
2011-05-27,9822705
2011-05-31,18512660
2011-06-01,14062177
2011-06-02,11191823
2011-06-03,9580631
2011-06-06,7669476
2011-06-07,9473191
2011-06-08,13072181
2011-06-09,11949526
2011-06-10,10963135
2011-06-13,9409830
2011-06-14,11421235
2011-06-15,7804720
2011-06-16,10149051
2011-06-17,5794790
2011-06-20,5432547
2011-06-21,9323554
2011-06-22,8356153
2011-06-23,8985268
2011-06-24,7469055
2011-06-27,8589587
2011-06-28,5641735
2011-06-29,5943232
2011-06-30,4013480
2011-07-01,11262341
2011-07-05,8360947
2011-07-06,8072722
2011-07-07,5147275
2011-07-08,5827160
2011-07-11,3959949
2011-07-12,4352409
2011-07-13,4871802
2011-07-14,2840981
2011-07-15,6264866
2011-07-18,3565787
2011-07-19,7795835
2011-07-20,9678409
2011-07-21,4146772
2011-07-22,2670094
2011-07-25,3127046
2011-07-26,5109177
2011-07-27,10691082
2011-07-28,6799514
2011-07-29,10384449
2011-08-01,20648663
2011-08-02,13050900
2011-08-03,18334161
2011-08-04,20469157
2011-08-05,23665494
2011-08-08,26092724
2011-08-09,28779400
2011-08-10,17147831
2011-08-11,12168192
2011-08-12,16869577
2011-08-15,6557566
2011-08-16,20456881
2011-08-17,20129109
2011-08-18,7811150
2011-08-19,9531566
2011-08-22,7809518
2011-08-23,9930423
2011-08-24,12917926
2011-08-25,59533701
2011-08-26,39490437
2011-08-29,13053929
2011-08-30,8886775
2011-08-31,10201550
2011-09-01,8483800
2011-09-02,18989080
2011-09-06,8230329
2011-09-07,5819291
2011-09-08,5110907
2011-09-09,10755741
2011-09-12,13311791
2011-09-13,27431726
2011-09-14,14598119
2011-09-15,11970006
2011-09-16,16031796
2011-09-19,11968426
2011-09-20,7527445
2011-09-21,18958977
2011-09-22,24032820
2011-09-23,11936791
2011-09-26,11942977
2011-09-27,15923226
2011-09-28,11456227
2011-09-29,8583576
2011-09-30,11806860
2011-10-03,13525384
2011-10-04,15650556
2011-10-05,11330782
2011-10-06,8574209
2011-10-07,9014801
2011-10-10,5952998
2011-10-11,9162528
2011-10-12,12640328
2011-10-13,14216833
2011-10-14,8041224
2011-10-17,7129863
2011-10-18,7179740
2011-10-19,8332243
2011-10-20,9899984
2011-10-21,15620372
2011-10-24,9480472
2011-10-25,6449013
2011-10-26,9908199
2011-10-27,19945334
2011-10-28,14273909
2011-10-31,7695497
2011-11-01,22067551
2011-11-02,9021236
2011-11-03,8616573
2011-11-04,7630763
2011-11-07,7740140
2011-11-08,6629262
2011-11-09,13251064
2011-11-10,7144056
2011-11-11,8937292
2011-11-14,9507325
2011-11-15,7842756
2011-11-16,10245432
2011-11-17,11998085
2011-11-18,21442010
2011-11-21,15857853
2011-11-22,27557361
2011-11-23,16830437
2011-11-25,3706131
2011-11-28,15727400
2011-11-29,10639016
2011-11-30,10653509
2011-12-01,11053789
2011-12-02,7069132
2011-12-05,6474818
2011-12-06,5351168
2011-12-07,5487043
2011-12-08,8480965
2011-12-09,14520880
2011-12-12,7291704
2011-12-13,10456156
2011-12-14,8089164
2011-12-15,3756017
2011-12-16,7120247
2011-12-19,6949434
2011-12-20,6446656
2011-12-21,5795297
2011-12-22,3561022
2011-12-23,2420304
2011-12-27,4923094
2011-12-28,13045442
2011-12-29,3991194
2011-12-30,1974441
2012-01-03,8296092
2012-01-04,4951520
2012-01-05,10291152
2012-01-06,6574197
2012-01-09,5039404
2012-01-10,4968306
2012-01-11,8624830
2012-01-12,10282804
2012-01-13,9896859
2012-01-17,6899482
2012-01-18,18916291
2012-01-19,9282755
2012-01-20,10109666
2012-01-23,8615635
2012-01-24,6315460
2012-01-25,16465997
2012-01-26,7092797
2012-01-27,4856072
2012-01-30,4000087
2012-01-31,4030611
2012-02-01,9194424
2012-02-02,2350461
2012-02-03,7763459
2012-02-06,4779165
2012-02-07,3212782
2012-02-08,3567201
2012-02-09,6692604
2012-02-10,6111259
2012-02-13,5306579
2012-02-14,7532833
2012-02-15,4702911
2012-02-16,8048491
2012-02-17,6409330
2012-02-21,3679846
2012-02-22,5525918
2012-02-23,14771089
2012-02-24,7782181
2012-02-27,5381897
2012-02-28,3782997
2012-02-29,6002491
2012-03-01,10754702
2012-03-02,9294593
2012-03-05,12646849
2012-03-06,5035644
2012-03-07,4856206
2012-03-08,7766708
2012-03-09,14950303
2012-03-12,10979870
2012-03-13,10651224
2012-03-14,12615911
2012-03-15,7439606
2012-03-16,9133913
2012-03-19,6943840
2012-03-20,4160713
2012-03-21,4353584
2012-03-22,5309232
2012-03-23,4245590
2012-03-26,8051365
2012-03-27,5034874
2012-03-28,10556032
2012-03-29,7945120
2012-03-30,15040358
2012-04-02,7308327
2012-04-03,4837834
2012-04-04,4338981
2012-04-05,3378711
2012-04-09,5472805
2012-04-10,9445523
2012-04-11,5742480
2012-04-12,6683520
2012-04-13,7352964
2012-04-16,4517204
2012-04-17,7016661
2012-04-18,5171964
2012-04-19,5012045
2012-04-20,6667531
2012-04-23,5056222
2012-04-24,5674215
2012-04-25,6312703
2012-04-26,7024841
2012-04-27,12412779
2012-04-30,11656405
2012-05-01,12208770
2012-05-02,10098272
2012-05-03,5915291
2012-05-04,9129532
2012-05-07,5298759
2012-05-08,9166352
2012-05-09,9109828
2012-05-10,6387309
2012-05-11,4034314
2012-05-14,3730834
2012-05-15,4403477
2012-05-16,6642289
2012-05-17,6309285
2012-05-18,6707411
2012-05-21,7695900
2012-05-22,3469114
2012-05-23,8637376
2012-05-24,13007751
2012-05-25,8800156
2012-05-29,9263149
2012-05-30,9833883
2012-05-31,8698046
2012-06-01,6971558
2012-06-04,5645124
2012-06-05,4856863
2012-06-06,7031189
2012-06-07,6633864
2012-06-08,3665660
2012-06-11,4759943
2012-06-12,3409289
2012-06-13,12024122
2012-06-14,8713451
2012-06-15,11142898
2012-06-18,7487322
2012-06-19,3748412
2012-06-20,3295669
2012-06-21,4557293
2012-06-22,2299971
2012-06-25,7468396
2012-06-26,9138636
2012-06-27,4058701
2012-06-28,5745866
2012-06-29,5026511
2012-07-02,11430060
2012-07-03,12158422
2012-07-05,3820132
2012-07-06,6134826
2012-07-09,5436388
2012-07-10,5425126
2012-07-11,3768949
2012-07-12,7628550
2012-07-13,2892449
2012-07-16,4814504
2012-07-17,5762638
2012-07-18,4455362
2012-07-19,3670867
2012-07-20,8207241
2012-07-23,3922526
2012-07-24,3970722
2012-07-25,4934852
2012-07-26,4101484
2012-07-27,8213380
2012-07-30,3695927
2012-07-31,8985281
2012-08-01,6199580
2012-08-02,9087885
2012-08-03,4084023
2012-08-06,3682344
2012-08-07,3920485
2012-08-08,6411793
2012-08-09,4503434
2012-08-10,10345187
2012-08-13,4712660
2012-08-14,4909983
2012-08-15,2939355
2012-08-16,3271575
2012-08-17,5633827
2012-08-20,5523874
2012-08-21,5724060
2012-08-22,4365977
2012-08-23,36189650
2012-08-24,9397999
2012-08-27,6435704
2012-08-28,3802493
2012-08-29,3702657
2012-08-30,2700285
2012-08-31,3938490
2012-09-04,6857969
2012-09-05,6482084
2012-09-06,9256785
2012-09-07,7684975
2012-09-10,4191298
2012-09-11,7105834
2012-09-12,6177080
2012-09-13,6816967
2012-09-14,9183355
2012-09-17,6159861
2012-09-18,7573067
2012-09-19,6988984
2012-09-20,15936014
2012-09-21,6326936
2012-09-24,3171078
2012-09-25,4304811
2012-09-26,3893412
2012-09-27,4712466
2012-09-28,4903252
2012-10-01,7231889
2012-10-02,7805125
2012-10-03,4196897
2012-10-04,12642926
2012-10-05,9853338
2012-10-08,6230679
2012-10-09,5770766
2012-10-10,5046578
2012-10-11,2650197
2012-10-12,2438683
2012-10-15,3376528
2012-10-16,7193403
2012-10-17,5319491
2012-10-18,31228763
2012-10-19,10330789
2012-10-22,6018634
2012-10-23,8347527
2012-10-24,4041168
2012-10-25,5886144
2012-10-26,8168616
2012-10-31,4976388
2012-11-01,10096658
2012-11-02,15739587
2012-11-05,4911711
2012-11-06,8112401
2012-11-07,7363289
2012-11-08,6920015
2012-11-09,3531148
2012-11-12,5331449
2012-11-13,3544016
2012-11-14,3549653
2012-11-15,10096514
2012-11-16,16724340
2012-11-19,9906791
2012-11-20,50176713
2012-11-21,14114796
2012-11-23,3149666
2012-11-26,7060385
2012-11-27,9212246
2012-11-28,4439452
2012-11-29,4150851
2012-11-30,6890972
2012-12-03,8864705
2012-12-04,12881479
2012-12-05,20032960
2012-12-06,4389195
2012-12-07,3958921
2012-12-10,6015572
2012-12-11,6835050
2012-12-12,4541531
2012-12-13,1915390
2012-12-14,3152961
2012-12-17,4862429
2012-12-18,3705520
2012-12-19,4850126
2012-12-20,12569183
2012-12-21,9617421
2012-12-24,1526109
2012-12-26,5647917
2012-12-27,5969870
2012-12-28,4154388
2012-12-31,6704175
2013-01-02,7405306
2013-01-03,6958503
2013-01-04,5614883
2013-01-07,6045794
2013-01-08,9677853
2013-01-09,5630565
2013-01-10,11682656
2013-01-11,5875187
2013-01-14,2739531
2013-01-15,11742675
2013-01-16,4297403
2013-01-17,5725002
2013-01-18,5924557
2013-01-22,7037465
2013-01-23,6605579
2013-01-24,5669402
2013-01-25,4889017
2013-01-28,5703298
2013-01-29,4763216
2013-01-30,3754392
2013-01-31,4601058
2013-02-01,8278559
2013-02-04,7793018
2013-02-05,4106033
2013-02-06,3752781
2013-02-07,3565363
2013-02-08,8847917
2013-02-11,7581392
2013-02-12,9170789
2013-02-13,13175596
2013-02-14,9245816
2013-02-15,6475001
2013-02-19,10949927
2013-02-20,4837630
2013-02-21,21146105
2013-02-22,5496987
2013-02-25,4928541
2013-02-26,5659884
2013-02-27,4541776
2013-02-28,2775395
2013-03-01,4643796
2013-03-04,6435790
2013-03-05,4908279
2013-03-06,2294505
2013-03-07,4108752
2013-03-08,2809675
2013-03-11,4817049
2013-03-12,3537273
2013-03-13,3970730
2013-03-14,4656176
2013-03-15,10464042
2013-03-18,3653605
2013-03-19,15581078
2013-03-20,12565371
2013-03-21,6637461
2013-03-22,5022309
2013-03-25,8556868
2013-03-26,9478430
2013-03-27,7073909
2013-03-28,3026931
2013-04-01,7942116
2013-04-02,5012664
2013-04-03,11457238
2013-04-04,7732830
2013-04-05,4858943
2013-04-08,4455406
2013-04-09,15691270
2013-04-10,14583210
2013-04-11,10028278
2013-04-12,13516387
2013-04-15,9705351
2013-04-16,6622103
2013-04-17,13200204
2013-04-18,6143329
2013-04-19,5252395
2013-04-22,4154460
2013-04-23,4466679
2013-04-24,8806754
2013-04-25,6438317
2013-04-26,4105796
2013-04-29,2365702
2013-04-30,4153706
2013-05-01,4465618
2013-05-02,7186533
2013-05-03,7441252
2013-05-06,3055302
2013-05-07,5779337
2013-05-08,4729018
2013-05-09,8639818
2013-05-10,6969071
2013-05-13,4106422
2013-05-14,5871151
2013-05-15,4487417
2013-05-16,3581591
2013-05-17,9729092
2013-05-20,8197314
2013-05-21,8070254
2013-05-22,11170168
2013-05-23,10827851
2013-05-24,7105098
2013-05-28,5810059
2013-05-29,8298605
2013-05-30,7755718
2013-05-31,7959585
2013-06-03,5586333
2013-06-04,4651890
2013-06-05,7395322
2013-06-06,7984661
2013-06-07,7025464
2013-06-10,7387005
2013-06-11,6565175
2013-06-12,3767706
2013-06-13,4521877
2013-06-14,4828447
2013-06-17,7907630
2013-06-18,5810196
2013-06-19,6922482
2013-06-20,13447132
2013-06-21,15603991
2013-06-24,5198424
2013-06-25,8213467
2013-06-26,7756391
2013-06-27,8777561
2013-06-28,3859976
2013-07-01,8123010
2013-07-02,11704001
2013-07-03,4184070
2013-07-05,6370953
2013-07-08,5758491
2013-07-09,7733498
2013-07-10,8393266
2013-07-11,7767000
2013-07-12,3266721
2013-07-15,6022811
2013-07-16,4985294
2013-07-17,6179760
2013-07-18,5826392
2013-07-19,5798057
2013-07-22,4741849
2013-07-23,5130413
2013-07-24,6000609
2013-07-25,5046282
2013-07-26,5011646
2013-07-29,2602294
2013-07-30,6553798
2013-07-31,3522701
2013-08-01,5517665
2013-08-02,6042625
2013-08-05,4018284
2013-08-06,5107281
2013-08-07,4448837
2013-08-08,3979384
2013-08-09,4827908
2013-08-12,6450958
2013-08-13,4784216
2013-08-14,4715227
2013-08-15,5110357
2013-08-16,7530469
2013-08-19,4714014
2013-08-20,6744856
2013-08-21,8944339
2013-08-22,12728134
2013-08-23,7271849
2013-08-26,6639268
2013-08-27,6786904
2013-08-28,4377033
2013-08-29,5321373
2013-08-30,3381835
2013-09-03,9089430
2013-09-04,5936403
2013-09-05,4188328
2013-09-06,3819429
2013-09-09,4422737
2013-09-10,3511719
2013-09-11,4553379
2013-09-12,5094968
2013-09-13,3177769
2013-09-16,5697610
2013-09-17,4845613
2013-09-18,3579040
2013-09-19,4277400
2013-09-20,6369742
2013-09-23,3527623
2013-09-24,7592967
2013-09-25,3963764
2013-09-26,6622741
2013-09-27,4868733
2013-09-30,4058505
2013-10-01,6762929
2013-10-02,5635725
2013-10-03,4274829
2013-10-04,10201947
2013-10-07,3438196
2013-10-08,5311978
2013-10-09,15715531
2013-10-10,8121557
2013-10-11,6546846
2013-10-14,6913826
2013-10-15,8123276
2013-10-16,10076426
2013-10-17,5084923
2013-10-18,6838751
2013-10-21,7490302
2013-10-22,2822049
2013-10-23,3726316
2013-10-24,2767674
2013-10-25,3031534
2013-10-28,4018359
2013-10-29,7943411
2013-10-30,6792479
2013-10-31,8865067
2013-11-01,4394056
2013-11-04,5979953
2013-11-05,8650216
2013-11-06,4984538
2013-11-07,4978416
2013-11-08,6843615
2013-11-11,3421597
2013-11-12,6271219
2013-11-13,4343052
2013-11-14,8795537
2013-11-15,9346072
2013-11-18,11745135
2013-11-19,7398307
2013-11-20,12925027
2013-11-21,16938150
2013-11-22,13522554
2013-11-25,6742192
2013-11-26,7144829
2013-11-27,6700517
2013-11-29,1505613
2013-12-02,5294729
2013-12-03,7911952
2013-12-04,5061675
2013-12-05,4832074
2013-12-06,4909459
2013-12-09,5550998
2013-12-10,8856178
2013-12-11,8010770
2013-12-12,4822542
2013-12-13,4342393
2013-12-16,5877237
2013-12-17,6176524
2013-12-18,6432384
2013-12-19,6601582
2013-12-20,7389483
2013-12-23,11042523
2013-12-24,2871351
2013-12-26,3435242
2013-12-27,4727263
2013-12-30,5057924
2013-12-31,5316958
2014-01-02,6205261
2014-01-03,7195849
2014-01-06,9484498
2014-01-07,5537202
