dt,volume
2010-01-04,79442330
2010-01-05,102522128
2010-01-06,77240614
2010-01-07,224863655
2010-01-08,100730375
2010-01-11,72744398
2010-01-12,89931423
2010-01-13,112247326
2010-01-14,82434675
2010-01-15,68387649
2010-01-19,74939793
2010-01-20,97872147
2010-01-21,140814477
2010-01-22,108372619
2010-01-25,109008394
2010-01-26,95221228
2010-01-27,120213598
2010-01-28,112323464
2010-01-29,125604977
2010-02-01,100400909
2010-02-02,158077441
2010-02-03,119881832
2010-02-04,98841996
2010-02-05,130568144
2010-02-08,123807047
2010-02-09,252341951
2010-02-10,204419216
2010-02-11,108263561
2010-02-12,96287007
2010-02-16,119660026
2010-02-17,105382438
2010-02-18,57665981
2010-02-19,70600124
2010-02-22,62402754
2010-02-23,91407484
2010-02-24,139241648
2010-02-25,76410049
2010-02-26,75465025
2010-03-01,49995620
2010-03-02,52722849
2010-03-03,51518058
2010-03-04,41359316
2010-03-05,59816986
2010-03-08,70012527
2010-03-09,54785111
2010-03-10,81579856
2010-03-11,56875558
2010-03-12,63715001
2010-03-15,41100348
2010-03-16,62810775
2010-03-17,63580427
2010-03-18,46776570
2010-03-19,86099244
2010-03-22,83591302
2010-03-23,88189477
2010-03-24,121057069
2010-03-25,74831509
2010-03-26,77238225
2010-03-29,55971459
2010-03-30,52610714
2010-03-31,57306458
2010-04-01,64910450
2010-04-05,100519831
2010-04-06,104731369
2010-04-07,97835471
2010-04-08,82229237
2010-04-09,72758944
2010-04-12,60693103
2010-04-13,70474306
2010-04-14,91039154
2010-04-15,60449159
2010-04-16,91746106
2010-04-19,58134443
2010-04-20,79790337
2010-04-21,96943437
2010-04-22,174801760
2010-04-23,327146809
2010-04-26,119733659
2010-04-27,164285413
2010-04-28,110995328
2010-04-29,97643651
2010-04-30,143002618
2010-05-03,135061530
2010-05-04,161046859
2010-05-05,142655440
2010-05-06,155648596
2010-05-07,241109696
2010-05-10,185279134
2010-05-11,131471258
2010-05-12,127352539
2010-05-13,124058710
2010-05-14,140219740
2010-05-17,123247150
2010-05-18,103623438
2010-05-19,112563612
2010-05-20,106302442
2010-05-21,117399701
2010-05-24,102301425
2010-05-25,122713505
2010-05-26,130922692
2010-05-27,87928032
2010-05-28,101657508
2010-06-01,104383183
2010-06-02,81686012
2010-06-03,92317517
2010-06-04,169188788
2010-06-07,86409477
2010-06-08,131875150
2010-06-09,118774592
2010-06-10,161028371
2010-06-11,150247245
2010-06-14,125147211
2010-06-15,120208952
2010-06-16,127495116
2010-06-17,94152354
2010-06-18,103184726
2010-06-21,74042006
2010-06-22,203907913
2010-06-23,169613152
2010-06-24,120804690
2010-06-25,106985025
2010-06-28,72310688
2010-06-29,93530709
2010-06-30,113846466
2010-07-01,164121382
2010-07-02,88037431
2010-07-06,114948090
2010-07-07,105981527
2010-07-08,144731389
2010-07-09,75725214
2010-07-12,82794449
2010-07-13,97696996
2010-07-14,116783225
2010-07-15,111196741
2010-07-16,94594532
2010-07-19,127000542
2010-07-20,107208551
2010-07-21,116660363
2010-07-22,90211140
2010-07-23,75377972
2010-07-26,164067878
2010-07-27,125759604
2010-07-28,63961094
2010-07-29,91939768
2010-07-30,94701857
2010-08-02,73910553
2010-08-03,174456719
2010-08-04,123783162
2010-08-05,92745058
2010-08-06,78414395
2010-08-09,62690240
2010-08-10,50552286
2010-08-11,78331521
2010-08-12,68299187
2010-08-13,74489222
2010-08-16,66612882
2010-08-17,80220962
2010-08-18,57617116
2010-08-19,54326351
2010-08-20,45366093
2010-08-23,51633999
2010-08-24,156618334
2010-08-25,97070970
2010-08-26,78535557
2010-08-27,75472650
2010-08-30,70826477
2010-08-31,88305061
2010-09-01,78071799
2010-09-02,91202489
2010-09-03,73693768
2010-09-07,48831921
2010-09-08,44310683
2010-09-09,46646916
2010-09-10,58398898
2010-09-13,66541563
2010-09-14,37983519
2010-09-15,38747858
2010-09-16,118785327
2010-09-17,50958116
2010-09-20,87780547
2010-09-21,72092836
2010-09-22,82323102
2010-09-23,95114542
2010-09-24,71327713
2010-09-27,72745288
2010-09-28,107145041
2010-09-29,64543221
2010-09-30,77332372
2010-10-01,59006196
2010-10-04,44868968
2010-10-05,53058486
2010-10-06,62947433
2010-10-07,47677854
2010-10-08,103948418
2010-10-11,75926288
2010-10-12,56515453
2010-10-13,60359570
2010-10-14,121169225
2010-10-15,132473976
2010-10-18,280630800
2010-10-19,195987473
2010-10-20,236914842
2010-10-21,92741495
2010-10-22,35784102
2010-10-25,123196743
2010-10-26,102654268
2010-10-27,67312721
2010-10-28,89842781
2010-10-29,37539680
2010-11-01,51954454
2010-11-02,148617606
2010-11-03,300757032
2010-11-04,228229737
2010-11-05,139119136
2010-11-08,91294635
2010-11-09,58312298
2010-11-10,79809893
2010-11-11,60353397
2010-11-12,99300155
2010-11-15,155287081
2010-11-16,140264990
2010-11-17,144268082
2010-11-18,129681001
2010-11-19,152168234
2010-11-22,103423114
2010-11-23,185290421
2010-11-24,144842498
2010-11-26,38172330
2010-11-29,74684818
2010-11-30,87573905
2010-12-01,162895499
2010-12-02,254074021
2010-12-03,122506485
2010-12-06,84500977
2010-12-07,73939481
2010-12-08,167852190
2010-12-09,97697541
2010-12-10,91391520
2010-12-13,74329057
2010-12-14,64804308
2010-12-15,81175198
2010-12-16,56717586
2010-12-17,84614120
2010-12-20,99680484
2010-12-21,73753246
2010-12-22,100406625
2010-12-23,90244224
2010-12-27,41898334
2010-12-28,58407255
2010-12-29,32234354
2010-12-30,66969856
2010-12-31,36247637
2011-01-03,106878593
2011-01-04,74593313
2011-01-05,101682212
2011-01-06,149913544
2011-01-07,238581871
2011-01-10,158939602
2011-01-11,171233294
2011-01-12,90012499
2011-01-13,45746032
2011-01-14,86742094
2011-01-18,89500400
2011-01-19,112255339
2011-01-20,125935360
2011-01-21,96921251
2011-01-24,66592717
2011-01-25,73246723
2011-01-26,146516909
2011-01-27,165000524
2011-01-28,101910321
2011-01-31,140854896
2011-02-01,77392017
2011-02-02,95506200
2011-02-03,140407585
2011-02-04,230018691
2011-02-07,165998025
2011-02-08,140950106
2011-02-09,117882820
2011-02-10,118717879
2011-02-11,118998513
2011-02-14,92568769
2011-02-15,110707079
2011-02-16,98104532
2011-02-17,152676680
2011-02-18,92221165
2011-02-22,237248367
2011-02-23,217610382
2011-02-24,285684783
2011-02-25,134003875
2011-02-28,108825521
2011-03-01,135863117
2011-03-02,130496770
2011-03-03,151265023
2011-03-04,111198901
2011-03-07,102225930
2011-03-08,315727621
2011-03-09,147566696
2011-03-10,151094285
2011-03-11,154580769
2011-03-14,91504994
2011-03-15,107754753
2011-03-16,144420645
2011-03-17,68242108
2011-03-18,84493212
2011-03-21,76828891
2011-03-22,51460501
2011-03-23,221277742
2011-03-24,79482168
2011-03-25,86783978
2011-03-28,149697530
2011-03-29,180461424
2011-03-30,100905222
2011-03-31,120981836
2011-04-01,58161972
2011-04-04,55520137
2011-04-05,132275352
2011-04-06,96770300
2011-04-07,134208023
2011-04-08,91078797
2011-04-11,69402873
2011-04-12,79237578
2011-04-13,62153577
2011-04-14,37684247
2011-04-15,63911714
2011-04-18,92818406
2011-04-19,150195650
2011-04-20,138878588
2011-04-21,137814710
2011-04-25,105468204
2011-04-26,122234813
2011-04-27,76937221
2011-04-28,255530911
2011-04-29,68117637
2011-05-02,127212817
2011-05-03,71257184
2011-05-04,92671409
2011-05-05,85022929
2011-05-06,77147564
2011-05-09,73858010
2011-05-10,59874479
2011-05-11,94482617
2011-05-12,71252028
2011-05-13,71108265
2011-05-16,71872702
2011-05-17,96807153
2011-05-18,100624352
2011-05-19,70691006
2011-05-20,95827852
2011-05-23,48451252
2011-05-24,63016951
2011-05-25,58836916
2011-05-26,87645925
2011-05-27,91332017
2011-05-31,131282237
2011-06-01,95636608
2011-06-02,72787220
2011-06-03,70313197
2011-06-06,63116408
2011-06-07,77749368
2011-06-08,95816903
2011-06-09,133894577
2011-06-10,105220603
2011-06-13,63623182
2011-06-14,98212436
2011-06-15,107458711
2011-06-16,80786556
2011-06-17,54853827
2011-06-20,58509830
2011-06-21,70454192
2011-06-22,121141582
2011-06-23,148302896
2011-06-24,46412570
2011-06-27,110765393
2011-06-28,91174129
2011-06-29,133261219
2011-06-30,78402210
2011-07-01,47314607
2011-07-05,64338696
2011-07-06,55656818
2011-07-07,77301705
2011-07-08,78700007
2011-07-11,66830081
2011-07-12,133096273
2011-07-13,75374055
2011-07-14,94461138
2011-07-15,77666403
2011-07-18,82938504
2011-07-19,95612341
2011-07-20,52586024
2011-07-21,55951717
2011-07-22,57603874
2011-07-25,60070981
2011-07-26,75865610
2011-07-27,98599185
2011-07-28,203102600
2011-07-29,131044327
2011-08-01,131180638
2011-08-02,135058322
2011-08-03,172704721
2011-08-04,191060619
2011-08-05,319460721
2011-08-08,291235317
2011-08-09,188139655
2011-08-10,204351118
2011-08-11,186287120
2011-08-12,132252567
2011-08-15,178601570
2011-08-16,146495151
2011-08-17,88821494
2011-08-18,197452125
2011-08-19,147152166
2011-08-22,120157750
2011-08-23,258856020
2011-08-24,184025670
2011-08-25,346730532
2011-08-26,308658745
2011-08-29,151257326
2011-08-30,407104401
2011-08-31,164584205
2011-09-01,84807944
2011-09-02,160615109
2011-09-06,156109031
2011-09-07,125350680
2011-09-08,168699723
2011-09-09,149561229
2011-09-12,216776984
2011-09-13,124938697
2011-09-14,156230814
2011-09-15,103411425
2011-09-16,186645678
2011-09-19,121395052
2011-09-20,194031318
2011-09-21,144487988
2011-09-22,147199506
2011-09-23,80488762
2011-09-26,102105291
2011-09-27,156006951
2011-09-28,86640685
2011-09-29,157039125
2011-09-30,87763006
2011-10-03,96436692
2011-10-04,137794861
2011-10-05,131732272
2011-10-06,90058985
2011-10-07,87420893
2011-10-10,91407458
2011-10-11,64485678
2011-10-12,101460180
2011-10-13,181130687
2011-10-14,131491491
2011-10-17,134627375
2011-10-18,232337525
2011-10-19,236737504
2011-10-20,117041288
2011-10-21,273217853
2011-10-24,201508183
2011-10-25,225999267
2011-10-26,168058729
2011-10-27,249481010
2011-10-28,199030194
2011-10-31,166934500
2011-11-01,201352573
2011-11-02,102116354
2011-11-03,127426975
2011-11-04,135840821
2011-11-07,165552549
2011-11-08,329551108
2011-11-09,279230721
2011-11-10,151298692
2011-11-11,143908937
2011-11-14,87210790
2011-11-15,138438588
2011-11-16,158796158
2011-11-17,118236075
2011-11-18,91170263
2011-11-21,116813851
2011-11-22,133633922
2011-11-23,115868554
2011-11-25,36094164
2011-11-28,183439241
2011-11-29,169472199
2011-11-30,240823567
2011-12-01,127924728
2011-12-02,156352442
2011-12-05,152606055
2011-12-06,157322805
2011-12-07,186118377
2011-12-08,168939461
2011-12-09,153212750
2011-12-12,104830534
2011-12-13,65886496
2011-12-14,148699975
2011-12-15,120580955
2011-12-16,96277507
2011-12-19,102955754
2011-12-20,140858229
2011-12-21,101651367
2011-12-22,102766375
2011-12-23,51800920
2011-12-27,39904102
2011-12-28,56424634
2011-12-29,79399618
2011-12-30,63429584
2012-01-03,131614149
2012-01-04,131803476
2012-01-05,139796994
2012-01-06,174572635
2012-01-09,106496958
2012-01-10,168721828
2012-01-11,319981117
2012-01-12,159747787
2012-01-13,169141001
2012-01-17,172530587
2012-01-18,293255287
2012-01-19,248724955
2012-01-20,181474804
2012-01-23,235318964
2012-01-24,128356367
2012-01-25,186529975
2012-01-26,170217595
2012-01-27,98970405
2012-01-30,127947685
2012-01-31,188082761
2012-02-01,179752207
2012-02-02,289169034
2012-02-03,259266125
2012-02-06,209994733
2012-02-07,174953660
2012-02-08,199976893
2012-02-09,292498507
2012-02-10,203201200
2012-02-13,193157495
2012-02-14,151772135
2012-02-15,325405490
2012-02-16,228560983
2012-02-17,145351545
2012-02-21,134366504
2012-02-22,230434017
2012-02-23,145071731
2012-02-24,124479213
2012-02-27,173714518
2012-02-28,96891858
2012-02-29,203188927
2012-03-01,110188907
2012-03-02,77350425
2012-03-05,75710300
2012-03-06,133586240
2012-03-07,85291642
2012-03-08,133835078
2012-03-09,198023270
2012-03-12,110544198
2012-03-13,138953763
2012-03-14,137408097
2012-03-15,109836407
2012-03-16,110429485
2012-03-19,193911631
2012-03-20,190759149
2012-03-21,107495016
2012-03-22,124410966
2012-03-23,349036214
2012-03-26,147522331
2012-03-27,189257709
2012-03-28,205381307
2012-03-29,198069551
2012-03-30,104815053
2012-04-02,146178637
2012-04-03,196023020
2012-04-04,197827006
2012-04-05,127889041
2012-04-09,126751842
2012-04-10,206196980
2012-04-11,286045298
2012-04-12,120479914
2012-04-13,190864385
