dt,volume
2010-01-04,55250134
2010-01-05,83074626
2010-01-06,33901515
2010-01-07,69519044
2010-01-08,46249789
2010-01-11,39746279
2010-01-12,32510525
2010-01-13,36095373
2010-01-14,36587000
2010-01-15,48798933
2010-01-19,56378379
2010-01-20,86191307
2010-01-21,163553265
2010-01-22,93493304
2010-01-25,47334488
2010-01-26,41226119
2010-01-27,51659985
2010-01-28,44933779
2010-01-29,109688499
2010-02-01,56759440
2010-02-02,77717629
2010-02-03,993691484
2010-02-04,320792475
2010-02-05,165491008
2010-02-08,69361345
2010-02-09,130813127
2010-02-10,81448406
2010-02-11,63448120
2010-02-12,96143032
2010-02-16,83353257
2010-02-17,86690747
2010-02-18,43000638
2010-02-19,71994714
2010-02-22,92093824
2010-02-23,63959234
2010-02-24,76670356
2010-02-25,60848035
2010-02-26,56293217
2010-03-01,42912884
2010-03-02,77480199
2010-03-03,50894815
2010-03-04,60731008
2010-03-05,61266929
2010-03-08,46584727
2010-03-09,57896122
2010-03-10,83430800
2010-03-11,62845017
2010-03-12,48962738
2010-03-15,59599277
2010-03-16,46540343
2010-03-17,77829750
2010-03-18,59095818
2010-03-19,67473936
2010-03-22,38685399
2010-03-23,33686666
2010-03-24,48627460
2010-03-25,63620579
2010-03-26,48276307
2010-03-29,36015883
2010-03-30,51186341
2010-03-31,47672148
2010-04-01,34145113
2010-04-05,33995997
2010-04-06,44219628
2010-04-07,61937608
2010-04-08,80301541
2010-04-09,67276842
2010-04-12,62951810
2010-04-13,87714009
2010-04-14,45986090
2010-04-15,41460042
2010-04-16,124605085
2010-04-19,59273086
2010-04-20,37997461
2010-04-21,83159554
2010-04-22,167396674
2010-04-23,70908791
2010-04-26,48180141
2010-04-27,72870668
2010-04-28,85427952
2010-04-29,86337520
2010-04-30,135585569
2010-05-03,61902162
2010-05-04,61523620
2010-05-05,107846601
2010-05-06,99133707
2010-05-07,97112607
2010-05-10,74411141
2010-05-11,53434097
2010-05-12,39892956
2010-05-13,36002123
2010-05-14,65309566
2010-05-17,57166732
2010-05-18,79937658
2010-05-19,91647904
2010-05-20,84039235
2010-05-21,101069837
2010-05-24,91825056
2010-05-25,77552368
2010-05-26,78908560
2010-05-27,49031947
2010-05-28,43845522
2010-06-01,42576341
2010-06-02,48329566
2010-06-03,47929897
2010-06-04,78530580
2010-06-07,60977663
2010-06-08,46327402
2010-06-09,55415108
2010-06-10,36703394
2010-06-11,41877788
2010-06-14,46672538
2010-06-15,44032800
2010-06-16,44946057
2010-06-17,35606915
2010-06-18,53117963
2010-06-21,37852633
2010-06-22,41664766
2010-06-23,40592242
2010-06-24,45551493
2010-06-25,45474394
2010-06-28,34385142
2010-06-29,47719300
2010-06-30,37532573
2010-07-01,68624227
2010-07-02,37242453
2010-07-06,47444790
2010-07-07,82036596
2010-07-08,63012139
2010-07-09,42242633
2010-07-12,26691386
2010-07-13,36827380
2010-07-14,56483033
2010-07-15,43518172
2010-07-16,64845683
2010-07-19,61591619
2010-07-20,56630368
2010-07-21,70521491
2010-07-22,93195628
2010-07-23,45934048
2010-07-26,33858256
2010-07-27,38391343
2010-07-28,76183453
2010-07-29,42864028
2010-07-30,27839731
2010-08-02,38179502
2010-08-03,29234083
2010-08-04,33421052
2010-08-05,33928618
2010-08-06,49940882
2010-08-09,62929539
2010-08-10,45462155
2010-08-11,50479476
2010-08-12,43845189
2010-08-13,54510160
2010-08-16,36100459
2010-08-17,61081650
2010-08-18,42873418
2010-08-19,50511218
2010-08-20,89268682
2010-08-23,55831931
2010-08-24,95200015
