dt,volume
2010-01-04,14131781
2010-01-05,21433640
2010-01-06,15578771
2010-01-07,17263936
2010-01-08,14542443
2010-01-11,10976331
2010-01-12,121828632
2010-01-13,80638937
2010-01-14,43433504
2010-01-15,41406240
2010-01-19,24116175
2010-01-20,35517352
2010-01-21,46357042
2010-01-22,49651337
2010-01-25,39414377
2010-01-26,45680208
2010-01-27,79189536
2010-01-28,34999722
2010-01-29,31610040
2010-02-01,43233106
2010-02-02,57239797
2010-02-03,23615505
2010-02-04,38564504
2010-02-05,42858207
2010-02-08,36756027
2010-02-09,33084578
2010-02-10,32446873
2010-02-11,41312564
2010-02-12,22469313
2010-02-16,27176253
2010-02-17,19266533
2010-02-18,19857485
2010-02-19,48412498
2010-02-22,20997378
2010-02-23,36475586
2010-02-24,37663959
2010-02-25,43200985
2010-02-26,18639394
2010-03-01,26265558
2010-03-02,27188816
2010-03-03,16249872
2010-03-04,17672284
2010-03-05,13084289
2010-03-08,12398025
2010-03-09,85763388
2010-03-10,31081004
2010-03-11,31475691
2010-03-12,41432478
2010-03-15,27307898
2010-03-16,54418987
2010-03-17,25020354
2010-03-18,34245283
2010-03-19,35718147
2010-03-22,25744507
2010-03-23,21988463
2010-03-24,15995369
2010-03-25,12408516
2010-03-26,17139862
2010-03-29,27090278
2010-03-30,20505493
2010-03-31,13523148
2010-04-01,25944781
2010-04-05,39838132
2010-04-06,37492467
2010-04-07,22650309
2010-04-08,60155154
2010-04-09,52753050
2010-04-12,26454834
2010-04-13,23302290
2010-04-14,32586992
2010-04-15,15137555
2010-04-16,41490156
2010-04-19,34770401
2010-04-20,21111713
2010-04-21,19559522
2010-04-22,27773251
2010-04-23,25118549
2010-04-26,24483830
2010-04-27,56019992
2010-04-28,42135891
2010-04-29,35377875
2010-04-30,129794459
2010-05-03,44877994
2010-05-04,42789583
2010-05-05,41768409
2010-05-06,33729087
2010-05-07,55677498
2010-05-10,40976625
2010-05-11,51239662
2010-05-12,27534894
2010-05-13,25269070
2010-05-14,45437667
2010-05-17,40271067
2010-05-18,36390594
2010-05-19,35601780
2010-05-20,36897680
2010-05-21,54122100
2010-05-24,29802439
2010-05-25,27931648
2010-05-26,44307291
2010-05-27,34410091
2010-05-28,29408266
2010-06-01,31450624
2010-06-02,20013478
2010-06-03,28740935
2010-06-04,28189292
2010-06-07,42677921
2010-06-08,49576143
2010-06-09,55628488
2010-06-10,55772932
2010-06-11,55663584
2010-06-14,35913237
2010-06-15,36760379
2010-06-16,24266649
2010-06-17,28947231
2010-06-18,34430800
2010-06-21,24617113
2010-06-22,22193025
2010-06-23,28736644
2010-06-24,23624670
2010-06-25,19773372
2010-06-28,18572015
2010-06-29,27088920
2010-06-30,18831408
2010-07-01,25147256
2010-07-02,20540339
2010-07-06,23856984
2010-07-07,24198325
2010-07-08,18952583
2010-07-09,16365264
2010-07-12,14835943
2010-07-13,12535970
2010-07-14,21867753
2010-07-15,14956707
2010-07-16,17157631
2010-07-19,17298975
2010-07-20,17833203
2010-07-21,33266828
2010-07-22,45209568
2010-07-23,236338100
2010-07-26,78042083
2010-07-27,60075434
2010-07-28,35507931
2010-07-29,28115344
2010-07-30,26791580
2010-08-02,24659776
2010-08-03,32735391
2010-08-04,31611789
2010-08-05,29453223
2010-08-06,45795596
2010-08-09,15160871
2010-08-10,23560633
2010-08-11,27149632
2010-08-12,38822567
2010-08-13,14172688
2010-08-16,17063907
2010-08-17,15452475
2010-08-18,16602918
2010-08-19,23584976
2010-08-20,20577119
2010-08-23,20570611
2010-08-24,18729795
2010-08-25,21731291
2010-08-26,20284835
2010-08-27,30408480
2010-08-30,33418758
2010-08-31,26299621
2010-09-01,23111546
2010-09-02,25080533
2010-09-03,31450851
2010-09-07,25758584
2010-09-08,20605052
2010-09-09,22385149
2010-09-10,18190042
2010-09-13,18788655
2010-09-14,40072554
2010-09-15,29448980
2010-09-16,34904395
2010-09-17,24059167
2010-09-20,17576980
2010-09-21,26056556
2010-09-22,68550346
2010-09-23,39869155
2010-09-24,34499640
2010-09-27,23351159
2010-09-28,42903194
2010-09-29,22531571
2010-09-30,29607809
2010-10-01,41006847
2010-10-04,35910580
2010-10-05,34541110
2010-10-06,35533298
2010-10-07,86147150
2010-10-08,65711665
2010-10-11,33062959
2010-10-12,35079175
2010-10-13,40541046
2010-10-14,27916694
2010-10-15,54130775
2010-10-18,28667346
2010-10-19,41819748
2010-10-20,31659125
2010-10-21,48637367
2010-10-22,68108203
2010-10-25,36840774
2010-10-26,23151587
2010-10-27,17810448
2010-10-28,41758012
2010-10-29,35583597
2010-11-01,26392448
2010-11-02,22033381
2010-11-03,21770738
2010-11-04,20006447
2010-11-05,17385137
2010-11-08,25672613
2010-11-09,19751133
2010-11-10,22284307
2010-11-11,28914553
2010-11-12,15654112
2010-11-15,13949409
2010-11-16,13772000
2010-11-17,13428515
2010-11-18,13621253
2010-11-19,14095020
2010-11-22,11553790
2010-11-23,24998925
2010-11-24,21278935
2010-11-26,7731886
2010-11-29,11872381
2010-11-30,15959890
2010-12-01,19387074
2010-12-02,17863307
2010-12-03,16657385
2010-12-06,12862587
2010-12-07,15981902
2010-12-08,13807183
2010-12-09,14153891
2010-12-10,35719620
2010-12-13,20206973
2010-12-14,16369493
2010-12-15,21291209
2010-12-16,13651682
2010-12-17,32964623
2010-12-20,20691979
2010-12-21,8169297
2010-12-22,14519281
2010-12-23,21226023
2010-12-27,13850275
2010-12-28,10336472
2010-12-29,7363422
2010-12-30,9063911
2010-12-31,6693229
2011-01-03,11847950
2011-01-04,18282816
2011-01-05,15200993
2011-01-06,13276800
2011-01-07,17819031
2011-01-10,9826057
2011-01-11,11144867
2011-01-12,91624273
2011-01-13,34135131
2011-01-14,50494943
2011-01-18,47303804
2011-01-19,26051602
2011-01-20,31035354
2011-01-21,27878327
2011-01-24,23594432
2011-01-25,22689922
2011-01-26,17877807
2011-01-27,20930768
2011-01-28,36546945
2011-01-31,20866162
2011-02-01,15979736
2011-02-02,39444660
2011-02-03,18310943
2011-02-04,19335882
2011-02-07,24236931
2011-02-08,13151693
2011-02-09,17554270
2011-02-10,18260832
2011-02-11,21083860
2011-02-14,17600269
2011-02-15,12319616
2011-02-16,14729190
2011-02-17,19084092
2011-02-18,13233428
2011-02-22,19733494
2011-02-23,28661367
2011-02-24,21139580
2011-02-25,12403021
2011-02-28,17568393
2011-03-01,35504935
2011-03-02,26205338
2011-03-03,17399438
2011-03-04,18963134
2011-03-07,19170092
2011-03-08,12366999
2011-03-09,25681925
2011-03-10,27199135
2011-03-11,17112069
2011-03-14,16859299
2011-03-15,20748729
2011-03-16,21689769
2011-03-17,18485651
2011-03-18,12635043
2011-03-21,13402857
2011-03-22,13876103
2011-03-23,18415272
2011-03-24,18280474
2011-03-25,22036140
2011-03-28,14578249
2011-03-29,9553486
2011-03-30,14130814
2011-03-31,13665553
2011-04-01,14537089
2011-04-04,11883782
2011-04-05,20456716
2011-04-06,17683644
2011-04-07,7049354
2011-04-08,13561116
2011-04-11,17869296
2011-04-12,18634712
2011-04-13,11947740
2011-04-14,9929003
2011-04-15,10936219
2011-04-18,7983203
2011-04-19,7569027
2011-04-20,20662461
2011-04-21,8392527
2011-04-25,7471398
2011-04-26,15887204
2011-04-27,8781940
2011-04-28,10801101
2011-04-29,6699382
2011-05-02,9364100
2011-05-03,8603555
2011-05-04,8841514
2011-05-05,17796897
2011-05-06,39100514
2011-05-09,17461576
2011-05-10,9165002
2011-05-11,10827342
2011-05-12,10464490
2011-05-13,6774129
2011-05-16,7053840
2011-05-17,13707462
2011-05-18,22523344
2011-05-19,15190223
2011-05-20,9490794
2011-05-23,10146954
2011-05-24,60389873
2011-05-25,49800048
