dt,volume
2010-01-04,12059531
2010-01-05,13031025
2010-01-06,10799630
2010-01-07,7831785
2010-01-08,6619502
2010-01-11,22923991
2010-01-12,21548003
2010-01-13,8447271
2010-01-14,7840274
2010-01-15,13336419
2010-01-19,12035850
2010-01-20,15223838
2010-01-21,19418455
2010-01-22,11679948
2010-01-25,8143755
2010-01-26,17273672
2010-01-27,130985713
2010-01-28,43191776
2010-01-29,32428838
2010-02-01,14606100
2010-02-02,25993032
2010-02-03,24107354
2010-02-04,16716777
2010-02-05,36824356
2010-02-08,20631774
2010-02-09,18971486
2010-02-10,15087065
2010-02-11,14825758
2010-02-12,16536845
2010-02-16,20630933
2010-02-17,14549771
2010-02-18,6926504
2010-02-19,12760154
2010-02-22,9270420
2010-02-23,8435602
2010-02-24,8584157
2010-02-25,12634686
2010-02-26,8451456
2010-03-01,10061016
2010-03-02,7920280
2010-03-03,14558744
2010-03-04,5627170
2010-03-05,23865813
2010-03-08,15645393
2010-03-09,9006356
2010-03-10,11745867
2010-03-11,12299285
2010-03-12,13166974
2010-03-15,10553562
2010-03-16,12545776
2010-03-17,9795582
2010-03-18,7752807
2010-03-19,24240659
2010-03-22,13656977
2010-03-23,21801316
2010-03-24,8514448
2010-03-25,12191850
2010-03-26,13323859
2010-03-29,13398908
2010-03-30,13374022
2010-03-31,10418031
2010-04-01,10807546
2010-04-05,7252631
2010-04-06,13217432
2010-04-07,10660923
2010-04-08,11225159
2010-04-09,10904303
2010-04-12,9455665
2010-04-13,23871741
2010-04-14,9771324
2010-04-15,10737809
2010-04-16,17123954
2010-04-19,11130216
2010-04-20,8471835
2010-04-21,12589458
2010-04-22,20988871
2010-04-23,6099506
2010-04-26,8750360
2010-04-27,12674126
2010-04-28,28320872
2010-04-29,25975779
2010-04-30,20979419
2010-05-03,9054268
2010-05-04,16034740
2010-05-05,15984211
2010-05-06,15568149
2010-05-07,20273107
2010-05-10,22370798
2010-05-11,14128901
2010-05-12,12339207
2010-05-13,8943474
2010-05-14,12149850
2010-05-17,20993525
2010-05-18,13046676
2010-05-19,19093663
2010-05-20,40001256
2010-05-21,29447391
2010-05-24,12207087
2010-05-25,25919319
2010-05-26,17565538
2010-05-27,9794642
2010-05-28,9015875
2010-06-01,7293700
2010-06-02,8701761
2010-06-03,8821258
