dt,volume
2010-01-04,14844039
2010-01-05,12140360
2010-01-06,17262136
2010-01-07,19210605
2010-01-08,18070933
2010-01-11,26123072
2010-01-12,15891581
2010-01-13,13116424
2010-01-14,11598848
2010-01-15,26132902
2010-01-19,17920317
2010-01-20,14278606
2010-01-21,35355040
2010-01-22,21428324
2010-01-25,23234834
2010-01-26,26931474
2010-01-27,18542038
2010-01-28,17087917
2010-01-29,16285644
2010-02-01,11874752
2010-02-02,25344902
2010-02-03,21143705
2010-02-04,28413208
2010-02-05,51298561
2010-02-08,20813092
2010-02-09,21547644
2010-02-10,16670966
2010-02-11,25277409
2010-02-12,64793670
2010-02-16,47043788
2010-02-17,26030247
2010-02-18,21341153
2010-02-19,31068283
2010-02-22,27260605
2010-02-23,24951078
2010-02-24,17491568
2010-02-25,22921174
2010-02-26,18954220
2010-03-01,22077233
2010-03-02,23355236
2010-03-03,15425710
2010-03-04,14848241
2010-03-05,26281028
2010-03-08,15743214
2010-03-09,26164869
2010-03-10,50496077
2010-03-11,24880440
2010-03-12,21728312
2010-03-15,24935313
2010-03-16,29593279
2010-03-17,33492974
2010-03-18,27788165
2010-03-19,42894344
2010-03-22,37032006
2010-03-23,17681151
2010-03-24,32845100
2010-03-25,26329442
2010-03-26,33551233
2010-03-29,46330687
2010-03-30,18298865
2010-03-31,28038129
2010-04-01,15771624
2010-04-05,18191125
2010-04-06,17374319
2010-04-07,19994151
2010-04-08,19797094
2010-04-09,18198730
2010-04-12,20433844
2010-04-13,21851839
2010-04-14,41013885
2010-04-15,44782262
2010-04-16,47738682
2010-04-19,21741483
2010-04-20,30268230
2010-04-21,24586083
2010-04-22,26416691
2010-04-23,47078750
2010-04-26,24948674
2010-04-27,49717457
2010-04-28,22737740
2010-04-29,36447566
2010-04-30,74585647
2010-05-03,29164638
2010-05-04,48736350
2010-05-05,29352330
2010-05-06,46418481
2010-05-07,66170000
2010-05-10,38256775
2010-05-11,25029382
2010-05-12,25132141
2010-05-13,38657402
2010-05-14,26465224
2010-05-17,46819777
2010-05-18,48731911
2010-05-19,37480615
2010-05-20,45828477
2010-05-21,53919512
2010-05-24,26130210
2010-05-25,41327579
2010-05-26,35183130
2010-05-27,34703166
2010-05-28,14492942
2010-06-01,28991217
2010-06-02,28270532
2010-06-03,19875745
2010-06-04,30178987
2010-06-07,24413798
2010-06-08,49793177
2010-06-09,44858957
2010-06-10,35455305
2010-06-11,22376318
2010-06-14,28882859
2010-06-15,29455331
2010-06-16,23930972
2010-06-17,25950697
2010-06-18,32091622
2010-06-21,24257919
2010-06-22,22421036
2010-06-23,21573629
2010-06-24,30723216
2010-06-25,16632177
2010-06-28,20031274
2010-06-29,26315677
2010-06-30,24309566
2010-07-01,41908985
2010-07-02,19350888
2010-07-06,29002481
2010-07-07,39657638
2010-07-08,21257447
2010-07-09,20885217
2010-07-12,14554008
2010-07-13,20711727
2010-07-14,37580417
2010-07-15,22484148
2010-07-16,32211855
2010-07-19,16030974
2010-07-20,21518075
2010-07-21,50185687
2010-07-22,46987326
2010-07-23,19644855
2010-07-26,24486448
2010-07-27,28072534
2010-07-28,14738559
2010-07-29,28322255
2010-07-30,31508488
2010-08-02,22125769
2010-08-03,20784398
2010-08-04,15744234
2010-08-05,18018852
2010-08-06,32243153
2010-08-09,15829451
2010-08-10,17709250
2010-08-11,31220008
2010-08-12,60923296
2010-08-13,23233601
2010-08-16,23721040
2010-08-17,24430389
2010-08-18,16412400
2010-08-19,67636341
2010-08-20,64067527
2010-08-23,42953642
2010-08-24,42363591
2010-08-25,26446441
2010-08-26,21960453
2010-08-27,30243515
2010-08-30,20448613
2010-08-31,23834858
2010-09-01,31785441
2010-09-02,56279610
2010-09-03,30536353
2010-09-07,21313211
2010-09-08,36375445
2010-09-09,42303855
2010-09-10,26596552
2010-09-13,20173546
2010-09-14,29699870
2010-09-15,27404210
2010-09-16,24829695
2010-09-17,38435683
2010-09-20,25876668
2010-09-21,33199097
2010-09-22,26731862
2010-09-23,50022969
2010-09-24,44517803
2010-09-27,59063943
2010-09-28,49426152
2010-09-29,42169367
2010-09-30,41482415
2010-10-01,30253973
2010-10-04,24540219
2010-10-05,26141445
2010-10-06,36886928
2010-10-07,23146416
2010-10-08,16702973
2010-10-11,10867276
2010-10-12,15263641
2010-10-13,32075772
2010-10-14,45842661
2010-10-15,55804573
2010-10-18,38790754
2010-10-19,45461700
2010-10-20,24288664
2010-10-21,37188626
2010-10-22,24105710
2010-10-25,21737653
2010-10-26,29269962
2010-10-27,37180973
2010-10-28,28677983
2010-10-29,66095972
2010-11-01,38591286
2010-11-02,50667151
2010-11-03,20211974
2010-11-04,37383669
2010-11-05,215042015
2010-11-08,86769656
2010-11-09,50474008
2010-11-10,40649837
2010-11-11,38612170
2010-11-12,53649610
2010-11-15,30827527
2010-11-16,49824016
2010-11-17,51799532
2010-11-18,35467943
2010-11-19,44824034
2010-11-22,25310139
2010-11-23,20910764
2010-11-24,19800414
2010-11-26,5968849
2010-11-29,31351932
2010-11-30,32750282
2010-12-01,25408318
2010-12-02,28383788
2010-12-03,36391053
2010-12-06,36998850
2010-12-07,36539089
2010-12-08,33940665
2010-12-09,56601250
2010-12-10,41911510
2010-12-13,30926700
2010-12-14,29064913
2010-12-15,41640694
2010-12-16,49870144
2010-12-17,44781748
2010-12-20,26884151
2010-12-21,26991927
2010-12-22,27674837
2010-12-23,35989178
2010-12-27,14688597
2010-12-28,16697166
2010-12-29,11301822
2010-12-30,17227993
2010-12-31,9082649
2011-01-03,24933869
2011-01-04,29922924
2011-01-05,21378231
2011-01-06,25772365
2011-01-07,20686283
2011-01-10,27810823
2011-01-11,23066007
2011-01-12,43216822
2011-01-13,16763762
2011-01-14,28553885
2011-01-18,25595894
2011-01-19,24791857
2011-01-20,27218303
2011-01-21,19423204
2011-01-24,18390916
2011-01-25,16434374
2011-01-26,15306975
2011-01-27,18113614
2011-01-28,25317871
2011-01-31,15605607
2011-02-01,75512563
2011-02-02,27955661
2011-02-03,25856592
2011-02-04,30552522
2011-02-07,26042088
2011-02-08,30904099
2011-02-09,25406562
2011-02-10,14219398
2011-02-11,64422633
2011-02-14,35152188
2011-02-15,29303709
2011-02-16,57790427
2011-02-17,73200481
2011-02-18,65999075
2011-02-22,63979024
2011-02-23,57094405
2011-02-24,50262939
2011-02-25,41598183
2011-02-28,36202484
2011-03-01,32281519
2011-03-02,42571114
2011-03-03,27400986
2011-03-04,24168407
2011-03-07,30676943
2011-03-08,37428461
2011-03-09,76426148
2011-03-10,54154160
2011-03-11,36530263
2011-03-14,31936042
2011-03-15,71161260
2011-03-16,52499248
2011-03-17,44058230
2011-03-18,27913056
2011-03-21,25234913
2011-03-22,29694693
2011-03-23,26446337
2011-03-24,31100003
2011-03-25,65722827
2011-03-28,28271347
2011-03-29,28000183
2011-03-30,18791342
2011-03-31,17744257
2011-04-01,26739050
2011-04-04,15422772
2011-04-05,12806812
2011-04-06,24157331
2011-04-07,20661511
2011-04-08,12528838
2011-04-11,24622047
2011-04-12,47225902
2011-04-13,19481416
2011-04-14,23689303
2011-04-15,25269719
2011-04-18,30208185
2011-04-19,22543684
2011-04-20,26276108
2011-04-21,15335211
2011-04-25,30221756
2011-04-26,29008661
2011-04-27,49575200
2011-04-28,50944011
2011-04-29,79920777
2011-05-02,46830396
2011-05-03,31190838
2011-05-04,32226442
2011-05-05,24603960
2011-05-06,28171423
2011-05-09,22045124
2011-05-10,18322330
2011-05-11,28960003
2011-05-12,32067310
2011-05-13,42307341
2011-05-16,21331827
2011-05-17,49493794
2011-05-18,27731641
2011-05-19,31835927
2011-05-20,28358498
2011-05-23,18559614
2011-05-24,29381954
2011-05-25,29367507
2011-05-26,23667445
2011-05-27,18177789
2011-05-31,34132215
2011-06-01,28690732
2011-06-02,18524282
2011-06-03,23946409
2011-06-06,19922622
2011-06-07,19832249
2011-06-08,31701968
2011-06-09,19215726
2011-06-10,20371516
2011-06-13,26912407
2011-06-14,17907334
2011-06-15,23396196
2011-06-16,30061510
2011-06-17,30175562
2011-06-20,17328196
2011-06-21,10732623
2011-06-22,16174710
2011-06-23,26554466
2011-06-24,25885391
2011-06-27,13984323
2011-06-28,16698692
2011-06-29,26061026
2011-06-30,23721277
2011-07-01,35941815
2011-07-05,24030791
2011-07-06,14795762
2011-07-07,19700686
2011-07-08,16588784
2011-07-11,13343397
2011-07-12,30405969
2011-07-13,29978552
2011-07-14,29647637
2011-07-15,49791373
2011-07-18,19727445
2011-07-19,29457015
2011-07-20,30191251
2011-07-21,22504091
2011-07-22,13072807
2011-07-25,23548558
2011-07-26,18989570
2011-07-27,30120738
2011-07-28,73124934
2011-07-29,50866548
2011-08-01,55527891
2011-08-02,49518942
2011-08-03,53402623
2011-08-04,59778833
2011-08-05,41155590
2011-08-08,76361084
2011-08-09,93486654
2011-08-10,73179409
2011-08-11,42333511
2011-08-12,47481261
2011-08-15,46735646
2011-08-16,47588344
2011-08-17,46590663
2011-08-18,85271693
2011-08-19,84119160
2011-08-22,69926974
2011-08-23,36602216
2011-08-24,39458928
