dt,volume
2010-01-04,23691931
2010-01-05,36399447
2010-01-06,45237389
2010-01-07,45172509
2010-01-08,26783258
2010-01-11,25605748
2010-01-12,25006719
2010-01-13,23958997
2010-01-14,28949436
2010-01-15,38287472
2010-01-19,26458200
2010-01-20,35770232
2010-01-21,42601045
2010-01-22,20076206
2010-01-25,18226389
2010-01-26,27167787
2010-01-27,39245195
2010-01-28,68461152
2010-01-29,39155403
2010-02-01,30762741
2010-02-02,55258683
2010-02-03,30896380
2010-02-04,40518104
2010-02-05,32136525
2010-02-08,26895535
2010-02-09,27897298
2010-02-10,24416266
2010-02-11,24721001
2010-02-12,28325517
2010-02-16,35905174
2010-02-17,34208274
2010-02-18,54190548
2010-02-19,49298715
2010-02-22,32915779
2010-02-23,24255678
2010-02-24,26725295
2010-02-25,24842416
2010-02-26,31276253
2010-03-01,22058284
2010-03-02,25173806
2010-03-03,18647413
2010-03-04,14170032
2010-03-05,18397733
2010-03-08,18886687
2010-03-09,20735657
2010-03-10,16367103
2010-03-11,24605278
2010-03-12,22959634
2010-03-15,28190277
2010-03-16,26686430
2010-03-17,18502249
2010-03-18,21921480
2010-03-19,49523331
2010-03-22,26599785
2010-03-23,32143108
2010-03-24,29762288
2010-03-25,72287597
2010-03-26,35958078
2010-03-29,24951943
2010-03-30,18562465
2010-03-31,17713361
2010-04-01,21694710
2010-04-05,20022880
2010-04-06,16187402
2010-04-07,23588775
2010-04-08,21586338
2010-04-09,15338705
2010-04-12,16694959
2010-04-13,30362415
2010-04-14,38339935
2010-04-15,23866004
2010-04-16,38703642
2010-04-19,25940796
2010-04-20,24217830
2010-04-21,23810058
2010-04-22,48591524
2010-04-23,28782949
2010-04-26,31437967
2010-04-27,40343908
2010-04-28,37992957
2010-04-29,34198371
2010-04-30,24262718
2010-05-03,21944958
2010-05-04,33835254
2010-05-05,34638190
2010-05-06,33379149
2010-05-07,48449845
2010-05-10,65465810
2010-05-11,44309892
2010-05-12,23677259
2010-05-13,27853096
2010-05-14,26172348
2010-05-17,34304627
2010-05-18,38064738
2010-05-19,30628437
2010-05-20,37694484
2010-05-21,59154868
2010-05-24,28829219
2010-05-25,42194143
2010-05-26,43884456
2010-05-27,34114253
2010-05-28,33310344
2010-06-01,31698977
2010-06-02,29963168
2010-06-03,24131070
2010-06-04,32298305
2010-06-07,35407333
2010-06-08,44011391
2010-06-09,27651988
2010-06-10,26211436
2010-06-11,15016242
2010-06-14,20421136
2010-06-15,20781955
2010-06-16,27676086
2010-06-17,15683275
2010-06-18,31001794
2010-06-21,25663960
2010-06-22,17425982
2010-06-23,25658791
2010-06-24,23070701
2010-06-25,18562592
2010-06-28,22088513
2010-06-29,28914110
2010-06-30,31823385
2010-07-01,37075116
2010-07-02,24644818
2010-07-06,20073138
2010-07-07,17932177
2010-07-08,21925084
2010-07-09,22722290
2010-07-12,17723007
2010-07-13,35012697
2010-07-14,35287865
2010-07-15,34718120
2010-07-16,33460419
2010-07-19,26505975
2010-07-20,26475737
2010-07-21,22112042
2010-07-22,40988163
2010-07-23,44191288
2010-07-26,31629683
2010-07-27,58746402
2010-07-28,45820211
2010-07-29,56350146
2010-07-30,55753057
2010-08-02,40102538
2010-08-03,47749347
2010-08-04,39502947
2010-08-05,40141551
2010-08-06,35078327
2010-08-09,24818523
2010-08-10,36411651
2010-08-11,29214926
2010-08-12,34090640
2010-08-13,25859955
2010-08-16,29294523
2010-08-17,33015902
2010-08-18,41490843
2010-08-19,40668327
2010-08-20,58676650
2010-08-23,39047462
2010-08-24,53804781
2010-08-25,49888631
2010-08-26,38960442
2010-08-27,54383227
2010-08-30,39232491
2010-08-31,49985259
2010-09-01,38112809
2010-09-02,38325905
2010-09-03,28836947
2010-09-07,43880106
2010-09-08,52824305
2010-09-09,25522318
2010-09-10,40803727
2010-09-13,39723173
2010-09-14,25043389
2010-09-15,25307788
2010-09-16,19584590
2010-09-17,34044505
2010-09-20,21510819
2010-09-21,35895916
2010-09-22,32071121
2010-09-23,32256503
2010-09-24,34107355
2010-09-27,35229934
2010-09-28,43776479
2010-09-29,46071346
2010-09-30,41081298
2010-10-01,39725318
2010-10-04,27829315
2010-10-05,37615028
2010-10-06,33678964
2010-10-07,29858834
2010-10-08,28596076
2010-10-11,28138232
2010-10-12,28777577
2010-10-13,25556989
2010-10-14,25358275
2010-10-15,25791332
2010-10-18,42506007
2010-10-19,50078263
2010-10-20,32880512
2010-10-21,37264208
2010-10-22,18126643
2010-10-25,19556287
2010-10-26,32007935
2010-10-27,21952268
2010-10-28,98525454
2010-10-29,29105535
2010-11-01,47824769
2010-11-02,43740520
2010-11-03,33876766
2010-11-04,26500470
2010-11-05,22307829
2010-11-08,24133979
2010-11-09,19387467
2010-11-10,27550402
2010-11-11,24462319
2010-11-12,27704512
2010-11-15,15841045
2010-11-16,28090188
2010-11-17,31027045
2010-11-18,26411857
2010-11-19,34949276
2010-11-22,22727869
2010-11-23,28089725
2010-11-24,20891820
2010-11-26,7720076
2010-11-29,40731748
2010-11-30,34069507
2010-12-01,32606346
2010-12-02,36817919
2010-12-03,28806753
2010-12-06,24370219
2010-12-07,29970712
2010-12-08,33723236
2010-12-09,34980325
2010-12-10,26875548
2010-12-13,29172167
2010-12-14,20124976
2010-12-15,30377237
2010-12-16,31852360
2010-12-17,36108915
2010-12-20,25772355
2010-12-21,26642470
2010-12-22,31672263
2010-12-23,23618106
2010-12-27,17868914
2010-12-28,15820398
2010-12-29,26291317
2010-12-30,25242787
2010-12-31,28163366
2011-01-03,40794777
2011-01-04,47460701
2011-01-05,61182276
2011-01-06,55354132
2011-01-07,68230547
2011-01-10,73035751
2011-01-11,35696216
2011-01-12,25611376
2011-01-13,30616493
2011-01-14,34552164
2011-01-18,32325659
2011-01-19,43327758
2011-01-20,55843005
2011-01-21,44134913
2011-01-24,36195888
2011-01-25,31749208
2011-01-26,34122564
2011-01-27,59371752
2011-01-28,55206155
2011-01-31,60553462
2011-02-01,32138053
2011-02-02,22936032
2011-02-03,31546443
2011-02-04,23757870
2011-02-07,40136004
2011-02-08,21714004
2011-02-09,22904523
2011-02-10,25399890
2011-02-11,25308782
2011-02-14,29021454
2011-02-15,25953588
2011-02-16,33479637
2011-02-17,28445064
2011-02-18,35182656
2011-02-22,33510321
2011-02-23,28106212
2011-02-24,30700199
2011-02-25,26671799
2011-02-28,20789409
2011-03-01,23707769
2011-03-02,30922819
2011-03-03,25806231
2011-03-04,22031686
2011-03-07,26408665
2011-03-08,32999809
2011-03-09,35940517
2011-03-10,33827275
2011-03-11,19494568
2011-03-14,18516459
2011-03-15,27733200
2011-03-16,39968496
2011-03-17,24797947
2011-03-18,52502575
2011-03-21,28044086
2011-03-22,20904442
2011-03-23,22004074
2011-03-24,26400469
2011-03-25,18402176
2011-03-28,15588409
2011-03-29,16532151
2011-03-30,23867378
2011-03-31,28275882
2011-04-01,22295688
2011-04-04,23507183
2011-04-05,24414022
2011-04-06,16524609
2011-04-07,22470650
2011-04-08,31904947
2011-04-11,14871911
2011-04-12,35466344
2011-04-13,68467563
2011-04-14,66912149
2011-04-15,38735553
2011-04-18,26516383
2011-04-19,25156733
2011-04-20,24675577
2011-04-21,38638435
2011-04-25,24243780
2011-04-26,29480422
2011-04-27,36622913
2011-04-28,49159937
2011-04-29,31071460
2011-05-02,52249224
2011-05-03,26579645
2011-05-04,30061331
2011-05-05,21705621
2011-05-06,24131946
2011-05-09,18557722
2011-05-10,22841261
2011-05-11,34700234
2011-05-12,25586029
2011-05-13,25140668
2011-05-16,23817861
2011-05-17,31454608
2011-05-18,26345501
2011-05-19,27297269
2011-05-20,26985028
2011-05-23,37422366
2011-05-24,36204682
2011-05-25,44813844
2011-05-26,30104281
2011-05-27,19361817
2011-05-31,24085196
2011-06-01,24943022
2011-06-02,27875275
2011-06-03,29414729
2011-06-06,21320939
2011-06-07,15471615
2011-06-08,22759792
2011-06-09,17982489
2011-06-10,21474553
2011-06-13,21924344
2011-06-14,24497740
2011-06-15,36706588
2011-06-16,36327661
2011-06-17,32988108
2011-06-20,21048719
2011-06-21,35272093
2011-06-22,33281232
2011-06-23,39615216
2011-06-24,18747441
2011-06-27,13711312
2011-06-28,18632909
2011-06-29,18516745
2011-06-30,16325089
2011-07-01,16017300
2011-07-05,14836517
2011-07-06,18054359
2011-07-07,21730229
2011-07-08,28401529
2011-07-11,31299424
2011-07-12,37062318
2011-07-13,25549558
2011-07-14,27812044
2011-07-15,51687619
2011-07-18,30938406
2011-07-19,48862270
2011-07-20,66129048
2011-07-21,31386388
2011-07-22,29452448
2011-07-25,31798987
2011-07-26,34015210
2011-07-27,55847306
2011-07-28,42854479
2011-07-29,37933700
2011-08-01,56163766
2011-08-02,38235849
2011-08-03,89310663
2011-08-04,112127326
2011-08-05,71154931
2011-08-08,94684640
2011-08-09,92910523
2011-08-10,75579901
2011-08-11,51951721
2011-08-12,47563657
2011-08-15,49413368
2011-08-16,49464960
2011-08-17,45023908
2011-08-18,59562860
2011-08-19,44415207
2011-08-22,44274768
2011-08-23,33830076
2011-08-24,33779955
2011-08-25,37980873
2011-08-26,27840094
2011-08-29,21732481
2011-08-30,26322049
2011-08-31,22737022
2011-09-01,25155910
2011-09-02,18220419
2011-09-06,27532701
2011-09-07,14716341
2011-09-08,16894813
2011-09-09,29822872
2011-09-12,32905571
2011-09-13,42246989
2011-09-14,32462596
2011-09-15,29294441
2011-09-16,41618445
2011-09-19,32444337
2011-09-20,29406356
2011-09-21,31456888
2011-09-22,43821574
2011-09-23,43716802
2011-09-26,44564451
2011-09-27,29369588
2011-09-28,25027812
2011-09-29,35123668
2011-09-30,35505368
2011-10-03,34816845
2011-10-04,39463187
2011-10-05,37664052
2011-10-06,27507815
2011-10-07,26548334
2011-10-10,18401265
2011-10-11,16828401
2011-10-12,27062802
2011-10-13,19456712
2011-10-14,15018380
2011-10-17,13865722
2011-10-18,16993925
2011-10-19,25846054
2011-10-20,22531348
2011-10-21,31700062
2011-10-24,23315573
2011-10-25,30139034
2011-10-26,54227274
2011-10-27,75355001
2011-10-28,39609719
2011-10-31,39512576
2011-11-01,46340404
2011-11-02,32185867
2011-11-03,34919505
2011-11-04,29234740
2011-11-07,28993000
2011-11-08,49394275
2011-11-09,22169913
2011-11-10,29023646
2011-11-11,20640554
2011-11-14,22329493
2011-11-15,14913802
2011-11-16,22154029
2011-11-17,24046160
2011-11-18,23465639
2011-11-21,44648299
2011-11-22,31332091
2011-11-23,17444415
2011-11-25,9792020
2011-11-28,26026653
2011-11-29,30245922
2011-11-30,36112654
2011-12-01,29902945
2011-12-02,33002177
2011-12-05,37238541
2011-12-06,33145370
2011-12-07,33496277
2011-12-08,29208707
2011-12-09,16853145
2011-12-12,15872124
2011-12-13,15757092
2011-12-14,21304686
2011-12-15,23815185
2011-12-16,28915497
2011-12-19,21617358
2011-12-20,24718972
2011-12-21,24932920
2011-12-22,20724103
2011-12-23,14854000
2011-12-27,13155492
2011-12-28,20799425
2011-12-29,17466032
2011-12-30,16623684
2012-01-03,30254364
2012-01-04,14201197
2012-01-05,37366604
2012-01-06,17409113
2012-01-09,24280045
2012-01-10,32328228
2012-01-11,14730216
2012-01-12,18465492
2012-01-13,18168154
2012-01-17,25235837
2012-01-18,18158434
2012-01-19,30236277
2012-01-20,22513548
2012-01-23,15657667
2012-01-24,17710331
2012-01-25,45673483
2012-01-26,54315671
2012-01-27,26058781
2012-01-30,29372197
2012-01-31,33539554
2012-02-01,32784115
2012-02-02,20601231
2012-02-03,25497611
2012-02-06,25448247
2012-02-07,19251507
2012-02-08,19724365
2012-02-09,24193367
2012-02-10,15529896
2012-02-13,23404383
2012-02-14,26634794
2012-02-15,29534607
2012-02-16,45647004
2012-02-17,29103816
2012-02-21,23136796
2012-02-22,20039551
2012-02-23,26884382
2012-02-24,20858389
2012-02-27,23114884
2012-02-28,17792163
2012-02-29,27073306
2012-03-01,40320894
2012-03-02,29095355
2012-03-05,49345142
