dt,volume
2010-01-04,98170944
2010-01-05,200983126
2010-01-06,90886056
2010-01-07,72369831
2010-01-08,64621811
2010-01-11,84030045
2010-01-12,94080948
2010-01-13,88523850
2010-01-14,83208469
2010-01-15,166336096
2010-01-19,122073890
2010-01-20,188558268
2010-01-21,465522261
2010-01-22,157031119
2010-01-25,188611913
2010-01-26,145237397
2010-01-27,129178102
2010-01-28,176367855
2010-01-29,109545743
2010-02-01,88914342
2010-02-02,101658029
2010-02-03,103689135
2010-02-04,126923908
2010-02-05,128136407
2010-02-08,106018948
2010-02-09,144908416
2010-02-10,115036752
2010-02-11,131120530
2010-02-12,99707239
2010-02-16,91036452
2010-02-17,87427767
2010-02-18,49813059
2010-02-19,60213388
2010-02-22,88772769
2010-02-23,111874081
2010-02-24,89309773
2010-02-25,119620464
2010-02-26,72431305
2010-03-01,85831753
2010-03-02,87181825
2010-03-03,63232292
2010-03-04,79504458
2010-03-05,75415333
2010-03-08,66670751
2010-03-09,74074861
2010-03-10,133619883
2010-03-11,134015349
2010-03-12,86778210
2010-03-15,77846402
2010-03-16,265681642
2010-03-17,115255264
2010-03-18,114316787
2010-03-19,177432536
2010-03-22,95427558
2010-03-23,95083035
2010-03-24,203414552
2010-03-25,240390936
2010-03-26,153971049
2010-03-29,65209862
2010-03-30,76018127
2010-03-31,73909672
2010-04-01,92079844
2010-04-05,110546990
2010-04-06,80512717
2010-04-07,103294965
2010-04-08,96038251
2010-04-09,83297350
2010-04-12,85588179
2010-04-13,90343106
2010-04-14,111016005
2010-04-15,104341602
2010-04-16,145222986
2010-04-19,121091212
2010-04-20,93688772
2010-04-21,158987256
2010-04-22,422702135
2010-04-23,153427423
2010-04-26,108319748
2010-04-27,110452317
2010-04-28,137209396
2010-04-29,100231194
2010-04-30,85812316
2010-05-03,119023982
2010-05-04,153813991
2010-05-05,135914588
2010-05-06,167353622
2010-05-07,309900620
2010-05-10,189773409
2010-05-11,140381679
2010-05-12,103471783
2010-05-13,126744894
2010-05-14,139847876
2010-05-17,109439726
2010-05-18,116978512
2010-05-19,129803468
2010-05-20,140741240
2010-05-21,195579320
2010-05-24,105951526
2010-05-25,146568900
2010-05-26,136442788
2010-05-27,139337864
2010-05-28,111023807
2010-06-01,106299106
2010-06-02,117657264
2010-06-03,104606084
2010-06-04,146439683
2010-06-07,120885647
2010-06-08,132637677
2010-06-09,134797083
2010-06-10,105581893
2010-06-11,119261751
2010-06-14,105963839
2010-06-15,114257456
2010-06-16,109736075
2010-06-17,84502180
2010-06-18,146441790
2010-06-21,80043733
2010-06-22,117983676
2010-06-23,93894274
2010-06-24,80356991
2010-06-25,92551183
2010-06-28,88316388
2010-06-29,241713522
2010-06-30,169719664
2010-07-01,190565765
2010-07-02,101792948
2010-07-06,161880288
2010-07-07,107992818
2010-07-08,133722077
2010-07-09,88371671
2010-07-12,83513716
2010-07-13,96606814
2010-07-14,67613841
2010-07-15,73799741
2010-07-16,138268897
2010-07-19,90299714
2010-07-20,85870018
2010-07-21,111652005
2010-07-22,279244405
2010-07-23,116048421
2010-07-26,107032821
2010-07-27,109631942
2010-07-28,90731741
2010-07-29,87580423
2010-07-30,83571585
2010-08-02,96844573
2010-08-03,81264289
2010-08-04,95077876
2010-08-05,96654423
2010-08-06,103678300
2010-08-09,57572649
2010-08-10,72183834
2010-08-11,124292453
2010-08-12,71678945
2010-08-13,77096366
2010-08-16,82094168
2010-08-17,92594369
2010-08-18,83648476
2010-08-19,90272087
2010-08-20,82260194
2010-08-23,70861602
2010-08-24,178682330
2010-08-25,130849440
2010-08-26,90186959
2010-08-27,92040582
2010-08-30,69814793
2010-08-31,113225482
2010-09-01,87262054
2010-09-02,109052992
2010-09-03,76619442
2010-09-07,81529714
2010-09-08,70563496
2010-09-09,64402266
2010-09-10,84565112
2010-09-13,109065139
2010-09-14,77370803
2010-09-15,64196330
2010-09-16,56726151
2010-09-17,110489894
2010-09-20,79358143
2010-09-21,70340701
2010-09-22,79298030
2010-09-23,79828735
2010-09-24,140830795
2010-09-27,91655830
2010-09-28,86384050
2010-09-29,86270661
2010-09-30,90165262
2010-10-01,113091940
2010-10-04,71292807
2010-10-05,100018666
2010-10-06,101827449
2010-10-07,70218755
2010-10-08,55656226
2010-10-11,80353184
2010-10-12,234290124
2010-10-13,85345999
2010-10-14,117808659
2010-10-15,85565717
2010-10-18,78014440
2010-10-19,77543285
2010-10-20,85336252
2010-10-21,69421213
2010-10-22,164438571
2010-10-25,72868184
2010-10-26,60674618
2010-10-27,78473998
2010-10-28,47915683
2010-10-29,78594753
2010-11-01,64364790
2010-11-02,59634862
2010-11-03,59240010
2010-11-04,131059212
2010-11-05,316086573
2010-11-08,114358244
2010-11-09,87608532
2010-11-10,97207493
2010-11-11,66664338
2010-11-12,82905677
2010-11-15,99452183
2010-11-16,87939358
2010-11-17,68440815
2010-11-18,84166568
2010-11-19,103103298
2010-11-22,79088671
2010-11-23,119021972
2010-11-24,130896783
2010-11-26,29776884
2010-11-29,96028164
2010-11-30,95402736
2010-12-01,141317573
2010-12-02,139331199
2010-12-03,108306836
2010-12-06,64469628
2010-12-07,81468994
2010-12-08,51516659
2010-12-09,76799132
2010-12-10,45430961
2010-12-13,59072460
2010-12-14,67079957
2010-12-15,66395801
2010-12-16,103282640
2010-12-17,142210096
2010-12-20,49842636
2010-12-21,46940867
2010-12-22,45777924
2010-12-23,48456491
2010-12-27,30716845
2010-12-28,31109084
2010-12-29,29662300
2010-12-30,29708581
2010-12-31,40661025
2011-01-03,79549365
2011-01-04,71391924
2011-01-05,68311761
2011-01-06,76616120
2011-01-07,142600708
2011-01-10,97175168
2011-01-11,106607508
2011-01-12,112591721
2011-01-13,65474069
2011-01-14,66090720
2011-01-18,91179192
2011-01-19,83554883
2011-01-20,117505790
2011-01-21,171663341
2011-01-24,79183488
2011-01-25,111291735
2011-01-26,182904913
2011-01-27,274498658
2011-01-28,158349979
2011-01-31,200810927
2011-02-01,122309904
2011-02-02,89619885
2011-02-03,78722473
2011-02-04,90674194
2011-02-07,74898462
2011-02-08,83490704
2011-02-09,53682810
2011-02-10,91824391
2011-02-11,73352284
2011-02-14,89114564
2011-02-15,60479453
2011-02-16,69180101
2011-02-17,53959304
2011-02-18,115347487
2011-02-22,97092579
2011-02-23,117937264
2011-02-24,104911166
2011-02-25,119420542
2011-02-28,115919180
2011-03-01,137107749
2011-03-02,102057845
2011-03-03,98835618
2011-03-04,105644832
2011-03-07,210376751
2011-03-08,120568896
2011-03-09,112434245
2011-03-10,557199909
2011-03-11,225204406
2011-03-14,134054316
2011-03-15,123485215
2011-03-16,129308654
2011-03-17,80419591
2011-03-18,169179090
2011-03-21,66280095
2011-03-22,63759351
2011-03-23,134411175
2011-03-24,190933875
2011-03-25,88411239
2011-03-28,87003529
2011-03-29,83989071
2011-03-30,68490239
2011-03-31,61101426
2011-04-01,67307305
2011-04-04,56716045
2011-04-05,77779751
2011-04-06,56816761
2011-04-07,80598726
2011-04-08,71172023
2011-04-11,55581700
2011-04-12,76142595
2011-04-13,59748944
2011-04-14,59746029
2011-04-15,89076175
2011-04-18,82243176
2011-04-19,72716428
2011-04-20,84381700
2011-04-21,98387913
2011-04-25,47297685
2011-04-26,88103533
2011-04-27,105518412
2011-04-28,179367123
2011-04-29,91916958
2011-05-02,97747732
2011-05-03,80940354
2011-05-04,68720294
2011-05-05,56010714
2011-05-06,75394132
2011-05-09,63326084
2011-05-10,72890632
2011-05-11,78886126
2011-05-12,55641413
2011-05-13,59493627
2011-05-16,77134991
2011-05-17,107388200
2011-05-18,123035399
2011-05-19,108468153
2011-05-20,73436795
2011-05-23,80267284
2011-05-24,75471199
2011-05-25,51821669
2011-05-26,65567217
2011-05-27,39750928
2011-05-31,50084464
2011-06-01,76768231
2011-06-02,56866944
2011-06-03,88799174
2011-06-06,130151267
2011-06-07,65658853
2011-06-08,68329721
2011-06-09,50098228
2011-06-10,65557581
2011-06-13,77373551
2011-06-14,55289841
2011-06-15,56728490
2011-06-16,85063970
2011-06-17,88232214
2011-06-20,69882525
2011-06-21,92267317
2011-06-22,103199813
2011-06-23,123750463
2011-06-24,62450095
2011-06-27,62404632
2011-06-28,104980153
2011-06-29,98257511
2011-06-30,62606343
2011-07-01,87788108
2011-07-05,82341580
2011-07-06,72885375
2011-07-07,175776558
2011-07-08,82527845
2011-07-11,69242518
2011-07-12,79875158
2011-07-13,81403646
2011-07-14,82522730
2011-07-15,85672929
2011-07-18,56798668
2011-07-19,63138502
2011-07-20,82141717
2011-07-21,83274298
2011-07-22,40737389
2011-07-25,56282003
2011-07-26,62926068
2011-07-27,90351803
2011-07-28,153706346
2011-07-29,224917748
2011-08-01,112616550
2011-08-02,93735380
2011-08-03,96204017
2011-08-04,103262850
2011-08-05,114685915
2011-08-08,200536853
2011-08-09,183215645
2011-08-10,182159075
2011-08-11,134928150
2011-08-12,89656674
2011-08-15,93580003
2011-08-16,129696374
2011-08-17,80899772
2011-08-18,223967910
2011-08-19,176893879
2011-08-22,106533802
2011-08-23,109392433
2011-08-24,86177173
2011-08-25,82348443
2011-08-26,91455066
2011-08-29,48970213
2011-08-30,61620241
2011-08-31,74715106
2011-09-01,70916188
2011-09-02,58731452
2011-09-06,84635208
2011-09-07,109699337
2011-09-08,92828914
2011-09-09,97897255
2011-09-12,96410757
2011-09-13,78033333
2011-09-14,94464537
2011-09-15,79520055
2011-09-16,145162221
2011-09-19,104139968
2011-09-20,121856124
2011-09-21,91140424
2011-09-22,128290292
2011-09-23,95591353
2011-09-26,106879670
2011-09-27,75648667
2011-09-28,69218176
2011-09-29,123523341
2011-09-30,87205001
2011-10-03,185282689
2011-10-04,155983564
2011-10-05,98512957
2011-10-06,72798601
2011-10-07,116696935
2011-10-10,95713711
2011-10-11,112820309
2011-10-12,72271604
2011-10-13,72800816
2011-10-14,62068624
2011-10-17,68044763
2011-10-18,68705991
2011-10-19,73446055
2011-10-20,55780545
2011-10-21,92505913
2011-10-24,65525748
2011-10-25,92187523
2011-10-26,68730511
2011-10-27,67955651
2011-10-28,71078052
2011-10-31,62763070
2011-11-01,87481113
2011-11-02,66401476
2011-11-03,111939910
2011-11-04,262340027
2011-11-07,130722342
2011-11-08,83512897
2011-11-09,93087374
2011-11-10,89177255
2011-11-11,66955246
2011-11-14,58611266
2011-11-15,51528531
2011-11-16,59930331
2011-11-17,81097075
2011-11-18,83701192
2011-11-21,80645653
2011-11-22,65219976
2011-11-23,65243725
2011-11-25,25360056
2011-11-28,64232908
2011-11-29,70310533
2011-11-30,75437847
2011-12-01,58588904
2011-12-02,79885864
2011-12-05,90533572
2011-12-06,47870370
2011-12-07,47612992
2011-12-08,51904711
2011-12-09,64922383
2011-12-12,44364749
2011-12-13,92108652
2011-12-14,70170343
2011-12-15,62920514
2011-12-16,81374020
2011-12-19,65405006
2011-12-20,81826812
2011-12-21,56804003
2011-12-22,49742950
2011-12-23,30200544
2011-12-27,38751889
2011-12-28,45598141
2011-12-29,44770746
2011-12-30,28283765
2012-01-03,73477879
2012-01-04,80631402
2012-01-05,57581001
2012-01-06,51481065
2012-01-09,40875371
2012-01-10,55482996
2012-01-11,52634437
2012-01-12,59980812
2012-01-13,60462062
2012-01-17,42958142
2012-01-18,67569138
2012-01-19,66797598
2012-01-20,67480250
2012-01-23,103803566
2012-01-24,74785903
2012-01-25,89615445
2012-01-26,118950665
2012-01-27,211679994
2012-01-30,95960331
2012-01-31,73620816
2012-02-01,104029081
2012-02-02,81553568
2012-02-03,72064695
2012-02-06,51997835
2012-02-07,43926848
2012-02-08,50043942
2012-02-09,69745108
2012-02-10,46455775
2012-02-13,48222495
2012-02-14,38759224
2012-02-15,47034327
2012-02-16,70732539
2012-02-17,88964981
2012-02-21,51856098
2012-02-22,59082556
2012-02-23,53237133
2012-02-24,46198909
2012-02-27,44198151
2012-02-28,43643687
2012-02-29,53434713
2012-03-01,50016886
2012-03-02,54295458
2012-03-05,54532069
2012-03-06,58231729
2012-03-07,65066042
2012-03-08,125321407
2012-03-09,199144761
2012-03-12,82695975
2012-03-13,102435319
2012-03-14,102418257
2012-03-15,82113540
2012-03-16,110438173
2012-03-19,68124573
2012-03-20,82433238
2012-03-21,56081626
2012-03-22,130056173
2012-03-23,98196012
2012-03-26,84451602
2012-03-27,72736887
2012-03-28,83906278
2012-03-29,88066678
2012-03-30,48867038
2012-04-02,75417941
2012-04-03,73059730
2012-04-04,100639533
2012-04-05,112587486
2012-04-09,89187339
2012-04-10,114949129
2012-04-11,150206971
2012-04-12,176395008
2012-04-13,180468223
2012-04-16,185495648
2012-04-17,235166513
2012-04-18,148342859
2012-04-19,116222972
2012-04-20,109651120
2012-04-23,109394230
2012-04-24,123899040
2012-04-25,95596079
2012-04-26,132357093
2012-04-27,439768891
2012-04-30,135493000
2012-05-01,98287145
2012-05-02,91271863
2012-05-03,106441564
2012-05-04,134149206
2012-05-07,93879446
2012-05-08,161585502
2012-05-09,123110721
2012-05-10,112238332
2012-05-11,100233420
2012-05-14,82814458
2012-05-15,147526278
2012-05-16,105276562
2012-05-17,108786750
2012-05-18,161671764
2012-05-21,146984493
2012-05-22,113651514
2012-05-23,114446738
2012-05-24,132112406
2012-05-25,75754919
2012-05-29,94630023
2012-05-30,77078671
2012-05-31,74770682
2012-06-01,120989775
2012-06-04,141453771
2012-06-05,162997776
2012-06-06,95017371
2012-06-07,85974695
2012-06-08,87425705
2012-06-11,67635056
2012-06-12,122780381
2012-06-13,124117036
2012-06-14,97270831
2012-06-15,146407796
2012-06-18,106552158
2012-06-19,104942238
2012-06-20,86516102
2012-06-21,80640127
2012-06-22,42600853
2012-06-25,72254076
2012-06-26,54916952
2012-06-27,89534833
2012-06-28,98578169
2012-06-29,105818787
2012-07-02,71637042
2012-07-03,50306763
2012-07-05,54023004
2012-07-06,75152747
2012-07-09,56359275
2012-07-10,64647978
2012-07-11,58570522
2012-07-12,65897472
2012-07-13,68939809
2012-07-16,56275054
2012-07-17,54316499
2012-07-18,92570490
2012-07-19,67082752
2012-07-20,170022674
2012-07-23,146204512
2012-07-24,75238140
2012-07-25,78731032
2012-07-26,140505440
2012-07-27,458874375
2012-07-30,127893801
2012-07-31,195167633
2012-08-01,195707654
2012-08-02,229597042
2012-08-03,182251799
2012-08-06,132725217
2012-08-07,181867117
2012-08-08,109459253
2012-08-09,112724478
2012-08-10,96103773
2012-08-13,117644106
2012-08-14,104189767
2012-08-15,198061670
2012-08-16,133712213
2012-08-17,123329123
2012-08-20,87061629
2012-08-21,96218170
2012-08-22,76916102
2012-08-23,94554547
2012-08-24,119392275
2012-08-27,110930351
2012-08-28,94093786
2012-08-29,82708990
2012-08-30,121128885
2012-08-31,78166592
2012-09-04,77652740
2012-09-05,93603895
2012-09-06,78810481
2012-09-07,65654059
2012-09-10,77081277
2012-09-11,89888587
2012-09-12,73918702
