dt,volume
2010-01-04,57343648
2010-01-05,74605972
2010-01-06,75061606
2010-01-07,43595217
2010-01-08,43360866
2010-01-11,70885985
2010-01-12,38858886
2010-01-13,48563667
2010-01-14,47145764
2010-01-15,63096114
2010-01-19,43839059
2010-01-20,104006430
2010-01-21,145918970
2010-01-22,120420537
2010-01-25,73186073
2010-01-26,81656670
2010-01-27,127105512
2010-01-28,78513579
2010-01-29,84677550
2010-02-01,49099706
2010-02-02,46385406
2010-02-03,41348884
2010-02-04,56848571
2010-02-05,68899038
2010-02-08,50174513
2010-02-09,65454249
2010-02-10,53985762
2010-02-11,65030353
2010-02-12,51357433
2010-02-16,32964356
2010-02-17,42697721
2010-02-18,45026798
2010-02-19,675850339
2010-02-22,2258814750
2010-02-23,556158855
2010-02-24,366672871
2010-02-25,200300057
2010-02-26,173467258
2010-03-01,219850743
2010-03-02,176120247
2010-03-03,137065538
2010-03-04,155278023
2010-03-05,122086125
2010-03-08,130517050
2010-03-09,62875133
2010-03-10,106566672
2010-03-11,37414548
2010-03-12,71832348
2010-03-15,78453246
2010-03-16,65079043
2010-03-17,79853594
2010-03-18,99862588
2010-03-19,175961455
2010-03-22,101399722
2010-03-23,63848465
2010-03-24,52947169
2010-03-25,54952102
2010-03-26,56085306
2010-03-29,88062679
2010-03-30,62965632
2010-03-31,109729539
2010-04-01,64580518
2010-04-05,50370916
2010-04-06,80049688
2010-04-07,62341489
2010-04-08,43697761
2010-04-09,59036487
2010-04-12,38966631
2010-04-13,56032755
2010-04-14,60613425
2010-04-15,29073204
2010-04-16,66199068
2010-04-19,47414784
2010-04-20,57219629
2010-04-21,51160777
2010-04-22,51886044
2010-04-23,108275627
2010-04-26,52100512
2010-04-27,74898198
2010-04-28,67146142
2010-04-29,170224423
2010-04-30,256858361
2010-05-03,141962140
2010-05-04,87956091
2010-05-05,110194141
2010-05-06,83125154
2010-05-07,148742879
2010-05-10,121084421
2010-05-11,68867059
2010-05-12,46860995
2010-05-13,55169538
2010-05-14,58658635
2010-05-17,66057488
2010-05-18,68069396
2010-05-19,87697460
2010-05-20,157327160
2010-05-21,150403524
2010-05-24,69924330
2010-05-25,95957135
2010-05-26,64831556
2010-05-27,76901440
2010-05-28,131635940
2010-06-01,157481344
2010-06-02,99104599
2010-06-03,106849814
2010-06-04,86938464
2010-06-07,55403436
2010-06-08,93453347
2010-06-09,81586227
2010-06-10,52108297
2010-06-11,68553748
2010-06-14,88556858
2010-06-15,42087158
2010-06-16,42901294
2010-06-17,65391308
2010-06-18,73899247
2010-06-21,36184989
2010-06-22,91866037
2010-06-23,47493745
2010-06-24,40861670
2010-06-25,66152662
2010-06-28,64273225
2010-06-29,58878096
2010-06-30,59858470
2010-07-01,74968624
2010-07-02,51053421
2010-07-06,45111950
2010-07-07,77164840
2010-07-08,56509079
2010-07-09,30030750
2010-07-12,30022418
2010-07-13,33351321
2010-07-14,42900968
2010-07-15,52964860
2010-07-16,142173222
2010-07-19,90733473
2010-07-20,87475085
2010-07-21,59194648
2010-07-22,62936805
2010-07-23,73388243
2010-07-26,52597095
2010-07-27,70158043
2010-07-28,54935402
2010-07-29,57631758
2010-07-30,38544741
2010-08-02,89579208
2010-08-03,66058755
2010-08-04,41674664
2010-08-05,28992898
2010-08-06,34346842
2010-08-09,29657305
2010-08-10,36129015
2010-08-11,75300916
2010-08-12,73143050
2010-08-13,28663513
2010-08-16,42279695
2010-08-17,22538354
2010-08-18,22717308
2010-08-19,46379128
2010-08-20,38926462
2010-08-23,71700570
2010-08-24,107672912
2010-08-25,62833242
2010-08-26,70784321
2010-08-27,57686217
