dt,volume
2010-01-04,32194551
2010-01-05,36870412
2010-01-06,22337397
2010-01-07,27511876
2010-01-08,29344210
2010-01-11,16879157
2010-01-12,38594198
2010-01-13,17586476
2010-01-14,20898397
2010-01-15,13555462
2010-01-19,18917003
2010-01-20,15119709
2010-01-21,18576015
2010-01-22,35294165
2010-01-25,36948619
2010-01-26,34147196
2010-01-27,25789138
2010-01-28,18461955
2010-01-29,20447831
2010-02-01,21314989
2010-02-02,20598811
2010-02-03,15751570
2010-02-04,22768690
2010-02-05,27198443
2010-02-08,15765810
2010-02-09,26109668
2010-02-10,14360004
2010-02-11,12018681
2010-02-12,10682757
2010-02-16,13302632
2010-02-17,16505423
2010-02-18,11252780
2010-02-19,16035496
2010-02-22,15774788
2010-02-23,17664080
2010-02-24,16612883
2010-02-25,7760196
2010-02-26,8638077
2010-03-01,9781352
2010-03-02,12093619
2010-03-03,5487432
2010-03-04,6286256
2010-03-05,13086014
2010-03-08,17917803
2010-03-09,17307450
2010-03-10,15417778
2010-03-11,21237211
2010-03-12,15765398
2010-03-15,12835363
2010-03-16,11329766
2010-03-17,11305692
2010-03-18,8249298
2010-03-19,15669656
2010-03-22,14458759
2010-03-23,11195182
2010-03-24,26502662
2010-03-25,12736114
2010-03-26,17881895
2010-03-29,11290692
2010-03-30,15405678
2010-03-31,36560436
2010-04-01,13728985
2010-04-05,14521170
2010-04-06,42277476
2010-04-07,18702912
2010-04-08,12200449
2010-04-09,13425518
2010-04-12,11046342
2010-04-13,12002224
2010-04-14,13303624
2010-04-15,13018877
2010-04-16,16016421
2010-04-19,11357714
2010-04-20,10236158
2010-04-21,9435364
2010-04-22,8913451
2010-04-23,11040400
2010-04-26,9327409
2010-04-27,28624983
2010-04-28,13076494
2010-04-29,12287395
2010-04-30,9079406
2010-05-03,8634821
2010-05-04,18437325
2010-05-05,23215698
2010-05-06,32734913
2010-05-07,40699566
2010-05-10,24681815
2010-05-11,21459091
2010-05-12,19407692
2010-05-13,15256885
2010-05-14,21697420
2010-05-17,17349385
2010-05-18,10996606
2010-05-19,24009075
2010-05-20,19621447
2010-05-21,35732381
2010-05-24,15694850
2010-05-25,22831055
2010-05-26,20116910
2010-05-27,16151975
2010-05-28,22846195
2010-06-01,20389484
2010-06-02,20199270
2010-06-03,16749039
2010-06-04,15850393
2010-06-07,14861116
2010-06-08,29467266
2010-06-09,18918915
2010-06-10,10107447
2010-06-11,13628959
2010-06-14,19876590
2010-06-15,13735237
2010-06-16,15252892
2010-06-17,15671404
2010-06-18,14716571
2010-06-21,17512902
2010-06-22,15700476
2010-06-23,15269447
2010-06-24,15189466
2010-06-25,17774072
2010-06-28,12770608
2010-06-29,18496135
2010-06-30,8734231
2010-07-01,16974456
2010-07-02,16139111
2010-07-06,20660152
2010-07-07,18571635
2010-07-08,21368934
2010-07-09,12553273
2010-07-12,10807405
2010-07-13,10283752
2010-07-14,12125145
2010-07-15,8977838
2010-07-16,10914901
2010-07-19,16011531
2010-07-20,12288380
2010-07-21,8631072
2010-07-22,14493227
2010-07-23,15672423
2010-07-26,11210785
2010-07-27,22149389
2010-07-28,16388913
2010-07-29,12417304
2010-07-30,9710979
2010-08-02,13285470
2010-08-03,10027612
2010-08-04,9434610
2010-08-05,8076797
2010-08-06,7129755
2010-08-09,4956456
2010-08-10,10948399
2010-08-11,15227174
2010-08-12,18787226
2010-08-13,9351464
2010-08-16,11051283
2010-08-17,10902981
2010-08-18,10234513
2010-08-19,9245717
2010-08-20,6775035
2010-08-23,10062526
2010-08-24,7828428
2010-08-25,12046016
2010-08-26,12666815
2010-08-27,11244909
2010-08-30,4350335
2010-08-31,11753457
2010-09-01,13741742
2010-09-02,11083471
2010-09-03,13646704
2010-09-07,6909463
2010-09-08,4471956
2010-09-09,5554704
2010-09-10,5240505
2010-09-13,5677978
2010-09-14,12256192
2010-09-15,7306334
2010-09-16,8348980
2010-09-17,7815649
2010-09-20,8348540
2010-09-21,7060731
2010-09-22,10768133
2010-09-23,12959540
2010-09-24,15070648
2010-09-27,13192857
2010-09-28,11429908
2010-09-29,5258316
2010-09-30,12273010
2010-10-01,9725958
2010-10-04,9558223
2010-10-05,10581507
2010-10-06,52651428
2010-10-07,17267762
2010-10-08,9433515
2010-10-11,10241041
2010-10-12,13047615
2010-10-13,12178155
2010-10-14,26392262
2010-10-15,20715489
2010-10-18,13773942
2010-10-19,13584896
2010-10-20,16293550
2010-10-21,8394401
2010-10-22,14559711
2010-10-25,11482133
2010-10-26,23378868
2010-10-27,12379738
2010-10-28,8378544
2010-10-29,5655461
2010-11-01,9025838
2010-11-02,6237770
2010-11-03,6408222
2010-11-04,11999085
2010-11-05,20439291
2010-11-08,18522813
2010-11-09,22739996
2010-11-10,23671655
2010-11-11,12139621
2010-11-12,12216956
2010-11-15,5608415
2010-11-16,15385780
2010-11-17,10432069
2010-11-18,13568679
2010-11-19,4801970
2010-11-22,9163533
2010-11-23,7308173
2010-11-24,12745605
2010-11-26,1224166
2010-11-29,9647802
2010-11-30,6846342
2010-12-01,8083719
2010-12-02,15632564
2010-12-03,7481136
2010-12-06,9131354
2010-12-07,8834099
2010-12-08,18129236
2010-12-09,9831088
