dt,volume
2010-01-04,115789343
2010-01-05,84637254
2010-01-06,72402507
2010-01-07,99286778
2010-01-08,73753771
2010-01-11,88864999
2010-01-12,168265267
2010-01-13,140714600
2010-01-14,113285110
2010-01-15,255980056
2010-01-19,122603192
2010-01-20,187549971
2010-01-21,242961813
2010-01-22,188905575
2010-01-25,155061020
2010-01-26,132672172
2010-01-27,155893682
2010-01-28,552670281
2010-01-29,187946552
2010-02-01,187488840
2010-02-02,186477623
2010-02-03,144619628
2010-02-04,174847125
2010-02-05,153969718
2010-02-08,105316100
2010-02-09,171062854
2010-02-10,101415469
2010-02-11,136417497
2010-02-12,242192231
2010-02-16,103799119
2010-02-17,114777471
2010-02-18,105166672
2010-02-19,82851125
2010-02-22,109667845
2010-02-23,153220597
2010-02-24,292513240
2010-02-25,278726626
2010-02-26,213226966
2010-03-01,160714652
2010-03-02,162719868
2010-03-03,106419406
2010-03-04,123715772
2010-03-05,153065490
2010-03-08,77483271
2010-03-09,159415354
2010-03-10,216884234
2010-03-11,117733276
2010-03-12,95144779
2010-03-15,84190306
2010-03-16,82642836
2010-03-17,187390812
2010-03-18,152648526
2010-03-19,234157077
2010-03-22,245171089
2010-03-23,179080066
2010-03-24,291901151
2010-03-25,216010312
2010-03-26,124925968
2010-03-29,122241029
2010-03-30,130001756
2010-03-31,79461608
2010-04-01,106590507
2010-04-05,135856693
2010-04-06,188360777
2010-04-07,142486738
2010-04-08,107713414
2010-04-09,125283380
2010-04-12,131512548
2010-04-13,185215231
2010-04-14,226362353
2010-04-15,244891073
2010-04-16,217359058
2010-04-19,127423726
2010-04-20,154573815
2010-04-21,120372169
2010-04-22,150854203
2010-04-23,118591247
2010-04-26,130354677
2010-04-27,155773007
2010-04-28,199938105
2010-04-29,166164104
2010-04-30,237481199
2010-05-03,339511238
2010-05-04,272163117
2010-05-05,239543817
2010-05-06,535492403
2010-05-07,445951672
2010-05-10,301194823
2010-05-11,142037471
2010-05-12,136111867
2010-05-13,105103426
2010-05-14,125928286
2010-05-17,110942043
2010-05-18,169437151
2010-05-19,197081701
2010-05-20,306584321
2010-05-21,404592810
2010-05-24,244533310
2010-05-25,208153946
2010-05-26,269875903
2010-05-27,166334672
2010-05-28,198466534
2010-06-01,219427235
2010-06-02,172317763
2010-06-03,145954638
2010-06-04,172187802
2010-06-07,196449318
2010-06-08,196451226
2010-06-09,185979257
2010-06-10,256637669
2010-06-11,151914977
2010-06-14,151009126
2010-06-15,111534507
2010-06-16,150464575
2010-06-17,169156242
2010-06-18,189680405
2010-06-21,89149729
2010-06-22,91418243
2010-06-23,95974306
2010-06-24,103017492
2010-06-25,139967915
2010-06-28,85343257
2010-06-29,135667619
2010-06-30,216336824
2010-07-01,181355268
2010-07-02,117281516
2010-07-06,114948973
2010-07-07,124438326
2010-07-08,144664571
2010-07-09,88446229
2010-07-12,76008560
2010-07-13,133517799
2010-07-14,124275996
2010-07-15,157341255
2010-07-16,134533154
2010-07-19,103403722
2010-07-20,99928098
2010-07-21,98919296
2010-07-22,109653989
2010-07-23,77615701
2010-07-26,131268365
2010-07-27,106322097
2010-07-28,115544814
2010-07-29,973466547
2010-07-30,267947440
2010-08-02,169898630
2010-08-03,139252903
2010-08-04,96549160
2010-08-05,156851673
2010-08-06,148818665
2010-08-09,108147727
2010-08-10,131601983
2010-08-11,168692286
2010-08-12,166244236
2010-08-13,108269494
2010-08-16,135702666
2010-08-17,141921991
2010-08-18,97929863
2010-08-19,985605370
2010-08-20,380544480
2010-08-23,192780467
2010-08-24,174671729
2010-08-25,145816771
2010-08-26,154180310
2010-08-27,211714445
2010-08-30,207274476
2010-08-31,234092737
2010-09-01,234973284
2010-09-02,134013885
2010-09-03,125042757
2010-09-07,151698102
2010-09-08,459656192
2010-09-09,161804050
2010-09-10,150856110
2010-09-13,188267938
2010-09-14,183029695
2010-09-15,137067467
2010-09-16,106411253
2010-09-17,146651055
2010-09-20,94707382
2010-09-21,76378761
2010-09-22,163471994
2010-09-23,119238259
2010-09-24,110536889
2010-09-27,146726498
2010-09-28,134924149
2010-09-29,130369354
2010-09-30,187106215
2010-10-01,199022208
2010-10-04,137021358
2010-10-05,135363499
2010-10-06,154040243
2010-10-07,115423384
2010-10-08,85585799
2010-10-11,87531942
2010-10-12,111644205
2010-10-13,122397007
2010-10-14,104009233
2010-10-15,140325367
2010-10-18,77339429
2010-10-19,100654845
2010-10-20,76987493
2010-10-21,103992316
2010-10-22,95085776
2010-10-25,84674477
2010-10-26,82839951
2010-10-27,118528514
2010-10-28,400185854
2010-10-29,82954396
2010-11-01,99316962
2010-11-02,156520919
2010-11-03,197889470
2010-11-04,84550554
2010-11-05,264813525
2010-11-08,223676870
2010-11-09,267211817
2010-11-10,152464487
2010-11-11,270429863
2010-11-12,200906270
2010-11-15,114660345
2010-11-16,137802589
2010-11-17,104658037
2010-11-18,106090335
2010-11-19,80199750
2010-11-22,117390355
2010-11-23,132763674
2010-11-24,101896974
2010-11-26,33052982
2010-11-29,144020827
2010-11-30,169388025
2010-12-01,114723643
2010-12-02,131291006
2010-12-03,95461141
2010-12-06,89687556
2010-12-07,95836132
2010-12-08,105656598
2010-12-09,100935844
2010-12-10,81411323
2010-12-13,96874019
2010-12-14,101020696
2010-12-15,80906766
2010-12-16,68126933
2010-12-17,133725669
2010-12-20,86207406
2010-12-21,84458739
2010-12-22,60496088
2010-12-23,54185466
2010-12-27,52432515
2010-12-28,36526950
2010-12-29,29587800
2010-12-30,33351884
2010-12-31,43138203
2011-01-03,95802858
2011-01-04,74347126
2011-01-05,104177522
2011-01-06,89954195
2011-01-07,88890868
2011-01-10,173289741
2011-01-11,97295079
2011-01-12,257593253
2011-01-13,142196931
2011-01-14,86336374
2011-01-18,216829289
2011-01-19,140294970
2011-01-20,123947891
2011-01-21,82513395
2011-01-24,105482424
2011-01-25,96388429
2011-01-26,107611582
2011-01-27,450794596
2011-01-28,291097975
2011-01-31,81465621
2011-02-01,108373768
2011-02-02,98346502
2011-02-03,83003788
2011-02-04,111698785
2011-02-07,58246080
2011-02-08,81942371
2011-02-09,73739785
2011-02-10,122930167
2011-02-11,59133295
2011-02-14,84375804
2011-02-15,71732665
2011-02-16,83648842
2011-02-17,76291031
2011-02-18,92377139
2011-02-22,95386563
