dt,volume
2010-01-04,8626491
2010-01-05,7231735
2010-01-06,4496648
2010-01-07,7941993
2010-01-08,7851781
2010-01-11,5789121
2010-01-12,4366277
2010-01-13,7450364
2010-01-14,4979272
2010-01-15,5198469
2010-01-19,4193138
2010-01-20,14043941
2010-01-21,17208956
2010-01-22,10188625
2010-01-25,7251824
2010-01-26,6262608
2010-01-27,4965495
2010-01-28,4483686
2010-01-29,8257038
2010-02-01,4078028
2010-02-02,7833246
2010-02-03,7419944
2010-02-04,6627091
2010-02-05,9684300
2010-02-08,5431629
2010-02-09,5543673
2010-02-10,3676847
2010-02-11,3173055
2010-02-12,5998404
2010-02-16,7764089
2010-02-17,49741772
2010-02-18,8097722
2010-02-19,11734408
2010-02-22,10153394
2010-02-23,13654829
2010-02-24,10248483
2010-02-25,9045497
2010-02-26,8165102
2010-03-01,7718295
2010-03-02,7615115
2010-03-03,9274800
2010-03-04,5961881
2010-03-05,5517251
2010-03-08,6759075
2010-03-09,7441435
2010-03-10,7525984
2010-03-11,4488946
2010-03-12,5688760
2010-03-15,3741621
2010-03-16,6850867
2010-03-17,9614324
2010-03-18,4480839
2010-03-19,18917036
2010-03-22,9156127
2010-03-23,10948667
2010-03-24,5521239
2010-03-25,7295297
2010-03-26,6253805
2010-03-29,6989766
2010-03-30,6739883
2010-03-31,5770654
2010-04-01,5890430
2010-04-05,7056600
2010-04-06,32499246
2010-04-07,7207952
2010-04-08,7478445
2010-04-09,7324853
2010-04-12,10381374
2010-04-13,5356151
2010-04-14,7989993
2010-04-15,10511217
2010-04-16,9336668
2010-04-19,5229224
2010-04-20,3474736
2010-04-21,3074390
2010-04-22,5040682
2010-04-23,4886678
2010-04-26,6269223
2010-04-27,6893941
2010-04-28,6845221
2010-04-29,7969567
2010-04-30,10603398
2010-05-03,10171254
2010-05-04,11064836
2010-05-05,7667965
2010-05-06,19725718
2010-05-07,19465180
2010-05-10,10262212
2010-05-11,11880132
2010-05-12,6137088
2010-05-13,4591776
2010-05-14,6118442
2010-05-17,6186145
2010-05-18,6718689
2010-05-19,9312424
2010-05-20,11224373
2010-05-21,20230428
2010-05-24,9573464
2010-05-25,12880969
2010-05-26,12732631
2010-05-27,9628525
2010-05-28,9679561
2010-06-01,7821004
2010-06-02,7875509
2010-06-03,10695226
2010-06-04,6769808
2010-06-07,15349332
2010-06-08,8896864
2010-06-09,11004863
2010-06-10,9483525
2010-06-11,6377786
2010-06-14,5854777
2010-06-15,7195305
2010-06-16,8736429
2010-06-17,7446198
2010-06-18,7922486
2010-06-21,7226955
2010-06-22,4899572
2010-06-23,7998452
2010-06-24,4376623
2010-06-25,5528090
2010-06-28,3681495
2010-06-29,6718424
2010-06-30,8622141
2010-07-01,11529127
2010-07-02,6011753
2010-07-06,6209058
2010-07-07,10449881
2010-07-08,7643489
2010-07-09,5411758
2010-07-12,5306073
2010-07-13,4902957
2010-07-14,4846735
2010-07-15,3468982
2010-07-16,4960573
2010-07-19,6661102
2010-07-20,6810341
2010-07-21,6853160
2010-07-22,4911927
2010-07-23,5087169
2010-07-26,4626543
2010-07-27,9838613
2010-07-28,3973062
2010-07-29,5754823
2010-07-30,7460428
2010-08-02,8506566
2010-08-03,6534439
2010-08-04,6246207
2010-08-05,7253680
2010-08-06,5980414
2010-08-09,4853623
2010-08-10,7846186
2010-08-11,10357175
2010-08-12,13304857
2010-08-13,8471811
2010-08-16,4805296
2010-08-17,5616723
2010-08-18,3837332
2010-08-19,5058821
2010-08-20,6844795
2010-08-23,6685663
2010-08-24,8614313
2010-08-25,8228385
2010-08-26,8903684
2010-08-27,9962382
2010-08-30,3966865
2010-08-31,5023194
2010-09-01,7360692
2010-09-02,5379914
2010-09-03,7709836
2010-09-07,3144837
2010-09-08,4962995
2010-09-09,6622965
2010-09-10,5441318
2010-09-13,4009574
2010-09-14,5189774
2010-09-15,4275660
2010-09-16,3253993
2010-09-17,6650238
2010-09-20,3762342
2010-09-21,3972818
2010-09-22,6367204
2010-09-23,4062788
2010-09-24,4011986
2010-09-27,4369005
2010-09-28,8521709
2010-09-29,5938281
2010-09-30,5481828
2010-10-01,4824371
2010-10-04,5546719
2010-10-05,5312823
2010-10-06,3838357
2010-10-07,4198682
2010-10-08,3091266
2010-10-11,2345750
2010-10-12,4800552
2010-10-13,7118017
2010-10-14,5551957
2010-10-15,5810841
2010-10-18,3220797
2010-10-19,5723992
2010-10-20,3295716
2010-10-21,2523746
2010-10-22,3310657
2010-10-25,2812893
2010-10-26,5596436
2010-10-27,5951805
2010-10-28,4222451
2010-10-29,3955492
2010-11-01,4250619
2010-11-02,3653492
2010-11-03,5294969
2010-11-04,4895161
2010-11-05,4315640
2010-11-08,9687310
2010-11-09,5549894
2010-11-10,4105579
2010-11-11,5167228
2010-11-12,4345639
2010-11-15,3902247
2010-11-16,5207162
2010-11-17,3949047
2010-11-18,5952792
2010-11-19,9059308
2010-11-22,5198100
2010-11-23,8419257
2010-11-24,13290375
2010-11-26,4899578
2010-11-29,9764673
2010-11-30,6694011
2010-12-01,12342031
2010-12-02,14425788
2010-12-03,35257134
2010-12-06,14351124
2010-12-07,34217886
2010-12-08,17198738
2010-12-09,11034334
2010-12-10,10263549
2010-12-13,8054567
2010-12-14,5493185
2010-12-15,8153451
2010-12-16,10897031
2010-12-17,17899504
2010-12-20,13475077
2010-12-21,7527041
2010-12-22,4325061
2010-12-23,3482283
2010-12-27,2663951
2010-12-28,4026506
2010-12-29,3575549
2010-12-30,4084208
2010-12-31,2313665
2011-01-03,5057655
2011-01-04,7833813
2011-01-05,5201757
2011-01-06,7073429
2011-01-07,5787097
2011-01-10,6346114
2011-01-11,6830934
2011-01-12,3891708
2011-01-13,3674238
2011-01-14,5133583
2011-01-18,4811944
2011-01-19,3972309
2011-01-20,4071436
2011-01-21,6638724
2011-01-24,4148520
2011-01-25,4268246
2011-01-26,6751618
2011-01-27,5603959
2011-01-28,4388748
2011-01-31,7010583
2011-02-01,5643107
2011-02-02,4220234
2011-02-03,6371490
2011-02-04,6010833
2011-02-07,4321077
2011-02-08,3252748
2011-02-09,4952944
2011-02-10,5984307
2011-02-11,3761484
2011-02-14,3725223
2011-02-15,3218383
2011-02-16,4905668
2011-02-17,4927639
2011-02-18,6068137
2011-02-22,9150196
2011-02-23,10409204
2011-02-24,12548438
2011-02-25,4216957
2011-02-28,6449738
2011-03-01,6844046
2011-03-02,7038517
2011-03-03,8440781
2011-03-04,7855452
2011-03-07,5509312
2011-03-08,7227773
2011-03-09,6012221
2011-03-10,6741380
2011-03-11,3852399
2011-03-14,8781041
2011-03-15,6795960
2011-03-16,10637995
2011-03-17,5806451
2011-03-18,7492190
2011-03-21,4681596
2011-03-22,3163554
2011-03-23,2662970
2011-03-24,2848673
2011-03-25,2706968
2011-03-28,2540418
2011-03-29,3086129
2011-03-30,5668813
2011-03-31,3108863
2011-04-01,2839376
2011-04-04,3735161
2011-04-05,3176869
2011-04-06,4554551
2011-04-07,3387664
2011-04-08,2456871
2011-04-11,3413838
2011-04-12,3996393
2011-04-13,3603318
2011-04-14,3389585
2011-04-15,7224231
2011-04-18,7056460
2011-04-19,4961639
2011-04-20,4138239
2011-04-21,1864993
2011-04-25,2208403
2011-04-26,4408592
2011-04-27,4734889
2011-04-28,3103099
2011-04-29,3869513
2011-05-02,4900366
2011-05-03,4971959
2011-05-04,4403811
2011-05-05,10102130
2011-05-06,8665602
2011-05-09,5316990
2011-05-10,5073593
2011-05-11,3746070
2011-05-12,4239475
2011-05-13,4397992
2011-05-16,4654235
2011-05-17,6615128
2011-05-18,5548174
2011-05-19,5504859
2011-05-20,3676714
2011-05-23,4917679
2011-05-24,7955196
2011-05-25,6251355
2011-05-26,4650664
2011-05-27,2982638
2011-05-31,3909180
2011-06-01,5301752
2011-06-02,5976530
2011-06-03,8023828
2011-06-06,4807350
2011-06-07,2773251
2011-06-08,3975384
2011-06-09,3419229
2011-06-10,3133577
2011-06-13,2690923
2011-06-14,2912215
2011-06-15,4447981
2011-06-16,4689293
2011-06-17,5882473
2011-06-20,5070404
2011-06-21,3208935
2011-06-22,4306053
2011-06-23,5068052
2011-06-24,2986643
2011-06-27,2422367
2011-06-28,2742280
2011-06-29,3392117
2011-06-30,2909851
2011-07-01,4204836
2011-07-05,3403293
2011-07-06,2253904
2011-07-07,3053622
2011-07-08,2814646
2011-07-11,3764621
2011-07-12,4023425
2011-07-13,2752151
2011-07-14,3417218
2011-07-15,5096498
2011-07-18,2394389
2011-07-19,3539490
2011-07-20,4388181
2011-07-21,2617575
2011-07-22,2760325
2011-07-25,4086953
2011-07-26,3104610
2011-07-27,4582935
2011-07-28,2971529
2011-07-29,3804650
2011-08-01,7552282
2011-08-02,7953010
2011-08-03,7839261
2011-08-04,7401186
2011-08-05,7655423
