dt,volume
2010-01-04,66387716
2010-01-05,74346385
2010-01-06,67833585
2010-01-07,50531497
2010-01-08,52595791
2010-01-11,93649208
2010-01-12,73073001
2010-01-13,75327558
2010-01-14,51512135
2010-01-15,72783286
2010-01-19,65728319
2010-01-20,71359868
2010-01-21,69335892
2010-01-22,82785460
2010-01-25,61935287
2010-01-26,66878566
2010-01-27,68015940
2010-01-28,227315908
2010-01-29,133576680
2010-02-01,92757844
2010-02-02,67385568
2010-02-03,57740699
2010-02-04,119852092
2010-02-05,99121783
2010-02-08,58460315
2010-02-09,80229462
2010-02-10,63924183
2010-02-11,63272164
2010-02-12,61464714
2010-02-16,50053874
2010-02-17,29682680
2010-02-18,42310121
2010-02-19,38549870
2010-02-22,32340301
2010-02-23,49400383
2010-02-24,60804382
2010-02-25,60185016
2010-02-26,55308119
2010-03-01,57701341
2010-03-02,69980175
2010-03-03,52922134
2010-03-04,56864232
2010-03-05,46319943
2010-03-08,33697974
2010-03-09,75123170
2010-03-10,49772646
2010-03-11,66719051
2010-03-12,94298744
2010-03-15,65378680
2010-03-16,107234066
2010-03-17,66826589
2010-03-18,37976439
2010-03-19,74460552
2010-03-22,87938503
2010-03-23,60921287
2010-03-24,54617855
2010-03-25,68667378
2010-03-26,38511643
2010-03-29,33208825
2010-03-30,34797925
2010-03-31,35252924
2010-04-01,32246933
2010-04-05,31823411
2010-04-06,48520711
2010-04-07,54780375
2010-04-08,52669924
2010-04-09,78203125
2010-04-12,64108539
2010-04-13,43785784
2010-04-14,164488148
2010-04-15,59381403
2010-04-16,74939553
2010-04-19,55229081
2010-04-20,42945397
2010-04-21,94417617
2010-04-22,344580625
2010-04-23,127040741
2010-04-26,111592150
2010-04-27,201175311
2010-04-28,79591745
2010-04-29,78428671
2010-04-30,67082209
2010-05-03,72934523
2010-05-04,119111040
2010-05-05,118624400
2010-05-06,102299440
2010-05-07,122487379
2010-05-10,111124402
2010-05-11,80135105
2010-05-12,59759110
2010-05-13,75797764
2010-05-14,114428208
2010-05-17,82541759
2010-05-18,95508464
2010-05-19,90439143
2010-05-20,166952331
2010-05-21,136812016
2010-05-24,79474725
2010-05-25,81354247
2010-05-26,93163709
2010-05-27,60484998
2010-05-28,61312659
2010-06-01,72699507
2010-06-02,58114835
2010-06-03,65891828
2010-06-04,96548121
2010-06-07,118413008
2010-06-08,100466088
2010-06-09,62629318
2010-06-10,66701190
2010-06-11,64237981
2010-06-14,47192770
2010-06-15,150468445
2010-06-16,93061519
2010-06-17,91346078
2010-06-18,55253815
2010-06-21,45634796
2010-06-22,54049181
2010-06-23,89606137
2010-06-24,59486869
2010-06-25,110590040
2010-06-28,75109496
2010-06-29,98321565
2010-06-30,60745814
2010-07-01,136039214
2010-07-02,50978721
2010-07-06,60132955
2010-07-07,77166165
2010-07-08,65126346
2010-07-09,34371483
2010-07-12,47334377
2010-07-13,46082713
2010-07-14,128273837
2010-07-15,84420295
2010-07-16,65317893
2010-07-19,41686093
2010-07-20,60832603
2010-07-21,68937207
2010-07-22,72993997
2010-07-23,67507150
2010-07-26,81547191
2010-07-27,65216754
2010-07-28,90841806
2010-07-29,346431234
2010-07-30,112483772
