dt,volume
2010-01-04,29756351
2010-01-05,13476748
2010-01-06,19422570
2010-01-07,43931552
2010-01-08,42507867
2010-01-11,24164852
2010-01-12,105979888
2010-01-13,37943271
2010-01-14,69811642
2010-01-15,49395405
2010-01-19,36683914
2010-01-20,49612536
2010-01-21,59268032
2010-01-22,36950751
2010-01-25,37572839
2010-01-26,29458275
2010-01-27,18886119
2010-01-28,16643653
2010-01-29,25693176
2010-02-01,15542562
2010-02-02,20017216
2010-02-03,16057332
2010-02-04,26978343
2010-02-05,35524972
2010-02-08,21714969
2010-02-09,31215580
2010-02-10,51745410
2010-02-11,27625503
2010-02-12,14190338
2010-02-16,15940335
2010-02-17,26709851
2010-02-18,14191281
2010-02-19,19459801
2010-02-22,13464066
2010-02-23,15525579
2010-02-24,15398011
2010-02-25,23061998
2010-02-26,23844651
2010-03-01,27378325
2010-03-02,20420143
2010-03-03,20424431
2010-03-04,10665058
2010-03-05,15926843
2010-03-08,11830777
2010-03-09,15602084
2010-03-10,12862073
2010-03-11,17777354
2010-03-12,11841045
2010-03-15,9453657
2010-03-16,26677962
2010-03-17,31102554
2010-03-18,33858884
2010-03-19,30954143
2010-03-22,131583036
2010-03-23,35573616
2010-03-24,32961668
2010-03-25,21613474
2010-03-26,16920222
2010-03-29,13475294
2010-03-30,16282114
2010-03-31,31944536
2010-04-01,18305378
2010-04-05,11597856
2010-04-06,14675987
2010-04-07,22704899
2010-04-08,19203468
2010-04-09,10558636
2010-04-12,16531787
2010-04-13,20080146
2010-04-14,18505845
2010-04-15,22703663
2010-04-16,23940433
2010-04-19,21002004
2010-04-20,15866736
2010-04-21,13349410
2010-04-22,16523353
2010-04-23,11767803
2010-04-26,17284344
2010-04-27,17865606
2010-04-28,15296667
2010-04-29,17512150
2010-04-30,15116306
2010-05-03,13610951
2010-05-04,21487292
2010-05-05,19140568
2010-05-06,39196527
2010-05-07,63355340
2010-05-10,37859487
2010-05-11,22038138
2010-05-12,20480519
2010-05-13,26373595
2010-05-14,49172451
2010-05-17,33697992
2010-05-18,41960904
2010-05-19,37081616
2010-05-20,55661167
2010-05-21,60476973
2010-05-24,37036904
2010-05-25,42483143
2010-05-26,66334509
2010-05-27,116921651
2010-05-28,46064041
2010-06-01,31695771
2010-06-02,48610369
2010-06-03,38397150
2010-06-04,39426827
2010-06-07,30507506
2010-06-08,54140201
2010-06-09,69639013
2010-06-10,36516639
2010-06-11,27516523
2010-06-14,26755161
2010-06-15,20201710
2010-06-16,22966457
2010-06-17,36342974
2010-06-18,33043460
2010-06-21,32689611
2010-06-22,25238736
2010-06-23,42592397
2010-06-24,46233151
2010-06-25,36457437
2010-06-28,26295535
2010-06-29,46646401
2010-06-30,45435356
2010-07-01,59046338
2010-07-02,31015609
2010-07-06,62983887
2010-07-07,49403183
2010-07-08,45178802
2010-07-09,21895892
2010-07-12,15092592
2010-07-13,38229114
2010-07-14,44821315
2010-07-15,38018309
2010-07-16,49247156
2010-07-19,50114413
2010-07-20,35101566
2010-07-21,26444270
2010-07-22,30063565
2010-07-23,23331079
2010-07-26,15574478
2010-07-27,39706530
2010-07-28,29638763
2010-07-29,33978075
2010-07-30,31741024
2010-08-02,35449234
2010-08-03,49660077
2010-08-04,23046777
2010-08-05,36834834
2010-08-06,75673790
2010-08-09,49411896
2010-08-10,36257140
2010-08-11,41538456
