dt,volume
2010-01-04,50230516
2010-01-05,44259291
2010-01-06,36573453
2010-01-07,33735187
2010-01-08,39796959
2010-01-11,52496050
2010-01-12,60408743
2010-01-13,44163756
2010-01-14,46434013
2010-01-15,78245893
2010-01-19,60895235
2010-01-20,252197605
2010-01-21,140606789
2010-01-22,95736620
2010-01-25,84189254
2010-01-26,71989042
2010-01-27,70889621
2010-01-28,84740945
2010-01-29,71271363
2010-02-01,53389822
2010-02-02,68716507
2010-02-03,69628438
2010-02-04,64771000
2010-02-05,133676859
2010-02-08,42100003
2010-02-09,41812873
2010-02-10,37822537
2010-02-11,39969026
2010-02-12,65805357
2010-02-16,44601628
2010-02-17,58971682
2010-02-18,45450202
2010-02-19,51048546
2010-02-22,52530964
2010-02-23,66741895
2010-02-24,56643717
2010-02-25,68152879
2010-02-26,39841809
2010-03-01,65887229
2010-03-02,51976570
2010-03-03,45470424
2010-03-04,58300161
2010-03-05,42676530
2010-03-08,40370114
2010-03-09,68368882
2010-03-10,57597901
2010-03-11,33580433
2010-03-12,41858350
2010-03-15,38762567
2010-03-16,32147996
2010-03-17,25907380
2010-03-18,34333618
2010-03-19,41588421
2010-03-22,42873062
2010-03-23,43823982
2010-03-24,34809424
2010-03-25,34908897
2010-03-26,82858188
2010-03-29,61172781
2010-03-30,33658096
2010-03-31,35841825
2010-04-01,39487575
2010-04-05,35127068
2010-04-06,25551158
2010-04-07,49532352
2010-04-08,31564130
2010-04-09,41780706
2010-04-12,21746352
2010-04-13,34838387
2010-04-14,39032480
2010-04-15,46078628
2010-04-16,71815725
2010-04-19,68459009
2010-04-20,90352106
2010-04-21,76002680
2010-04-22,85216993
2010-04-23,54872721
2010-04-26,38033468
2010-04-27,47022254
2010-04-28,55064367
2010-04-29,32177244
2010-04-30,37624436
2010-05-03,35014272
2010-05-04,51393959
2010-05-05,44826218
2010-05-06,60059019
2010-05-07,79050907
2010-05-10,53121469
2010-05-11,44800116
2010-05-12,27250489
2010-05-13,42564605
2010-05-14,85449478
2010-05-17,39845888
2010-05-18,38777661
2010-05-19,61581545
2010-05-20,76569732
2010-05-21,83982776
2010-05-24,50232338
2010-05-25,65964884
2010-05-26,60778457
2010-05-27,84570420
2010-05-28,48621450
2010-06-01,45817300
2010-06-02,49351080
2010-06-03,50770668
2010-06-04,50812701
2010-06-07,39060411
2010-06-08,53183791
2010-06-09,54888848
2010-06-10,92437672
2010-06-11,55389829
2010-06-14,46416572
2010-06-15,43351674
2010-06-16,44541163
2010-06-17,51935103
2010-06-18,46463977
2010-06-21,47711647
2010-06-22,55529145
2010-06-23,40010119
2010-06-24,59284024
2010-06-25,49076151
2010-06-28,38614830
2010-06-29,83465490
2010-06-30,48719209
2010-07-01,69847963
2010-07-02,38038368
2010-07-06,88890230
2010-07-07,94522245
2010-07-08,65324979
2010-07-09,38633214
2010-07-12,42966521
2010-07-13,35192440
2010-07-14,39525502
2010-07-15,27820139
2010-07-16,61361900
2010-07-19,64907066
2010-07-20,58802836
2010-07-21,50351446
2010-07-22,47397631
2010-07-23,40552553
2010-07-26,35483179
2010-07-27,53854467
2010-07-28,27001170
2010-07-29,34680450
2010-07-30,39169947
2010-08-02,72006504
2010-08-03,128213674
2010-08-04,90395722
2010-08-05,47952564
2010-08-06,39699671
2010-08-09,31892241
2010-08-10,30494546
2010-08-11,39527911
2010-08-12,31191328
2010-08-13,19745467
2010-08-16,24148715
2010-08-17,28294434
2010-08-18,34635213
2010-08-19,31914367
2010-08-20,40720187
2010-08-23,42270635
2010-08-24,40715812
2010-08-25,37653778
2010-08-26,39278986
2010-08-27,66259946
2010-08-30,25218444
2010-08-31,50803096
2010-09-01,51109244
2010-09-02,34736073
2010-09-03,46190019
2010-09-07,44347347
2010-09-08,39090242
2010-09-09,42294790
2010-09-10,39330693
2010-09-13,37589395
2010-09-14,35889926
2010-09-15,66435711
2010-09-16,39092005
2010-09-17,50928173
2010-09-20,34504340
2010-09-21,33600280
2010-09-22,41735753
2010-09-23,21621345
2010-09-24,23930646
2010-09-27,29299199
2010-09-28,47988094
2010-09-29,30864549
2010-09-30,33322312
2010-10-01,35150884
2010-10-04,32919007
2010-10-05,46831109
2010-10-06,46746345
2010-10-07,37993781
2010-10-08,30305535
2010-10-11,36204369
2010-10-12,30923956
2010-10-13,26959555
2010-10-14,29690903
2010-10-15,29040054
2010-10-18,19391432
2010-10-19,33067024
2010-10-20,35429638
2010-10-21,37494679
2010-10-22,28718751
2010-10-25,67003890
2010-10-26,198935151
2010-10-27,92416474
2010-10-28,64421184
2010-10-29,38093594
2010-11-01,40169655
2010-11-02,58984245
2010-11-03,31626247
2010-11-04,68543457
2010-11-05,41670668
2010-11-08,34067428
2010-11-09,36753469
2010-11-10,38571485
2010-11-11,31497469
2010-11-12,32433361
2010-11-15,35890737
2010-11-16,48674266
2010-11-17,64662306
2010-11-18,83394506
2010-11-19,37748969
2010-11-22,36733366
2010-11-23,35932933
2010-11-24,65198817
2010-11-26,24898045
2010-11-29,47837448
2010-11-30,62200674
2010-12-01,57948887
2010-12-02,63930153
2010-12-03,51928146
2010-12-06,45025461
2010-12-07,39052227
2010-12-08,20746702
2010-12-09,39741077
2010-12-10,27784669
2010-12-13,68308979
2010-12-14,36491808
2010-12-15,54666707
2010-12-16,34201293
2010-12-17,43183307
2010-12-20,31826063
2010-12-21,29652829
2010-12-22,49369765
2010-12-23,30046839
2010-12-27,19292532
2010-12-28,21241541
2010-12-29,20368732
2010-12-30,21275197
2010-12-31,14255077
2011-01-03,50073686
2011-01-04,93565938
2011-01-05,87060061
2011-01-06,56888153
2011-01-07,48081942
2011-01-10,52423128
2011-01-11,64519926
2011-01-12,39468626
2011-01-13,33608961
2011-01-14,26948477
2011-01-18,39358820
2011-01-19,43094543
2011-01-20,48789463
2011-01-21,33439470
2011-01-24,40062843
2011-01-25,129655549
2011-01-26,87969254
2011-01-27,45273338
2011-01-28,38024950
2011-01-31,48588607
2011-02-01,34274792
2011-02-02,38097238
2011-02-03,44345947
2011-02-04,39146048
2011-02-07,54729411
2011-02-08,35760852
2011-02-09,40313667
2011-02-10,28071304
2011-02-11,23590123
2011-02-14,24649825
2011-02-15,25051204
2011-02-16,23905814
2011-02-17,24055277
2011-02-18,37540099
2011-02-22,40091065
2011-02-23,64369512
2011-02-24,52030429
2011-02-25,29871443
2011-02-28,21654886
2011-03-01,25800774
2011-03-02,28564269
2011-03-03,27143521
2011-03-04,29596623
2011-03-07,28609597
2011-03-08,28608630
2011-03-09,18663982
2011-03-10,39107640
2011-03-11,34328549
2011-03-14,116618132
2011-03-15,122354063
2011-03-16,77764851
2011-03-17,54772984
2011-03-18,84787533
2011-03-21,69711078
2011-03-22,26213744
2011-03-23,38149523
2011-03-24,25506177
2011-03-25,32674859
2011-03-28,27315959
2011-03-29,27483525
2011-03-30,27181146
2011-03-31,22949556
2011-04-01,28682577
2011-04-04,19596106
2011-04-05,21313534
2011-04-06,28979990
2011-04-07,46260369
2011-04-08,29015364
2011-04-11,27889167
2011-04-12,40209664
