dt,volume
2010-01-04,33580543
2010-01-05,22395637
2010-01-06,23305306
2010-01-07,18998309
2010-01-08,19083222
2010-01-11,27494454
2010-01-12,20415611
2010-01-13,54722459
2010-01-14,54234735
2010-01-15,47911707
2010-01-19,19183425
2010-01-20,42301655
2010-01-21,36112343
2010-01-22,40822950
2010-01-25,24662898
2010-01-26,25570958
2010-01-27,39443660
2010-01-28,56187626
2010-01-29,49436035
2010-02-01,26730228
2010-02-02,45528356
2010-02-03,43653246
2010-02-04,70249330
2010-02-05,63594413
2010-02-08,39587030
2010-02-09,27231970
2010-02-10,42014333
2010-02-11,34812002
2010-02-12,41438856
2010-02-16,26501015
2010-02-17,18866519
2010-02-18,29874329
2010-02-19,32197422
2010-02-22,22047834
2010-02-23,25924485
2010-02-24,26243785
2010-02-25,23392054
2010-02-26,23092489
2010-03-01,15143622
2010-03-02,29306287
2010-03-03,16897201
2010-03-04,28910641
2010-03-05,16549736
2010-03-08,31821235
2010-03-09,23426408
2010-03-10,38025510
2010-03-11,18761568
2010-03-12,19304133
2010-03-15,18720196
2010-03-16,20090601
2010-03-17,21852614
2010-03-18,10116878
2010-03-19,29931042
2010-03-22,28919268
2010-03-23,50561007
2010-03-24,25533612
2010-03-25,46137280
2010-03-26,23700929
2010-03-29,52682168
2010-03-30,47949047
2010-03-31,77702327
2010-04-01,21894349
2010-04-05,18007367
2010-04-06,34979970
2010-04-07,38827129
2010-04-08,40896055
2010-04-09,16837807
2010-04-12,16303667
2010-04-13,19150708
2010-04-14,36509997
2010-04-15,19283128
2010-04-16,24223785
2010-04-19,18944470
2010-04-20,13387351
2010-04-21,13398586
2010-04-22,21406288
2010-04-23,19599317
2010-04-26,15823079
2010-04-27,36000686
2010-04-28,39376502
2010-04-29,83185536
2010-04-30,30335875
2010-05-03,26172527
2010-05-04,28736996
2010-05-05,34361441
2010-05-06,157252858
2010-05-07,94909223
2010-05-10,70988848
2010-05-11,57913951
2010-05-12,39555861
2010-05-13,44351052
2010-05-14,52755426
2010-05-17,39414533
2010-05-18,35005948
2010-05-19,38398421
2010-05-20,31625914
2010-05-21,63590399
2010-05-24,25847077
2010-05-25,48055453
2010-05-26,49249118
2010-05-27,33446274
2010-05-28,35870927
2010-06-01,33044032
2010-06-02,41856139
2010-06-03,23169254
2010-06-04,29827066
2010-06-07,29931976
2010-06-08,34060524
2010-06-09,32452625
2010-06-10,37521250
2010-06-11,36442381
2010-06-14,49512069
2010-06-15,38529157
2010-06-16,20956990
2010-06-17,25866345
2010-06-18,28530596
2010-06-21,19090002
2010-06-22,25692872
2010-06-23,20469363
2010-06-24,20119003
2010-06-25,19714519
2010-06-28,21323384
2010-06-29,39843032
2010-06-30,23205253
2010-07-01,24173420
2010-07-02,17295062
2010-07-06,23218097
2010-07-07,27580164
2010-07-08,24188331
2010-07-09,20850214
2010-07-12,29864994
2010-07-13,31004128
2010-07-14,22547271
2010-07-15,21773551
2010-07-16,28381012
2010-07-19,16410595
2010-07-20,20165426
2010-07-21,26057533
2010-07-22,21531395
2010-07-23,26428005
2010-07-26,18378239
2010-07-27,27673063
2010-07-28,28712761
2010-07-29,19827386
2010-07-30,47023367
2010-08-02,54188104
2010-08-03,41857109
2010-08-04,26299190
2010-08-05,57125515
2010-08-06,74538265
2010-08-09,24583610
2010-08-10,17243793
2010-08-11,27308642
2010-08-12,26404376
2010-08-13,20790163
2010-08-16,14526923
2010-08-17,21870665
2010-08-18,24160350
2010-08-19,29274929
2010-08-20,34840077
2010-08-23,14816371
2010-08-24,33913118
2010-08-25,40434408
2010-08-26,29624016
2010-08-27,27119906
2010-08-30,28870718
2010-08-31,22092580
2010-09-01,73570379
2010-09-02,23335408
2010-09-03,13985742
2010-09-07,22713669
2010-09-08,22972967
2010-09-09,10390884
2010-09-10,8680885
2010-09-13,25548710
2010-09-14,38605276
2010-09-15,65876892
2010-09-16,71329510
2010-09-17,79867349
2010-09-20,45623397
2010-09-21,27562784
2010-09-22,53551011
2010-09-23,38258848
2010-09-24,28395906
2010-09-27,27063931
2010-09-28,53549482
2010-09-29,27717538
2010-09-30,36346946
2010-10-01,34982382
2010-10-04,44162795
2010-10-05,43179111
2010-10-06,31693487
2010-10-07,65653701
2010-10-08,26561770
2010-10-11,17292570
2010-10-12,17213685
2010-10-13,12831690
2010-10-14,16925598
2010-10-15,28117130
2010-10-18,24996292
2010-10-19,40330677
2010-10-20,30387473
2010-10-21,18506201
2010-10-22,10970032
2010-10-25,16998403
