dt,volume
2010-01-04,43662776
2010-01-05,165392137
2010-01-06,74983713
2010-01-07,60053878
2010-01-08,49872204
2010-01-11,61147982
2010-01-12,64022399
2010-01-13,70246475
2010-01-14,157280332
2010-01-15,142441914
2010-01-19,95037546
2010-01-20,60027040
2010-01-21,61416275
2010-01-22,61422866
2010-01-25,62640152
2010-01-26,49043667
2010-01-27,75389423
2010-01-28,252249739
2010-01-29,91246116
2010-02-01,75257234
2010-02-02,100481951
2010-02-03,47684719
2010-02-04,83202866
2010-02-05,132339661
2010-02-08,61897920
2010-02-09,44867040
2010-02-10,92549242
2010-02-11,59049260
2010-02-12,65482903
2010-02-16,38833556
2010-02-17,35566449
2010-02-18,43667450
2010-02-19,50459155
2010-02-22,44483972
2010-02-23,43102128
2010-02-24,73445927
2010-02-25,59076127
2010-02-26,38816782
2010-03-01,51209463
2010-03-02,60008030
2010-03-03,54258646
2010-03-04,65803334
2010-03-05,51410606
2010-03-08,38995424
2010-03-09,110103757
2010-03-10,66630524
2010-03-11,41711704
2010-03-12,45701415
2010-03-15,36341338
2010-03-16,60543241
2010-03-17,38350707
2010-03-18,28066953
2010-03-19,77830033
2010-03-22,34573391
2010-03-23,33046820
2010-03-24,30868567
2010-03-25,57288341
2010-03-26,46989596
2010-03-29,49485779
2010-03-30,39716359
2010-03-31,39885874
2010-04-01,44358340
2010-04-05,56768529
2010-04-06,43795252
2010-04-07,127633632
2010-04-08,44798849
2010-04-09,45212954
2010-04-12,37822719
2010-04-13,51702649
2010-04-14,59236348
2010-04-15,68034134
2010-04-16,60193210
2010-04-19,51495765
2010-04-20,40862802
2010-04-21,52473216
2010-04-22,257815120
2010-04-23,109428190
2010-04-26,106928315
2010-04-27,85204941
2010-04-28,60872421
2010-04-29,35504903
2010-04-30,44503657
2010-05-03,45555785
2010-05-04,79638032
2010-05-05,70770217
2010-05-06,78407795
2010-05-07,207878020
2010-05-10,95756718
2010-05-11,61259657
2010-05-12,61620965
2010-05-13,33708523
2010-05-14,45064085
2010-05-17,88319058
2010-05-18,70993827
2010-05-19,57940998
2010-05-20,115273441
2010-05-21,164652761
2010-05-24,64052853
2010-05-25,116192093
2010-05-26,154662367
2010-05-27,45015213
2010-05-28,31364234
2010-06-01,42454073
2010-06-02,40243458
2010-06-03,44554913
2010-06-04,80405373
2010-06-07,66813205
2010-06-08,72664926
2010-06-09,77512648
2010-06-10,49180539
2010-06-11,39090890
2010-06-14,32060776
2010-06-15,30799557
2010-06-16,37869683
2010-06-17,32882715
2010-06-18,33495768
2010-06-21,38756653
2010-06-22,33802313
2010-06-23,51317472
2010-06-24,69499270
2010-06-25,47887715
2010-06-28,50441968
2010-06-29,173630209
2010-06-30,79755169
2010-07-01,120696829
2010-07-02,73625859
2010-07-06,73235383
2010-07-07,77845917
2010-07-08,67419972
2010-07-09,68910665
2010-07-12,54080680
2010-07-13,76226467
2010-07-14,53121121
2010-07-15,51828701
2010-07-16,65261729
2010-07-19,45608479
2010-07-20,42779717
2010-07-21,224799329
2010-07-22,101166315
2010-07-23,61317905
2010-07-26,56045850
2010-07-27,64210844
2010-07-28,55745594
2010-07-29,44604803
2010-07-30,41915204
2010-08-02,66532462
2010-08-03,29589157
2010-08-04,30694660
2010-08-05,25047192
2010-08-06,52418781
2010-08-09,46178045
2010-08-10,67864481
2010-08-11,112463334
2010-08-12,94827494
2010-08-13,95569534
2010-08-16,74246326
2010-08-17,91512705
2010-08-18,65766426
2010-08-19,78792171
2010-08-20,87213033
2010-08-23,87469975
2010-08-24,62519544
2010-08-25,48966832
2010-08-26,41213982
2010-08-27,71666261
2010-08-30,49174726
2010-08-31,72430782
2010-09-01,58050793
2010-09-02,38114080
2010-09-03,47226909
2010-09-07,40155141
2010-09-08,43901979
2010-09-09,20831547
2010-09-10,30961441
2010-09-13,38753620
2010-09-14,34916434
2010-09-15,21502261
2010-09-16,50463189
2010-09-17,75020431
2010-09-20,62582269
2010-09-21,87083648
2010-09-22,62969076
2010-09-23,45536576
2010-09-24,57064396
2010-09-27,41968233
2010-09-28,45580827
2010-09-29,74954714
2010-09-30,40325119
2010-10-01,60759369
2010-10-04,56631359
2010-10-05,51456697
2010-10-06,44753325
2010-10-07,47524853
2010-10-08,38872954
2010-10-11,41808927
2010-10-12,28278306
2010-10-13,34033967
2010-10-14,37867071
2010-10-15,70526964
2010-10-18,53081968
2010-10-19,106201657
2010-10-20,156461867
2010-10-21,91075056
2010-10-22,44080051
2010-10-25,39913665
2010-10-26,61017616
2010-10-27,36902623
2010-10-28,48878759
2010-10-29,66094156
2010-11-01,31889308
2010-11-02,45195035
2010-11-03,53631689
2010-11-04,36791125
2010-11-05,47531948
2010-11-08,50828020
2010-11-09,33967312
2010-11-10,36665153
2010-11-11,30095702
2010-11-12,63672866
2010-11-15,39962526
2010-11-16,38274471
2010-11-17,31964992
2010-11-18,35535043
2010-11-19,37652489
