dt,volume
2010-01-04,145045051
2010-01-05,377807758
2010-01-06,207997755
2010-01-07,168803261
2010-01-08,81225821
2010-01-11,150518809
2010-01-12,110489957
2010-01-13,350009014
2010-01-14,123532105
2010-01-15,147847270
2010-01-19,128889930
2010-01-20,119523135
2010-01-21,222613903
2010-01-22,207349616
2010-01-25,154381029
2010-01-26,106434993
2010-01-27,239680430
2010-01-28,177678033
2010-01-29,127191042
2010-02-01,79889958
2010-02-02,225765671
2010-02-03,145577385
2010-02-04,185007436
2010-02-05,199200179
2010-02-08,152667962
2010-02-09,544664710
2010-02-10,239859696
2010-02-11,157572355
2010-02-12,162576297
2010-02-16,198599198
2010-02-17,96448764
2010-02-18,102920418
2010-02-19,76645955
2010-02-22,75710388
2010-02-23,144169349
2010-02-24,59678730
2010-02-25,60259297
2010-02-26,172874763
2010-03-01,203033644
2010-03-02,198771174
2010-03-03,106333848
2010-03-04,79675503
2010-03-05,68752039
2010-03-08,110131534
2010-03-09,321429422
2010-03-10,184470456
2010-03-11,85259271
2010-03-12,119678576
2010-03-15,97705106
2010-03-16,108585274
2010-03-17,169960313
2010-03-18,87219135
2010-03-19,135110338
2010-03-22,128169997
2010-03-23,85274644
2010-03-24,73654933
2010-03-25,106026564
2010-03-26,135617057
2010-03-29,67585103
2010-03-30,59714733
2010-03-31,88141937
2010-04-01,149071352
2010-04-05,102658350
2010-04-06,78622181
2010-04-07,153857113
2010-04-08,552058904
2010-04-09,115773734
2010-04-12,169810069
2010-04-13,172981783
2010-04-14,145779848
2010-04-15,207366171
2010-04-16,163523491
2010-04-19,145677395
2010-04-20,112537779
2010-04-21,92123983
2010-04-22,306277373
2010-04-23,130136988
2010-04-26,194664641
2010-04-27,128276876
2010-04-28,172017284
2010-04-29,112798615
2010-04-30,170780261
2010-05-03,186235645
2010-05-04,239189342
2010-05-05,350436721
2010-05-06,250700798
2010-05-07,261427520
2010-05-10,121753080
2010-05-11,94921219
2010-05-12,119884117
2010-05-13,72781150
2010-05-14,84683086
2010-05-17,92104466
2010-05-18,55127795
2010-05-19,169930183
2010-05-20,124898934
2010-05-21,154528003
2010-05-24,47946074
2010-05-25,119770533
2010-05-26,145345420
2010-05-27,78288412
2010-05-28,74219043
2010-06-01,67825572
2010-06-02,172743390
2010-06-03,137736157
2010-06-04,109624499
2010-06-07,105275125
2010-06-08,110388707
2010-06-09,112428412
2010-06-10,89115452
2010-06-11,117050567
2010-06-14,105094096
2010-06-15,158075414
2010-06-16,78999978
2010-06-17,57472874
2010-06-18,60505414
2010-06-21,68463255
2010-06-22,110428728
2010-06-23,69402357
2010-06-24,69314831
2010-06-25,79356599
2010-06-28,72868083
2010-06-29,93844650
2010-06-30,81331818
2010-07-01,100066208
2010-07-02,206953515
2010-07-06,96944731
2010-07-07,117930356
2010-07-08,67523947
2010-07-09,86719022
2010-07-12,50433027
2010-07-13,82064808
2010-07-14,60003042
2010-07-15,65780020
2010-07-16,42493390
2010-07-19,174865639
2010-07-20,151013574
2010-07-21,74045461
2010-07-22,78520975
2010-07-23,80273022
2010-07-26,91739251
2010-07-27,65970471
2010-07-28,72561724
2010-07-29,58975605
2010-07-30,51262090
2010-08-02,66805891
2010-08-03,62169912
2010-08-04,84886136
2010-08-05,35962342
2010-08-06,49382783
2010-08-09,68594431
2010-08-10,46785895
2010-08-11,72781276
2010-08-12,60772326
2010-08-13,29887636
2010-08-16,46288536
2010-08-17,51098036
2010-08-18,73702842
2010-08-19,58777242
2010-08-20,56668820
2010-08-23,64150798
2010-08-24,92832702
2010-08-25,87506860
2010-08-26,80271037
2010-08-27,67550494
2010-08-30,111272045
2010-08-31,55220682
2010-09-01,77565349
2010-09-02,58130583
2010-09-03,50564677
2010-09-07,54191881
2010-09-08,45861756
2010-09-09,129346254
2010-09-10,50888286
2010-09-13,49376410
2010-09-14,81651408
2010-09-15,43412939
2010-09-16,75792102
2010-09-17,62812589
2010-09-20,84044873
2010-09-21,107668484
2010-09-22,109884295
2010-09-23,88924675
2010-09-24,48896732
2010-09-27,72554459
2010-09-28,54679808
2010-09-29,79435620
2010-09-30,109851924
2010-10-01,88855924
2010-10-04,145301016
2010-10-05,101281305
2010-10-06,75027009
2010-10-07,104915318
2010-10-08,107600943
2010-10-11,58680865
2010-10-12,117909554
2010-10-13,86549436
2010-10-14,59622201
2010-10-15,57290920
2010-10-18,43502716
2010-10-19,77872403
2010-10-20,111116481
2010-10-21,223924249
2010-10-22,69111292
2010-10-25,68754366
2010-10-26,73885563
2010-10-27,45592696
2010-10-28,78096936
2010-10-29,49210597
2010-11-01,67119980
2010-11-02,47771151
2010-11-03,52656737
2010-11-04,102520361
2010-11-05,97977713
2010-11-08,67576778
2010-11-09,58986490
2010-11-10,26668866
2010-11-11,37312522
2010-11-12,36746307
2010-11-15,53381590
2010-11-16,76727538
2010-11-17,26921776
2010-11-18,50279220
2010-11-19,55764687
2010-11-22,44885950
2010-11-23,34453168
2010-11-24,66912590
2010-11-26,13039604
2010-11-29,55218629
2010-11-30,39538339
2010-12-01,52402673
2010-12-02,36563247
2010-12-03,42815017
2010-12-06,53160660
2010-12-07,149353086
2010-12-08,138688739
2010-12-09,73696083
2010-12-10,57286381
2010-12-13,72302206
2010-12-14,78749936
2010-12-15,70194780
2010-12-16,89280077
2010-12-17,36521067
2010-12-20,48889852
2010-12-21,60751786
2010-12-22,101662531
2010-12-23,74284757
2010-12-27,45974305
2010-12-28,33249041
2010-12-29,32543243
2010-12-30,41790268
2010-12-31,41824869
2011-01-03,82838125
2011-01-04,121954557
2011-01-05,88502251
2011-01-06,80462342
2011-01-07,55895568
2011-01-10,77753888
2011-01-11,73671965
2011-01-12,40242907
2011-01-13,49485106
2011-01-14,43591731
2011-01-18,69491145
2011-01-19,83134867
2011-01-20,113279771
2011-01-21,57382421
2011-01-24,93347881
2011-01-25,48540420
2011-01-26,201048112
2011-01-27,131321768
2011-01-28,111934136
2011-01-31,67058727
2011-02-01,99059969
2011-02-02,89171393
2011-02-03,89879669
2011-02-04,109645557
2011-02-07,87319206
2011-02-08,115233068
2011-02-09,57490619
2011-02-10,95576937
2011-02-11,87145344
2011-02-14,53064954
2011-02-15,79380171
2011-02-16,72156363
2011-02-17,75585976
2011-02-18,53994151
2011-02-22,220018867
2011-02-23,373325442
2011-02-24,159939726
2011-02-25,111246506
2011-02-28,74326652
2011-03-01,125866724
2011-03-02,127425959
2011-03-03,152223804
2011-03-04,107069875
2011-03-07,142894513
2011-03-08,174721029
2011-03-09,95350213
2011-03-10,167240843
2011-03-11,95880803
2011-03-14,67055490
2011-03-15,99779573
2011-03-16,95933995
2011-03-17,85776090
2011-03-18,104681112
2011-03-21,82839778
2011-03-22,81892121
2011-03-23,61772345
2011-03-24,63976856
2011-03-25,74901892
2011-03-28,73605285
2011-03-29,54942917
2011-03-30,77882869
2011-03-31,68800344
2011-04-01,72850230
2011-04-04,61939904
2011-04-05,98900648
2011-04-06,270887040
2011-04-07,99830567
2011-04-08,212440961
2011-04-11,161461066
2011-04-12,253165968
2011-04-13,104788456
2011-04-14,93292710
2011-04-15,61702983
2011-04-18,114345280
2011-04-19,72590130
2011-04-20,108919065
2011-04-21,84067269
2011-04-25,107535439
2011-04-26,130788706
