dt,volume
2010-01-04,20710801
2010-01-05,19470711
2010-01-06,18535593
2010-01-07,18598169
2010-01-08,12270735
2010-01-11,18273023
2010-01-12,29372407
2010-01-13,17240878
2010-01-14,13058196
2010-01-15,16147196
2010-01-19,16186987
2010-01-20,18721719
2010-01-21,25452351
2010-01-22,12001529
2010-01-25,25647122
2010-01-26,23595965
2010-01-27,16444282
2010-01-28,18387546
2010-01-29,15327742
2010-02-01,20540306
2010-02-02,15769774
2010-02-03,19733635
2010-02-04,49302331
2010-02-05,50820542
2010-02-08,24072511
2010-02-09,58239893
2010-02-10,23708654
2010-02-11,26823257
2010-02-12,38215978
2010-02-16,35028582
2010-02-17,24565815
2010-02-18,13661146
2010-02-19,32627459
2010-02-22,19529935
2010-02-23,21138562
2010-02-24,17235495
2010-02-25,17434233
2010-02-26,17033755
2010-03-01,17016960
2010-03-02,15100812
2010-03-03,13026782
2010-03-04,14804456
2010-03-05,34646245
2010-03-08,15794351
2010-03-09,44865493
2010-03-10,44983490
2010-03-11,18575034
2010-03-12,13335264
2010-03-15,14929115
2010-03-16,12726690
2010-03-17,17664834
2010-03-18,15145493
2010-03-19,27641966
2010-03-22,20031617
2010-03-23,21351102
2010-03-24,17633831
2010-03-25,29966965
2010-03-26,17757879
2010-03-29,10510556
2010-03-30,27895753
2010-03-31,16855822
2010-04-01,15224189
2010-04-05,14786428
2010-04-06,43530392
2010-04-07,19836401
2010-04-08,18961038
2010-04-09,26722139
2010-04-12,29094737
2010-04-13,31892971
2010-04-14,38577294
2010-04-15,33626052
2010-04-16,45653035
2010-04-19,43507191
2010-04-20,21721639
2010-04-21,31995838
2010-04-22,24257298
2010-04-23,41215101
2010-04-26,42677064
2010-04-27,28541623
2010-04-28,40141329
2010-04-29,53835005
2010-04-30,27455190
2010-05-03,30511904
2010-05-04,33790712
2010-05-05,50343091
2010-05-06,40836861
2010-05-07,39844581
2010-05-10,33357878
2010-05-11,30756210
2010-05-12,26577986
2010-05-13,16780635
2010-05-14,26247432
2010-05-17,19188878
2010-05-18,28165644
2010-05-19,41209721
2010-05-20,34077808
2010-05-21,31651439
2010-05-24,19513235
2010-05-25,39444749
2010-05-26,36356176
2010-05-27,30911343
2010-05-28,22240454
2010-06-01,28147890
2010-06-02,22325752
2010-06-03,23604598
2010-06-04,48364570
2010-06-07,67054669
2010-06-08,36945434
2010-06-09,38174892
2010-06-10,28665249
2010-06-11,24548293
2010-06-14,21855312
2010-06-15,11979267
2010-06-16,17648398
2010-06-17,19085108
2010-06-18,20170761
2010-06-21,21604284
2010-06-22,28407112
2010-06-23,23411483
2010-06-24,28501820
2010-06-25,27575035
2010-06-28,29501958
2010-06-29,33621213
2010-06-30,30084272
2010-07-01,33771483
2010-07-02,37568810
2010-07-06,39997924
2010-07-07,40414936
2010-07-08,40756338
2010-07-09,22370770
2010-07-12,16333450
2010-07-13,17122798
2010-07-14,21591869
2010-07-15,17403457
2010-07-16,20827461
2010-07-19,15793930
2010-07-20,17175868
2010-07-21,16427957
2010-07-22,16598385
2010-07-23,19785828
2010-07-26,13372176
2010-07-27,30889570
2010-07-28,12956800
2010-07-29,23341652
2010-07-30,16053825
2010-08-02,17539934
2010-08-03,25982347
2010-08-04,25426796
2010-08-05,21369132
2010-08-06,21825910
2010-08-09,6940813
2010-08-10,11112191
2010-08-11,17393493
2010-08-12,17151408
2010-08-13,21040945
2010-08-16,16849660
2010-08-17,23507691
2010-08-18,12242265
2010-08-19,15448185
2010-08-20,11130329
2010-08-23,11636885
2010-08-24,15886343
2010-08-25,12714878
2010-08-26,12848098
2010-08-27,22015125
2010-08-30,10761889
2010-08-31,12526439
2010-09-01,28834597
2010-09-02,22564957
2010-09-03,13336220
2010-09-07,10361362
2010-09-08,174860969
2010-09-09,29845644
2010-09-10,21409656
2010-09-13,19600482
2010-09-14,22725314
2010-09-15,18143145
2010-09-16,15927892
2010-09-17,20022053
2010-09-20,22153527
2010-09-21,29312503
2010-09-22,16436640
2010-09-23,26312782
2010-09-24,24134418
2010-09-27,21197967
2010-09-28,21769698
2010-09-29,34369028
2010-09-30,36714428
2010-10-01,26033487
2010-10-04,29452804
2010-10-05,30934695
2010-10-06,19978764
2010-10-07,14336486
2010-10-08,14968416
2010-10-11,10539981
2010-10-12,19440861
2010-10-13,22190313
2010-10-14,18136777
2010-10-15,15964347
2010-10-18,18511020
2010-10-19,31985538
2010-10-20,18297691
2010-10-21,18219999
2010-10-22,29955419
2010-10-25,22758300
2010-10-26,22334311
2010-10-27,36086364
2010-10-28,29365991
2010-10-29,23659874
2010-11-01,23812907
2010-11-02,21036190
2010-11-03,26218218
2010-11-04,21299645
2010-11-05,30137667
2010-11-08,22976537
2010-11-09,41144048
2010-11-10,31748087
2010-11-11,31152072
2010-11-12,36818138
2010-11-15,23453892
2010-11-16,28802845
2010-11-17,15866443
2010-11-18,20698011
2010-11-19,12694315
2010-11-22,13586315
2010-11-23,17530940
2010-11-24,20223820
2010-11-26,5883485
2010-11-29,22740775
2010-11-30,23825621
2010-12-01,20238839
2010-12-02,16444914
2010-12-03,11735169
2010-12-06,12247345
2010-12-07,12560977
2010-12-08,10611755
2010-12-09,13422669
2010-12-10,16157170
2010-12-13,13299127
2010-12-14,14982985
2010-12-15,24165779
2010-12-16,15978331
2010-12-17,14464714
2010-12-20,11559672
2010-12-21,12914553
2010-12-22,20911593
2010-12-23,14252827
2010-12-27,6579402
2010-12-28,13431830
2010-12-29,11680589
2010-12-30,10625608
2010-12-31,6313689
2011-01-03,14608660
2011-01-04,27064510
2011-01-05,19158072
2011-01-06,28721283
2011-01-07,42501285
2011-01-10,26238779
2011-01-11,21260863
2011-01-12,22866185
2011-01-13,19802763
2011-01-14,19845584
2011-01-18,27721154
2011-01-19,14944628
2011-01-20,15619077
2011-01-21,16140549
2011-01-24,9619898
2011-01-25,44597785
2011-01-26,42552415
2011-01-27,14147229
2011-01-28,12091979
2011-01-31,28822627
2011-02-01,34450668
2011-02-02,13225308
2011-02-03,9183150
2011-02-04,19783969
2011-02-07,16764245
2011-02-08,13381108
2011-02-09,10967550
2011-02-10,15703150
2011-02-11,17675049
2011-02-14,15732384
2011-02-15,11376761
2011-02-16,11505804
2011-02-17,12473595
2011-02-18,11863771
2011-02-22,19044821
2011-02-23,17483305
2011-02-24,23544415
2011-02-25,29263964
2011-02-28,23282949
2011-03-01,19031887
2011-03-02,32135019
2011-03-03,17207129
2011-03-04,17997239
2011-03-07,21347343
2011-03-08,15085730
2011-03-09,15876354
2011-03-10,14126677
2011-03-11,13004355
2011-03-14,11250247
2011-03-15,16830210
2011-03-16,20708015
2011-03-17,13388566
2011-03-18,21495898
2011-03-21,15040501
2011-03-22,16849160
2011-03-23,15277779
2011-03-24,21601721
2011-03-25,11899199
2011-03-28,9394979
2011-03-29,12232588
2011-03-30,16380572
2011-03-31,17100855
2011-04-01,20475994
2011-04-04,13709256
2011-04-05,15614557
2011-04-06,23585266
2011-04-07,14997682
2011-04-08,11862184
2011-04-11,11532485
2011-04-12,17070204
2011-04-13,21009914
2011-04-14,21344225
2011-04-15,21233394
2011-04-18,18400317
2011-04-19,12478932
2011-04-20,12466446
2011-04-21,8983570
2011-04-25,10618672
2011-04-26,14005912
2011-04-27,10347286
2011-04-28,24997628
2011-04-29,12361221
2011-05-02,16753493
2011-05-03,12093868
2011-05-04,22523027
2011-05-05,39626593
2011-05-06,34356428
2011-05-09,19192668
2011-05-10,15500623
2011-05-11,13462616
2011-05-12,14133569
2011-05-13,13213539
2011-05-16,13361720
2011-05-17,16780544
2011-05-18,14878086
2011-05-19,20767232
2011-05-20,15815316
2011-05-23,12817928
2011-05-24,14473480
2011-05-25,15503599
2011-05-26,16042261
2011-05-27,25159931
2011-05-31,27053372
2011-06-01,27064001
2011-06-02,26310186
2011-06-03,29984016
2011-06-06,14168240
2011-06-07,24875124
2011-06-08,23537449
2011-06-09,25174254
2011-06-10,22512970
2011-06-13,26871043
2011-06-14,13617495
2011-06-15,22687679
2011-06-16,22897107
2011-06-17,24380749
2011-06-20,12051824
2011-06-21,22587064
2011-06-22,39558539
2011-06-23,31743622
2011-06-24,19644335
2011-06-27,13098355
2011-06-28,19254451
2011-06-29,15961316
2011-06-30,12648881
2011-07-01,17911077
2011-07-05,28333605
2011-07-06,34193155
2011-07-07,32566868
2011-07-08,18436252
2011-07-11,18470782
