dt,volume
2010-01-04,12600548
2010-01-05,12035959
2010-01-06,11297371
2010-01-07,13459217
2010-01-08,7834217
2010-01-11,12916470
2010-01-12,14687202
2010-01-13,11404191
2010-01-14,10539379
2010-01-15,12539280
2010-01-19,10021432
2010-01-20,11433749
2010-01-21,12141065
2010-01-22,26376424
2010-01-25,27574142
2010-01-26,17917147
2010-01-27,18242540
2010-01-28,19196275
2010-01-29,19817686
2010-02-01,19336351
2010-02-02,9945364
2010-02-03,9254844
2010-02-04,15508529
2010-02-05,19760664
2010-02-08,15703868
2010-02-09,11683086
2010-02-10,7939573
2010-02-11,6951351
2010-02-12,4439515
2010-02-16,8370398
2010-02-17,5582934
2010-02-18,8104249
2010-02-19,12405368
2010-02-22,9008206
2010-02-23,13270238
2010-02-24,7459368
2010-02-25,10484786
2010-02-26,19793588
2010-03-01,13949963
2010-03-02,6760873
2010-03-03,9648371
2010-03-04,11982073
2010-03-05,16458730
2010-03-08,11043856
2010-03-09,16624990
2010-03-10,11930482
2010-03-11,8059291
2010-03-12,11651110
2010-03-15,5468137
2010-03-16,6521575
2010-03-17,7957646
2010-03-18,7216885
2010-03-19,9533613
2010-03-22,10000576
2010-03-23,14787414
2010-03-24,8870909
2010-03-25,23880264
2010-03-26,15322318
2010-03-29,7703580
2010-03-30,11262232
2010-03-31,9307544
2010-04-01,11000572
2010-04-05,18400367
2010-04-06,7569568
2010-04-07,5137588
2010-04-08,9361816
2010-04-09,10199903
2010-04-12,7695722
2010-04-13,14482961
2010-04-14,13489854
2010-04-15,18718227
2010-04-16,12507156
2010-04-19,10341356
2010-04-20,6862169
2010-04-21,9958962
2010-04-22,13941824
2010-04-23,7244217
2010-04-26,8125403
2010-04-27,12573871
2010-04-28,13665230
2010-04-29,20326303
2010-04-30,12512527
2010-05-03,11875711
2010-05-04,12414272
2010-05-05,12923445
2010-05-06,25906895
2010-05-07,50393944
2010-05-10,22288376
2010-05-11,12953483
2010-05-12,8292701
2010-05-13,8629300
2010-05-14,15060150
2010-05-17,11114465
2010-05-18,17111108
2010-05-19,21005807
2010-05-20,32220765
2010-05-21,51873498
2010-05-24,22339283
2010-05-25,24819966
2010-05-26,17495397
2010-05-27,11005065
2010-05-28,9848303
2010-06-01,19923045
2010-06-02,15455494
2010-06-03,14325090
2010-06-04,19283770
2010-06-07,15655377
2010-06-08,21054701
2010-06-09,16971719
2010-06-10,17904771
2010-06-11,13236229
2010-06-14,18776719
2010-06-15,11461662
2010-06-16,15959064
2010-06-17,17133726
2010-06-18,19881162
2010-06-21,22118935
2010-06-22,15388411
2010-06-23,18689049
2010-06-24,12580986
2010-06-25,9943101
2010-06-28,8395062
2010-06-29,23315412
2010-06-30,11929003
2010-07-01,23085578
2010-07-02,9698091
2010-07-06,19352946
2010-07-07,12234543
2010-07-08,12877329
2010-07-09,8546459
2010-07-12,4933821
2010-07-13,9689308
2010-07-14,7992046
2010-07-15,9722775
2010-07-16,11947276
2010-07-19,6166640
2010-07-20,11042075
2010-07-21,7032738
2010-07-22,12521740
2010-07-23,12065503
2010-07-26,10765169
2010-07-27,13484785
2010-07-28,17224348
2010-07-29,28927768
2010-07-30,7677684
2010-08-02,16679875
2010-08-03,17222215
2010-08-04,14994622
2010-08-05,10153878
2010-08-06,9209669
2010-08-09,8585457
2010-08-10,18710301
2010-08-11,14207605
2010-08-12,15552273
2010-08-13,13344263
2010-08-16,12621495
2010-08-17,17950809
2010-08-18,10631536
2010-08-19,8707935
2010-08-20,10368128
2010-08-23,8443191
2010-08-24,15756763
2010-08-25,16476412
2010-08-26,12408406
2010-08-27,10648463
2010-08-30,6930286
2010-08-31,9525108
2010-09-01,10215580
2010-09-02,7368111
2010-09-03,17300721
2010-09-07,13859668
2010-09-08,12706734
2010-09-09,10065311
2010-09-10,10940551
2010-09-13,22178889
2010-09-14,6860154
2010-09-15,8808283
2010-09-16,14492877
2010-09-17,11499828
2010-09-20,8932001
2010-09-21,18902588
2010-09-22,9106203
2010-09-23,11601212
2010-09-24,13597972
2010-09-27,29329715
2010-09-28,13010161
2010-09-29,9807426
2010-09-30,11096868
2010-10-01,8695780
2010-10-04,7825394
2010-10-05,8704500
2010-10-06,5497443
2010-10-07,16134735
2010-10-08,15227574
2010-10-11,10081496
2010-10-12,9619915
2010-10-13,10979484
2010-10-14,10201221
2010-10-15,10664308
2010-10-18,8693290
2010-10-19,10011912
2010-10-20,26097198
2010-10-21,14469047
2010-10-22,10974540
2010-10-25,10193699
2010-10-26,25790352
2010-10-27,10152611
2010-10-28,11511135
2010-10-29,33461481
2010-11-01,12819507
2010-11-02,13615889
2010-11-03,10396104
2010-11-04,14756397
2010-11-05,9903243
2010-11-08,7609177
2010-11-09,6989282
2010-11-10,9432872
2010-11-11,6889768
2010-11-12,4493444
2010-11-15,4424387
2010-11-16,7014944
2010-11-17,5974864
2010-11-18,8289405
2010-11-19,9087421
2010-11-22,10053855
2010-11-23,7331785
2010-11-24,6628092
2010-11-26,2755912
2010-11-29,11565484
2010-11-30,11146108
2010-12-01,11963064
2010-12-02,10670247
2010-12-03,15449716
2010-12-06,18282139
2010-12-07,18024045
2010-12-08,18886387
2010-12-09,22122466
2010-12-10,7751814
2010-12-13,10900479
2010-12-14,8250053
2010-12-15,9251077
2010-12-16,10221317
2010-12-17,14389369
2010-12-20,10180221
2010-12-21,11467796
2010-12-22,6953639
2010-12-23,6912014
2010-12-27,10821204
2010-12-28,6349233
2010-12-29,13949443
2010-12-30,7876401
2010-12-31,8665747
2011-01-03,16676999
2011-01-04,18162278
2011-01-05,9501285
2011-01-06,8081605
2011-01-07,9955777
2011-01-10,9650415
2011-01-11,7816186
2011-01-12,7959244
2011-01-13,8227249
2011-01-14,9020706
2011-01-18,12402532
2011-01-19,6212257
2011-01-20,7189378
2011-01-21,13957613
2011-01-24,8037379
2011-01-25,6587534
2011-01-26,8435655
2011-01-27,41734351
2011-01-28,21444950
2011-01-31,13147089
2011-02-01,31913210
2011-02-02,13209400
2011-02-03,11467655
2011-02-04,9806785
2011-02-07,18879448
2011-02-08,8995077
2011-02-09,6788653
2011-02-10,7117205
2011-02-11,5507647
2011-02-14,11794198
2011-02-15,11319878
2011-02-16,8521797
2011-02-17,5887251
2011-02-18,15152360
2011-02-22,22852169
2011-02-23,11489863
2011-02-24,11539550
2011-02-25,7297849
2011-02-28,9370705
2011-03-01,13016123
2011-03-02,11243292
2011-03-03,15638674
2011-03-04,9637963
2011-03-07,7470583
2011-03-08,11286087
2011-03-09,22530737
2011-03-10,10587578
2011-03-11,10984963
2011-03-14,12278671
2011-03-15,15736961
2011-03-16,13422855
2011-03-17,14297680
2011-03-18,11280273
2011-03-21,9235980
2011-03-22,10099461
2011-03-23,9557471
2011-03-24,7125354
2011-03-25,8836909
2011-03-28,5342532
2011-03-29,5742676
