dt,volume
2010-01-04,34196063
2010-01-05,52485135
2010-01-06,40086544
2010-01-07,44334829
2010-01-08,21319176
2010-01-11,49360979
2010-01-12,44567336
2010-01-13,26673256
2010-01-14,26256952
2010-01-15,56409109
2010-01-19,52674912
2010-01-20,59545338
2010-01-21,72149615
2010-01-22,45595036
2010-01-25,33798081
2010-01-26,30459902
2010-01-27,23631953
2010-01-28,28344168
2010-01-29,51271002
2010-02-01,37142194
2010-02-02,34876740
2010-02-03,80762147
2010-02-04,55686313
2010-02-05,78217142
2010-02-08,52985390
2010-02-09,91140078
2010-02-10,53171705
2010-02-11,112245169
2010-02-12,50822732
2010-02-16,35984332
2010-02-17,42792095
2010-02-18,45242573
2010-02-19,55446672
2010-02-22,58266923
2010-02-23,52381206
2010-02-24,62167097
2010-02-25,83696657
2010-02-26,30339774
2010-03-01,62298191
2010-03-02,45662992
2010-03-03,30971462
2010-03-04,37791271
2010-03-05,59608599
2010-03-08,53847132
2010-03-09,64116898
2010-03-10,74442761
2010-03-11,49187493
2010-03-12,69344033
2010-03-15,42374778
2010-03-16,28820654
2010-03-17,26260955
2010-03-18,23350518
2010-03-19,77934973
2010-03-22,55939021
2010-03-23,33509659
2010-03-24,49209012
2010-03-25,52553857
2010-03-26,68739854
2010-03-29,67805575
2010-03-30,53099231
2010-03-31,89837154
2010-04-01,66519840
2010-04-05,45617175
2010-04-06,48310893
2010-04-07,39413212
2010-04-08,42234963
2010-04-09,112765203
2010-04-12,53030704
2010-04-13,52771618
2010-04-14,79377773
2010-04-15,48588358
2010-04-16,98470168
2010-04-19,73446206
2010-04-20,63901674
2010-04-21,64796415
2010-04-22,35845127
2010-04-23,41997775
2010-04-26,44635263
2010-04-27,75480384
2010-04-28,69372869
2010-04-29,106657723
2010-04-30,63321279
2010-05-03,40477310
2010-05-04,61727027
2010-05-05,79758350
2010-05-06,80284303
2010-05-07,85824118
2010-05-10,83585289
2010-05-11,56992755
2010-05-12,49681375
2010-05-13,27511658
2010-05-14,54773233
2010-05-17,44761194
2010-05-18,72762774
2010-05-19,110170812
2010-05-20,102931713
2010-05-21,96099993
2010-05-24,52367086
2010-05-25,94140715
2010-05-26,94755916
2010-05-27,50256518
2010-05-28,32383754
2010-06-01,43139026
2010-06-02,74070808
2010-06-03,53009071
2010-06-04,111816585
2010-06-07,104705043
2010-06-08,88436486
2010-06-09,146600657
2010-06-10,82425284
2010-06-11,36852901
2010-06-14,54767203
2010-06-15,65135707
2010-06-16,54706187
2010-06-17,44091768
2010-06-18,71135591
2010-06-21,54767228
2010-06-22,50121235
2010-06-23,49887324
2010-06-24,88919693
2010-06-25,35504690
2010-06-28,34292165
2010-06-29,88399772
2010-06-30,62544654
2010-07-01,121025044
2010-07-02,76991300
2010-07-06,58986984
2010-07-07,64167076
2010-07-08,32385285
2010-07-09,36397736
2010-07-12,24072603
2010-07-13,35423058
2010-07-14,45360520
2010-07-15,41501697
2010-07-16,74787689
2010-07-19,28990495
2010-07-20,58785506
2010-07-21,46529278
2010-07-22,53569795
2010-07-23,31830806
2010-07-26,29584292
2010-07-27,44679794
2010-07-28,52267248
2010-07-29,44630064
2010-07-30,32701580
2010-08-02,45328752
2010-08-03,31348415
2010-08-04,68537729
2010-08-05,107265663
2010-08-06,53380790
2010-08-09,19878444
2010-08-10,36225898
2010-08-11,48538386
2010-08-12,64870245
2010-08-13,28392997
2010-08-16,22568186
2010-08-17,24438737
2010-08-18,26424569
2010-08-19,44771068
2010-08-20,56284964
2010-08-23,64284145
2010-08-24,78845055
2010-08-25,58265213
2010-08-26,38915231
2010-08-27,43112665
2010-08-30,28139803
2010-08-31,34159119
2010-09-01,84387697
