dt,volume
2010-01-04,39724975
2010-01-05,70200973
2010-01-06,109221299
2010-01-07,73916262
2010-01-08,41615617
2010-01-11,64155947
2010-01-12,63867730
2010-01-13,55806564
2010-01-14,63405485
2010-01-15,47350255
2010-01-19,88702614
2010-01-20,47775614
2010-01-21,52907910
2010-01-22,47043430
2010-01-25,41664661
2010-01-26,35074318
2010-01-27,49716404
2010-01-28,64830575
2010-01-29,64164228
2010-02-01,69374451
2010-02-02,60913243
2010-02-03,154941162
2010-02-04,81769987
2010-02-05,106625897
2010-02-08,86600737
2010-02-09,63317499
2010-02-10,60564043
2010-02-11,80715267
2010-02-12,188841193
2010-02-16,98344920
2010-02-17,111132570
2010-02-18,51432937
2010-02-19,49666814
2010-02-22,137941406
2010-02-23,100567171
2010-02-24,105495418
2010-02-25,86718959
2010-02-26,135117802
2010-03-01,162088210
2010-03-02,162645194
2010-03-03,227771080
2010-03-04,219887761
2010-03-05,99162233
2010-03-08,90451289
2010-03-09,97682944
2010-03-10,132301876
2010-03-11,73564824
2010-03-12,61239684
2010-03-15,73487624
2010-03-16,61385196
2010-03-17,52861983
2010-03-18,44934033
2010-03-19,119461392
2010-03-22,73339187
2010-03-23,49650616
2010-03-24,42095281
2010-03-25,193151469
2010-03-26,117683681
2010-03-29,57825423
2010-03-30,53570717
2010-03-31,199677881
2010-04-01,102675068
2010-04-05,101712438
2010-04-06,123102060
2010-04-07,154363708
2010-04-08,94919460
2010-04-09,93650791
2010-04-12,86259917
2010-04-13,77730616
2010-04-14,83751449
2010-04-15,114184118
2010-04-16,131716679
2010-04-19,121050357
2010-04-20,77442896
2010-04-21,89777841
2010-04-22,62578723
2010-04-23,51098701
2010-04-26,44476278
2010-04-27,78224502
2010-04-28,80471541
2010-04-29,55529437
2010-04-30,59087244
2010-05-03,132468572
2010-05-04,161238093
2010-05-05,200645813
2010-05-06,752356695
2010-05-07,339728835
2010-05-10,232747441
2010-05-11,167153623
2010-05-12,155361278
2010-05-13,162866911
2010-05-14,182817029
2010-05-17,129460399
2010-05-18,156694753
2010-05-19,122515249
2010-05-20,162709670
2010-05-21,203874799
2010-05-24,98663314
2010-05-25,106692669
2010-05-26,93108726
2010-05-27,81336169
2010-05-28,84960958
2010-06-01,112538641
2010-06-02,106089432
2010-06-03,71197107
2010-06-04,81505150
2010-06-07,73921724
2010-06-08,111533180
2010-06-09,105507568
2010-06-10,75721559
2010-06-11,72795731
2010-06-14,81646992
2010-06-15,80232798
2010-06-16,68051817
2010-06-17,67551150
2010-06-18,43539214
2010-06-21,50299491
2010-06-22,45713972
2010-06-23,81084012
2010-06-24,54425164
2010-06-25,53622497
2010-06-28,35353610
2010-06-29,67259466
2010-06-30,97589527
2010-07-01,194284229
2010-07-02,62375818
2010-07-06,67831963
2010-07-07,72869378
2010-07-08,63826680
2010-07-09,42843681
2010-07-12,41853653
2010-07-13,37352221
2010-07-14,46691047
2010-07-15,55548969
2010-07-16,61195568
2010-07-19,49644261
2010-07-20,54901702
2010-07-21,47195415
2010-07-22,60642762
2010-07-23,63045686
2010-07-26,48743152
2010-07-27,43914404
2010-07-28,30598484
2010-07-29,73356193
2010-07-30,80565505
2010-08-02,61636057
2010-08-03,34517248
2010-08-04,66694872
2010-08-05,43662406
2010-08-06,73054348
2010-08-09,44489120
2010-08-10,43599871
2010-08-11,140241214
2010-08-12,143261757
2010-08-13,55964540
2010-08-16,64872492
2010-08-17,46678958
2010-08-18,55361912
2010-08-19,63524096
2010-08-20,45355958
2010-08-23,59753406
2010-08-24,70962044
2010-08-25,91044072
2010-08-26,216857733
2010-08-27,78895706
2010-08-30,57638529
2010-08-31,82580388
2010-09-01,74234416
2010-09-02,62886010
2010-09-03,85058042
2010-09-07,41988262
2010-09-08,78539971
2010-09-09,95358837
2010-09-10,147432329
2010-09-13,83256744
2010-09-14,60476769
2010-09-15,55618777
2010-09-16,87899245
2010-09-17,51365925
2010-09-20,37769652
2010-09-21,45699571
2010-09-22,71412945
2010-09-23,55739010
2010-09-24,52554654
2010-09-27,46538820
2010-09-28,57586300
2010-09-29,127112936
2010-09-30,85096597
2010-10-01,56207249
2010-10-04,69529271
2010-10-05,66888681
2010-10-06,95011543
2010-10-07,39859940
2010-10-08,47507860
2010-10-11,30575445
2010-10-12,35152122
2010-10-13,48221272
2010-10-14,33386408
2010-10-15,76499188
2010-10-18,47770194
2010-10-19,143334027
2010-10-20,43978321
2010-10-21,46947379
2010-10-22,22860216
2010-10-25,29174789
2010-10-26,52311429
2010-10-27,25625104
2010-10-28,275211707
2010-10-29,80752721
2010-11-01,62241712
2010-11-02,51719738
2010-11-03,49809405
2010-11-04,55613047
2010-11-05,89096816
2010-11-08,235213851
2010-11-09,69694001
2010-11-10,82488528
2010-11-11,60095998
2010-11-12,85756531
2010-11-15,37345319
2010-11-16,63331246
2010-11-17,34471834
2010-11-18,65755408
2010-11-19,44811312
2010-11-22,31691762
2010-11-23,39122777
2010-11-24,39451261
2010-11-26,14337180
2010-11-29,38678467
2010-11-30,35663919
2010-12-01,43224047
2010-12-02,70746295
2010-12-03,41150191
2010-12-06,26116872
2010-12-07,58589849
2010-12-08,46620670
2010-12-09,49361246
2010-12-10,28655591
2010-12-13,132444233
2010-12-14,43128503
2010-12-15,49177973
2010-12-16,56671265
2010-12-17,48412056
2010-12-20,52904868
2010-12-21,28404047
2010-12-22,30320970
2010-12-23,18670358
2010-12-27,25581353
2010-12-28,23575897
2010-12-29,28277202
2010-12-30,21156416
2010-12-31,17959557
2011-01-03,80957092
2011-01-04,53279428
2011-01-05,44060645
2011-01-06,136649453
2011-01-07,90786585
2011-01-10,62071755
2011-01-11,40924412
2011-01-12,57500011
2011-01-13,161901149
2011-01-14,52867194
2011-01-18,104888416
2011-01-19,86808812
2011-01-20,105680702
2011-01-21,72502516
2011-01-24,47145218
2011-01-25,57892558
2011-01-26,58645878
2011-01-27,54186571
2011-01-28,186800680
2011-01-31,57873065
2011-02-01,83712841
2011-02-02,89058371
2011-02-03,85732942
2011-02-04,633738642
2011-02-07,265181759
2011-02-08,149899096
2011-02-09,404946004
2011-02-10,569634622
2011-02-11,574319219
2011-02-14,626325312
2011-02-15,600563445
2011-02-16,511278077
2011-02-17,215112991
2011-02-18,300084275
2011-02-22,323941064
2011-02-23,357837420
2011-02-24,268690940
2011-02-25,226337287
2011-02-28,235003247
2011-03-01,385621308
2011-03-02,234986994
2011-03-03,138431094
2011-03-04,405697871
2011-03-07,384647499
2011-03-08,249361490
2011-03-09,701406909
2011-03-10,413815470
2011-03-11,280222627
2011-03-14,279763653
2011-03-15,267481040
2011-03-16,295234700
2011-03-17,283934238
2011-03-18,457174254
2011-03-21,238266944
2011-03-22,226487150
2011-03-23,210636244
2011-03-24,282680808
2011-03-25,218407419
2011-03-28,151473469
2011-03-29,169373582
2011-03-30,161529942
2011-03-31,250787014
2011-04-01,558761869
2011-04-04,199548732
2011-04-05,198386282
2011-04-06,364214058
2011-04-07,163900440
2011-04-08,160597204
2011-04-11,185141637
2011-04-12,170894325
2011-04-13,168481041
2011-04-14,110988986
2011-04-15,126384712
2011-04-18,121381242
2011-04-19,108206534
2011-04-20,130421413
2011-04-21,232678843
2011-04-25,165052544
2011-04-26,115867827
2011-04-27,323576392
2011-04-28,262630238
2011-04-29,178778554
2011-05-02,168524151
2011-05-03,181082940
2011-05-04,204116678
2011-05-05,494749945
2011-05-06,230162023
2011-05-09,147102591
2011-05-10,121105738
2011-05-11,146851522
2011-05-12,151641952
2011-05-13,129572005
2011-05-16,125783780
2011-05-17,242127626
2011-05-18,130125222
2011-05-19,99523447
2011-05-20,88374143
2011-05-23,85581060
2011-05-24,131458760
2011-05-25,86305298
2011-05-26,67245167
2011-05-27,63550589
2011-05-31,77873295
2011-06-01,135781536
2011-06-02,113054503
2011-06-03,117853764
2011-06-06,93057205
2011-06-07,139724849
2011-06-08,208663381
2011-06-09,113713186
2011-06-10,124629965
2011-06-13,91149800
2011-06-14,88198865
2011-06-15,86820695
2011-06-16,306299059
2011-06-17,113914161
2011-06-20,74377794
2011-06-21,71366030
2011-06-22,59320583
2011-06-23,83016908
2011-06-24,72860409
2011-06-27,47782402
2011-06-28,71173535
2011-06-29,123374890
2011-06-30,83777394
2011-07-01,67831242
2011-07-05,77698427
2011-07-06,68167629
2011-07-07,79835064
2011-07-08,143684568
2011-07-11,79210163
2011-07-12,74969605
2011-07-13,66825309
2011-07-14,78703252
2011-07-15,53570233
2011-07-18,87280644
2011-07-19,78581838
2011-07-20,65198432
2011-07-21,162365517
2011-07-22,175702864
2011-07-25,108030801
2011-07-26,85345075
2011-07-27,139100365
2011-07-28,119597104
2011-07-29,140461766
2011-08-01,104986011
2011-08-02,77605115
2011-08-03,109948404
2011-08-04,131136606
2011-08-05,193367148
2011-08-08,178330461
2011-08-09,133154501
2011-08-10,146532406
2011-08-11,149797574
2011-08-12,154401982
2011-08-15,145810925
2011-08-16,103415230
2011-08-17,102709178
2011-08-18,302526156
2011-08-19,155968284
2011-08-22,100980892
2011-08-23,111628040
2011-08-24,93784470
2011-08-25,109279903
2011-08-26,95856242
2011-08-29,122553800
2011-08-30,254740899
2011-08-31,219456566
2011-09-01,149847182
2011-09-02,215182194
2011-09-06,126258659
2011-09-07,131746204
2011-09-08,121087149
2011-09-09,111642926
2011-09-12,96660136
2011-09-13,122530273
2011-09-14,135639949
2011-09-15,79773386
2011-09-16,83128615
2011-09-19,81636557
2011-09-20,94886456
2011-09-21,103736237
2011-09-22,104825086
2011-09-23,78818255
2011-09-26,88005505
2011-09-27,114303395
2011-09-28,129409534
2011-09-29,128620365
2011-09-30,53313443
2011-10-03,152279008
2011-10-04,100062143
2011-10-05,107497742
2011-10-06,113441426
2011-10-07,129006459
2011-10-10,65195112
2011-10-11,78766581
2011-10-12,96430789
2011-10-13,71961227
2011-10-14,65498617
2011-10-17,42103260
2011-10-18,72846509
2011-10-19,67710821
2011-10-20,60584306
2011-10-21,72213710
2011-10-24,80639201
2011-10-25,171125988
2011-10-26,94567379
2011-10-27,184234055
2011-10-28,145647045
2011-10-31,105589814
2011-11-01,132576404
2011-11-02,255560237
2011-11-03,123944525
2011-11-04,67657871
2011-11-07,66970724
2011-11-08,113409424
2011-11-09,84515616
2011-11-10,94895822
2011-11-11,73573128
2011-11-14,64735620
2011-11-15,57849346
2011-11-16,78901412
2011-11-17,75868639
2011-11-18,52393395
2011-11-21,76956346
2011-11-22,53003599
2011-11-23,64328191
2011-11-25,26524774
2011-11-28,86966745
2011-11-29,60504700
2011-11-30,74108123
2011-12-01,58917412
2011-12-02,74609863
2011-12-05,61614575
2011-12-06,48916039
2011-12-07,53208382
2011-12-08,96013930
2011-12-09,51112991
2011-12-12,49750734
2011-12-13,82856861
2011-12-14,75086941
2011-12-15,61796073
2011-12-16,90524605
2011-12-19,53166468
2011-12-20,66963652
2011-12-21,48744365
