dt,volume
2017-01-20,4948498
2017-01-23,1206011
2017-01-24,1243231
2017-01-25,1443703
2017-01-26,9524467
2017-01-27,4993195
2017-01-30,50051326
2017-01-31,60189639
2017-02-01,61994992
2017-02-02,16513500
2017-02-03,42179051
2017-02-06,35798167
2017-02-07,35272309
2017-02-08,16944736
2017-02-09,16905957
2017-02-10,15434699
2017-02-13,6590569
2017-02-14,9321056
2017-02-15,8674536
2017-02-16,7614175
2017-02-17,15450442
2017-02-21,8101632
2017-02-22,12880006
2017-02-23,6034997
2017-02-24,5185137
2017-02-27,3225408
2017-02-28,6065016
2017-03-01,8527703
2017-03-02,4899975
2017-03-03,2037714
2017-03-06,3766920
2017-03-07,4632347
2017-03-08,4656204
2017-03-09,5919828
2017-03-10,3843599
2017-03-13,4084882
2017-03-14,6225305
2017-03-15,4053524
2017-03-16,4677073
2017-03-17,3322387
2017-03-20,3756569
2017-03-21,4308240
2017-03-22,6160970
2017-03-23,6102519
2017-03-24,5142999
2017-03-27,2635954
2017-03-28,3044192
2017-03-29,4224041
2017-03-30,3243737
2017-03-31,1236553
2017-04-03,2704631
2017-04-04,2535018
2017-04-05,2021509
2017-04-06,970441
2017-04-07,1193594
2017-04-10,1533255
2017-04-11,1383872
2017-04-12,2517812
2017-04-13,1594305
2017-04-17,1480048
2017-04-18,2721360
2017-04-19,2843795
2017-04-20,2794480
2017-04-21,7874990
2017-04-24,2964700
2017-04-25,2949852
2017-04-26,4309871
2017-04-27,2548792
2017-04-28,2598563
2017-05-01,1545642
2017-05-02,2362283
2017-05-03,2761620
2017-05-04,4463178
2017-05-05,7106290
2017-05-08,3308957
2017-05-09,3279869
2017-05-10,2465577
2017-05-11,2569869
2017-05-12,5314318
2017-05-15,2186590
2017-05-16,2128182
2017-05-17,2704463
2017-05-18,1445604
2017-05-19,1118137
2017-05-22,1704932
2017-05-23,1563723
2017-05-24,2251052
2017-05-25,1684298
2017-05-26,2809012
2017-05-30,2303786
2017-05-31,4168782
2017-06-01,1451748
2017-06-02,1293702
2017-06-05,740491
2017-06-06,2163747
2017-06-07,3727792
2017-06-08,1852928
2017-06-09,2535366
2017-06-12,3895418
2017-06-13,2196178
2017-06-14,3749237
2017-06-15,4024392
2017-06-16,4861540
2017-06-19,2721996
2017-06-20,2407814
2017-06-21,1900634
2017-06-22,5816927
2017-06-23,6062040
2017-06-26,4015349
2017-06-27,2921851
2017-06-28,3360326
2017-06-29,2332408
2017-06-30,1494395
2017-07-03,1260813
2017-07-05,2461543
2017-07-06,2169271
2017-07-07,1032218
2017-07-10,3465154
2017-07-11,4469596
2017-07-12,3016409
2017-07-13,2055367
2017-07-14,1839261
2017-07-17,3965984
2017-07-18,3742268
2017-07-19,4440591
2017-07-20,2623252
2017-07-21,3656631
2017-07-24,3150370
2017-07-25,3097991
2017-07-26,1772746
2017-07-27,2194139
2017-07-28,2625538
2017-07-31,1959387
2017-08-01,4479453
2017-08-02,4282434
2017-08-03,4404958
2017-08-04,18224802
2017-08-07,7899635
2017-08-08,5717182
2017-08-09,5373781
2017-08-10,4754771
2017-08-11,3430854
2017-08-14,2216471
2017-08-15,4150947
2017-08-16,2142137
2017-08-17,1951793
2017-08-18,2772029
2017-08-21,1561307
2017-08-22,1815049
2017-08-23,2023873
2017-08-24,1528373
2017-08-25,1244942
2017-08-28,1410973
2017-08-29,1715705
2017-08-30,1744990
2017-08-31,1702381
2017-09-01,1944581
2017-09-05,1341458
2017-09-06,1520128
2017-09-07,1044621
2017-09-08,1729112
2017-09-11,2549210
2017-09-12,1477288
2017-09-13,993669
2017-09-14,1219513
2017-09-15,3315885
2017-09-18,1675709
2017-09-19,1169512
2017-09-20,1104499
2017-09-21,2376566
2017-09-22,1159211
2017-09-25,1455597
2017-09-26,2014049
2017-09-27,1385029
2017-09-28,1359893
2017-09-29,1615991
2017-10-02,1580372
2017-10-03,2096728
2017-10-04,4328535
2017-10-05,1492573
2017-10-06,684623
2017-10-09,808613
2017-10-10,1400614
2017-10-11,1280216
2017-10-12,820287
2017-10-13,833570
2017-10-16,727191
2017-10-17,641328
2017-10-18,991893
2017-10-19,933451
2017-10-20,1813950
2017-10-23,985796
2017-10-24,683736
2017-10-25,1803018
2017-10-26,660088
2017-10-27,3171565
2017-10-30,2799493
2017-10-31,1963010
2017-11-01,2676874
2017-11-02,1017155
2017-11-03,1144463
2017-11-06,1234015
2017-11-07,1559389
2017-11-08,3225556
2017-11-09,4885261
2017-11-10,7785931
2017-11-13,3842021
2017-11-14,3090576
2017-11-15,2162300
2017-11-16,7632932
2017-11-17,2042266
2017-11-20,1521885
2017-11-21,2933996
2017-11-22,1725641
2017-11-24,400133
2017-11-27,2261264
2017-11-28,2071887
2017-11-29,5392061
2017-11-30,1710627
2017-12-01,4602665
2017-12-04,2388256
2017-12-05,1677829
2017-12-06,985089
2017-12-07,714260
2017-12-08,1024748
2017-12-11,1666234
2017-12-12,2708572
2017-12-13,3694015
2017-12-14,4732526
2017-12-15,3545192
2017-12-18,1592428
2017-12-19,1765914
2017-12-20,6896404
2017-12-21,2867757
2017-12-22,2917318
2017-12-26,1767282
2017-12-27,899904
2017-12-28,812671
2017-12-29,1128395
2018-01-02,1917747
2018-01-03,1134810
2018-01-04,986059
2018-01-05,1971404
2018-01-08,1730179
2018-01-09,682726
2018-01-10,1489015
2018-01-11,1045140
2018-01-12,4685051
2018-01-16,2773712
2018-01-17,996052
2018-01-18,768222
2018-01-19,1317741
2018-01-22,1884296
2018-01-23,636599
2018-01-24,1381610
2018-01-25,3914707
2018-01-26,1561377
2018-01-29,1259121
2018-01-30,5461382
2018-01-31,5525389
2018-02-01,5471111
2018-02-02,29579458
2018-02-05,6890653
