dt,volume
2010-01-04,487152787
2010-01-05,730833136
2010-01-06,429723719
2010-01-07,757840948
2010-01-08,525919031
2010-01-11,337123499
2010-01-12,529633002
2010-01-13,443597310
2010-01-14,425036703
2010-01-15,683185578
2010-01-19,534330573
2010-01-20,1228387687
2010-01-21,1262991161
2010-01-22,912353104
2010-01-25,719665918
2010-01-26,717090400
2010-01-27,793215381
2010-01-28,841044147
2010-01-29,857101179
2010-02-01,594583079
2010-02-02,680015670
2010-02-03,659763410
2010-02-04,870430834
2010-02-05,905703800
2010-02-08,534894775
2010-02-09,680747256
2010-02-10,560690704
2010-02-11,466178459
2010-02-12,532184671
2010-02-16,425993276
2010-02-17,602631549
2010-02-18,349437460
2010-02-19,442458958
2010-02-22,533065568
2010-02-23,535589164
2010-02-24,504795738
2010-02-25,462328158
2010-02-26,694875545
2010-03-01,429919133
2010-03-02,650793420
2010-03-03,452435429
2010-03-04,458931622
2010-03-05,466461574
2010-03-08,439940437
2010-03-09,406489966
2010-03-10,581382230
2010-03-11,367163381
2010-03-12,460476194
2010-03-15,344458694
2010-03-16,505661099
2010-03-17,393361716
2010-03-18,395891461
2010-03-19,678865421
2010-03-22,391590303
2010-03-23,425329680
2010-03-24,532993012
2010-03-25,601679047
2010-03-26,467061038
2010-03-29,339851844
2010-03-30,388154410
2010-03-31,337433563
2010-04-01,464887725
2010-04-05,386580075
2010-04-06,520427911
2010-04-07,467454944
2010-04-08,447060708
2010-04-09,384554500
2010-04-12,325240362
2010-04-13,596421133
2010-04-14,754179661
2010-04-15,635144307
2010-04-16,1185399066
2010-04-19,750818924
2010-04-20,648445032
2010-04-21,1594072613
2010-04-22,740574121
2010-04-23,405840380
2010-04-26,467310331
2010-04-27,683277573
2010-04-28,509882240
2010-04-29,391385117
2010-04-30,706468673
2010-05-03,472458264
2010-05-04,733217603
2010-05-05,693905463
2010-05-06,763911912
2010-05-07,952808416
2010-05-10,875556878
2010-05-11,614428301
2010-05-12,576040587
2010-05-13,432627003
2010-05-14,722179207
2010-05-17,579033638
2010-05-18,607548565
2010-05-19,1159786049
2010-05-20,848163592
2010-05-21,1389705344
2010-05-24,850045309
2010-05-25,739238071
2010-05-26,750207579
2010-05-27,618426534
2010-05-28,490183328
2010-06-01,479472389
2010-06-02,369820427
2010-06-03,398335398
2010-06-04,520792715
2010-06-07,418429429
2010-06-08,575333517
2010-06-09,414004071
2010-06-10,459129600
2010-06-11,521115952
2010-06-14,593063180
2010-06-15,487865252
2010-06-16,355201921
2010-06-17,379608847
2010-06-18,514386771
2010-06-21,358930088
2010-06-22,352111052
2010-06-23,420392444
2010-06-24,924865736
2010-06-25,611929254
2010-06-28,425194324
2010-06-29,595095643
2010-06-30,411717237
2010-07-01,798736837
2010-07-02,447215327
2010-07-06,476534446
2010-07-07,544286722
2010-07-08,448192171
2010-07-09,285270536
2010-07-12,194704281
2010-07-13,352426993
2010-07-14,341537194
2010-07-15,626240270
2010-07-16,714080123
2010-07-19,470594179
2010-07-20,567399682
2010-07-21,1053515754
2010-07-22,720284696
2010-07-23,328474421
2010-07-26,248436864
2010-07-27,576105662
2010-07-28,287455781
2010-07-29,340015553
2010-07-30,370887644
2010-08-02,305528201
2010-08-03,351703764
2010-08-04,345158088
2010-08-05,265398013
2010-08-06,533387823
2010-08-09,307350573
2010-08-10,299390968
2010-08-11,475717219
2010-08-12,413667437
2010-08-13,291434604
2010-08-16,299315708
2010-08-17,635534303
2010-08-18,522010833
2010-08-19,631468015
2010-08-20,648230935
2010-08-23,409717461
2010-08-24,686328830
2010-08-25,713991359
2010-08-26,501216569
2010-08-27,597081564
2010-08-30,423620825
2010-08-31,388094063
2010-09-01,697624824
2010-09-02,483845289
2010-09-03,652913845
2010-09-07,331572553
2010-09-08,251217673
2010-09-09,366148170
2010-09-10,250366674
2010-09-13,576853907
2010-09-14,378903315
2010-09-15,352986096
2010-09-16,335781120
2010-09-17,497357940
2010-09-20,310487411
2010-09-21,341481966
2010-09-22,429252928
2010-09-23,674157582
2010-09-24,572485487
2010-09-27,304593412
2010-09-28,474347292
2010-09-29,508117965
2010-09-30,519822024
2010-10-01,403211655
2010-10-04,332921330
2010-10-05,512580008
2010-10-06,455925413
2010-10-07,359225874
2010-10-08,368600162
2010-10-11,352430245
2010-10-12,449211339
2010-10-13,444968167
2010-10-14,1635016488
2010-10-15,2157607098
2010-10-18,820443577
2010-10-19,855536521
2010-10-20,1515964514
2010-10-21,777003811
2010-10-22,363769933
2010-10-25,459417991
2010-10-26,421645622
2010-10-27,466581891
2010-10-28,324835153
2010-10-29,231477609
2010-11-01,288426197
2010-11-02,290153091
2010-11-03,335572766
2010-11-04,479757554
2010-11-05,1172966193
2010-11-08,470611996
2010-11-09,411350161
2010-11-10,499831606
2010-11-11,295563844
2010-11-12,359396645
2010-11-15,284253668
2010-11-16,444798878
2010-11-17,452591439
2010-11-18,432069880
2010-11-19,355971263
2010-11-22,292498881
2010-11-23,360819209
2010-11-24,267851743
2010-11-26,134742714
2010-11-29,420686641
2010-11-30,368541839
2010-12-01,428849417
2010-12-02,569769792
2010-12-03,470151192
2010-12-06,384014395
2010-12-07,363746447
2010-12-08,347531730
2010-12-09,540156412
2010-12-10,544616987
2010-12-13,395373145
2010-12-14,314644632
2010-12-15,410124976
2010-12-16,408723316
2010-12-17,409547945
2010-12-20,315729924
2010-12-21,306773303
2010-12-22,382927627
2010-12-23,236059693
2010-12-27,169491304
2010-12-28,174683507
2010-12-29,158790109
2010-12-30,158517292
2010-12-31,119393640
2011-01-03,401571210
2011-01-04,450884807
2011-01-05,621336268
2011-01-06,436288686
2011-01-07,1187100843
2011-01-10,423045264
2011-01-11,372256549
2011-01-12,359685207
2011-01-13,318444938
2011-01-14,432216885
2011-01-18,460389018
2011-01-19,760064355
2011-01-20,500636620
2011-01-21,482343151
2011-01-24,344721244
2011-01-25,332018144
2011-01-26,359658696
2011-01-27,314619836
2011-01-28,315518024
2011-01-31,285632846
2011-02-01,426904507
2011-02-02,294838572
2011-02-03,244193112
2011-02-04,254382832
2011-02-07,291649812
2011-02-08,510925679
2011-02-09,1071247609
2011-02-10,401517711
2011-02-11,514562790
2011-02-14,251625589
2011-02-15,317902928
2011-02-16,1486149309
2011-02-17,359431654
2011-02-18,563613872
2011-02-22,779287970
2011-02-23,495901801
2011-02-24,452203663
2011-02-25,647533515
2011-02-28,395252338
2011-03-01,440420344
2011-03-02,452193502
2011-03-03,350394586
2011-03-04,341248692
2011-03-07,315049194
2011-03-08,446953814
2011-03-09,352151992
2011-03-10,408919598
