dt,volume
2010-01-04,28169084
2010-01-05,32358382
2010-01-06,20090199
2010-01-07,15429756
2010-01-08,17212125
2010-01-11,21652686
2010-01-12,24306718
2010-01-13,21781250
2010-01-14,26020625
2010-01-15,56202843
2010-01-19,31220821
2010-01-20,41091266
2010-01-21,40231431
2010-01-22,31728621
2010-01-25,19387526
2010-01-26,19861204
2010-01-27,21357737
2010-01-28,29934201
2010-01-29,21576798
2010-02-01,19289666
2010-02-02,22632805
2010-02-03,12411531
2010-02-04,26273963
2010-02-05,30258743
2010-02-08,17346858
2010-02-09,24053727
2010-02-10,14909445
2010-02-11,34006676
2010-02-12,31277164
2010-02-16,34709014
2010-02-17,22945948
2010-02-18,27707047
2010-02-19,36520050
2010-02-22,16819244
2010-02-23,31427061
2010-02-24,31487634
2010-02-25,28007469
2010-02-26,18047032
2010-03-01,28594937
2010-03-02,19159064
2010-03-03,17204205
2010-03-04,14703587
2010-03-05,17747958
2010-03-08,20376594
2010-03-09,20687486
2010-03-10,24580571
2010-03-11,24222776
2010-03-12,21274924
2010-03-15,21396854
2010-03-16,22178269
2010-03-17,16703087
2010-03-18,17208711
2010-03-19,57073231
2010-03-22,24825215
2010-03-23,21406059
2010-03-24,28023422
2010-03-25,19230823
2010-03-26,28725642
2010-03-29,21920576
2010-03-30,21958757
2010-03-31,21307958
2010-04-01,14850166
2010-04-05,13641146
2010-04-06,18957476
2010-04-07,16516275
2010-04-08,18797214
2010-04-09,20030780
2010-04-12,15427382
2010-04-13,21451146
2010-04-14,20385103
2010-04-15,26263034
2010-04-16,41780443
2010-04-19,34653392
2010-04-20,19932043
2010-04-21,25547615
2010-04-22,25333038
2010-04-23,35895089
2010-04-26,28322722
2010-04-27,32336499
2010-04-28,32011371
2010-04-29,39627583
2010-04-30,29643333
2010-05-03,23111274
2010-05-04,27584991
2010-05-05,25432477
2010-05-06,44686866
2010-05-07,70083613
2010-05-10,37967547
2010-05-11,19483457
2010-05-12,32373208
2010-05-13,18976087
2010-05-14,35328625
2010-05-17,34974669
2010-05-18,36825328
2010-05-19,35950950
2010-05-20,57666396
2010-05-21,49220432
2010-05-24,24952707
2010-05-25,40715539
2010-05-26,38792050
2010-05-27,29665722
2010-05-28,31891592
2010-06-01,31304610
2010-06-02,31103109
2010-06-03,23885458
2010-06-04,38313625
2010-06-07,33030775
2010-06-08,46569776
2010-06-09,39618817
2010-06-10,40876056
2010-06-11,23559319
2010-06-14,32177290
2010-06-15,22539602
2010-06-16,20741625
2010-06-17,19768789
2010-06-18,48136627
2010-06-21,34346964
2010-06-22,21548439
2010-06-23,28518071
2010-06-24,35491408
2010-06-25,32408390
2010-06-28,28176949
2010-06-29,35370049
2010-06-30,28148668
2010-07-01,64070631
2010-07-02,44834411
2010-07-06,31938809
2010-07-07,29352926
2010-07-08,23793460
2010-07-09,25318549
2010-07-12,21126304
2010-07-13,24883384
2010-07-14,19453528
2010-07-15,23984732
2010-07-16,33232018
2010-07-19,18765891
2010-07-20,23484307
2010-07-21,40797206
2010-07-22,28643865
2010-07-23,21450087
2010-07-26,24053139
2010-07-27,22661299
2010-07-28,30224213
2010-07-29,23421313
2010-07-30,46489039
2010-08-02,21084196
2010-08-03,22253765
2010-08-04,19256597
2010-08-05,19673465
2010-08-06,24855779
2010-08-09,10792032
2010-08-10,13167064
2010-08-11,19574630
2010-08-12,23616930
2010-08-13,13233739
2010-08-16,17630360
2010-08-17,29325817
2010-08-18,13676613
2010-08-19,21370284
2010-08-20,22949760
2010-08-23,17004548
2010-08-24,27540535
2010-08-25,19818780
2010-08-26,14387767
2010-08-27,15915031
2010-08-30,12663393
2010-08-31,23590341
2010-09-01,31785538
2010-09-02,24040419
2010-09-03,17253577
2010-09-07,13921870
2010-09-08,24229937
2010-09-09,20330196
2010-09-10,14693205
2010-09-13,15398973
2010-09-14,18100274
2010-09-15,15766819
2010-09-16,14791068
2010-09-17,44904621
2010-09-20,18990682
2010-09-21,19612856
2010-09-22,36279253
2010-09-23,20530033
2010-09-24,20180805
2010-09-27,21227324
2010-09-28,20329261
2010-09-29,15216495
2010-09-30,28750225
2010-10-01,27767756
2010-10-04,16809835
2010-10-05,29033374
2010-10-06,19508331
2010-10-07,29279763
2010-10-08,34441056
2010-10-11,15945972
2010-10-12,27063024
2010-10-13,28367953
2010-10-14,22192921
2010-10-15,33666743
2010-10-18,27962401
2010-10-19,23041924
2010-10-20,20017540
2010-10-21,22440651
2010-10-22,14056702
2010-10-25,26365034
2010-10-26,26050800
2010-10-27,45520389
2010-10-28,37035022
2010-10-29,44077638
2010-11-01,31482704
2010-11-02,24096431
2010-11-03,32821125
2010-11-04,45578170
2010-11-05,45120800
2010-11-08,38054127
2010-11-09,31446667
2010-11-10,35015951
2010-11-11,28661005
2010-11-12,42229388
2010-11-15,25950744
2010-11-16,38910366
2010-11-17,24723145
2010-11-18,22780729
2010-11-19,48564281
2010-11-22,32943674
2010-11-23,30793581
2010-11-24,19380463
2010-11-26,11296428
2010-11-29,42952924
2010-11-30,49860996
2010-12-01,58784331
2010-12-02,43693109
2010-12-03,45204114
2010-12-06,23975525
2010-12-07,34530567
2010-12-08,35245823
2010-12-09,41858886
2010-12-10,40759867
2010-12-13,33694634
2010-12-14,28438218
2010-12-15,32479470
2010-12-16,24053119
2010-12-17,28679152
2010-12-20,20273805
2010-12-21,20343394
2010-12-22,15287096
2010-12-23,11231712
2010-12-27,9173988
2010-12-28,16493288
2010-12-29,7996726
2010-12-30,13573746
2010-12-31,17185712
2011-01-03,23278391
2011-01-04,22689983
2011-01-05,26566642
2011-01-06,21897641
2011-01-07,23643729
2011-01-10,23565393
2011-01-11,20554922
2011-01-12,17599096
2011-01-13,31794193
2011-01-14,22991866
2011-01-18,27858172
2011-01-19,34834664
2011-01-20,24529365
2011-01-21,25372214
2011-01-24,55503380
2011-01-25,21588304
2011-01-26,30686748
2011-01-27,19893098
2011-01-28,25756208
2011-01-31,24677989
2011-02-01,26381551
2011-02-02,30306194
2011-02-03,22250810
2011-02-04,25157270
2011-02-07,26411283
2011-02-08,20506844
2011-02-09,21950677
2011-02-10,22602069
2011-02-11,23115956
2011-02-14,28644010
2011-02-15,42214209
2011-02-16,26453321
2011-02-17,47434881
2011-02-18,29468765
2011-02-22,31019239
2011-02-23,41301903
2011-02-24,47437401
2011-02-25,31108595
2011-02-28,29796628
2011-03-01,40356194
2011-03-02,29150490
2011-03-03,37445385
2011-03-04,33470588
2011-03-07,32323934
2011-03-08,25212467
2011-03-09,25792775
2011-03-10,31637241
2011-03-11,21539515
2011-03-14,28229782
2011-03-15,42482394
2011-03-16,46308937
2011-03-17,29669379
2011-03-18,33479788
2011-03-21,27444339
2011-03-22,26485644
2011-03-23,21348983
2011-03-24,22339743
2011-03-25,20223555
2011-03-28,24077237
2011-03-29,25800073
2011-03-30,21973323
2011-03-31,25987580
2011-04-01,25105927
2011-04-04,14560491
2011-04-05,21691365
2011-04-06,28925248
2011-04-07,24711767
2011-04-08,27710583
2011-04-11,25570674
2011-04-12,43741000
2011-04-13,55562532
2011-04-14,30460883
2011-04-15,32432464
2011-04-18,22385469
2011-04-19,21779257
2011-04-20,22951811
2011-04-21,22890696
2011-04-25,40598246
2011-04-26,43246777
2011-04-27,27634187
2011-04-28,36806717
2011-04-29,30196820
2011-05-02,31046322
2011-05-03,27319385
2011-05-04,36202548
2011-05-05,28068998
2011-05-06,32660026
2011-05-09,28084262
2011-05-10,23360621
2011-05-11,32743458
2011-05-12,30182948
2011-05-13,27115689
2011-05-16,25402471
2011-05-17,31231974
2011-05-18,26477277
2011-05-19,20790815
2011-05-20,21736281
2011-05-23,25447943
2011-05-24,29823294
2011-05-25,25684639
2011-05-26,28062499
2011-05-27,32080042
2011-05-31,27112802
2011-06-01,33584297
2011-06-02,38088839
2011-06-03,33682365
2011-06-06,21248563
2011-06-07,33829251
2011-06-08,66574520
2011-06-09,37397993
2011-06-10,29204810
2011-06-13,23820682
2011-06-14,23658446
2011-06-15,28385206
2011-06-16,37813124
2011-06-17,39667986
2011-06-20,56052925
2011-06-21,28398244
2011-06-22,26032453
2011-06-23,32993304
2011-06-24,22818076
2011-06-27,22892500
2011-06-28,34830891
2011-06-29,33535977
2011-06-30,27945951
2011-07-01,26832108
2011-07-05,24783593
2011-07-06,30949061
2011-07-07,31106211
2011-07-08,30321181
2011-07-11,24226774
2011-07-12,53444516
2011-07-13,43424334
2011-07-14,33708687
2011-07-15,41100339
2011-07-18,38851889
2011-07-19,30930589
2011-07-20,40116778
2011-07-21,30767437
2011-07-22,36332695
2011-07-25,50636322
2011-07-26,33052004
2011-07-27,49127783
2011-07-28,170881425
2011-07-29,143265405
2011-08-01,104183516
2011-08-02,77569227
2011-08-03,108540883
2011-08-04,116050763
2011-08-05,59142352
2011-08-08,149957077
2011-08-09,183112724
2011-08-10,131014250
2011-08-11,95486685
2011-08-12,74200331
2011-08-15,57456647
2011-08-16,53504659
2011-08-17,49745984
2011-08-18,78347382
2011-08-19,75364668
2011-08-22,74870683
2011-08-23,82297363
2011-08-24,86889420
2011-08-25,80554177
2011-08-26,75983004
2011-08-29,72396794
2011-08-30,69316787
2011-08-31,79615208
2011-09-01,72295283
2011-09-02,85920171
2011-09-06,54788048
2011-09-07,54451526
2011-09-08,46290477
2011-09-09,61801812
2011-09-12,55696970
2011-09-13,50907536
2011-09-14,51098506
2011-09-15,48050677
2011-09-16,82019367
2011-09-19,60843137
2011-09-20,62394317
2011-09-21,66464004
2011-09-22,119746966
2011-09-23,113900205
2011-09-26,72360977
2011-09-27,75850510
2011-09-28,48409059
2011-09-29,58715559
2011-09-30,79342049
2011-10-03,70257045
2011-10-04,62435721
2011-10-05,50787296
2011-10-06,36012860
2011-10-07,64333816
2011-10-10,30684490
2011-10-11,49214792
2011-10-12,62463455
2011-10-13,52266814
2011-10-14,40382578
2011-10-17,29143968
2011-10-18,32373071
2011-10-19,37257840
2011-10-20,39645962
2011-10-21,48222769
2011-10-24,44609237
2011-10-25,48992637
2011-10-26,52958255
2011-10-27,111315732
2011-10-28,59391918
2011-10-31,54729644
2011-11-01,80937687
2011-11-02,64241095
2011-11-03,78263150
2011-11-04,49336640
2011-11-07,38164085
2011-11-08,50678374
2011-11-09,46373572
2011-11-10,34860453
2011-11-11,26418567
2011-11-14,29932387
2011-11-15,35296483
2011-11-16,27624663
2011-11-17,58798645
2011-11-18,45466000
2011-11-21,69535105
2011-11-22,81106018
2011-11-23,66101023
2011-11-25,28288809
2011-11-28,61769724
2011-11-29,33077422
2011-11-30,55957901
2011-12-01,37022337
2011-12-02,43626856
2011-12-05,48702761
2011-12-06,24551872
2011-12-07,23085614
2011-12-08,44531323
2011-12-09,49251263
2011-12-12,43722088
2011-12-13,42995814
2011-12-14,49551085
2011-12-15,48211180
2011-12-16,61379215
2011-12-19,31435052
2011-12-20,33477692
2011-12-21,27822416
2011-12-22,30560639
2011-12-23,29016050
2011-12-27,19021707
2011-12-28,23148481
2011-12-29,19131733
2011-12-30,17789114
2012-01-03,35455503
2012-01-04,31885025
2012-01-05,43882241
2012-01-06,38907558
2012-01-09,23705505
2012-01-10,32324053
2012-01-11,37007326
2012-01-12,35187631
2012-01-13,25884835
2012-01-17,33467762
2012-01-18,33068706
2012-01-19,23066740
2012-01-20,31893272
2012-01-23,30081555
2012-01-24,18815695
2012-01-25,20844652
2012-01-26,26978551
2012-01-27,22113051
2012-01-30,24354712
2012-01-31,21215735
2012-02-01,29888093
2012-02-02,26034312
2012-02-03,25710197
2012-02-06,31667166
2012-02-07,31715268
2012-02-08,29748577
2012-02-09,30273891
2012-02-10,32299599
2012-02-13,29567803
2012-02-14,29024414
2012-02-15,30826864
2012-02-16,68699721
2012-02-17,44472919
2012-02-21,34444940
2012-02-22,38383081
2012-02-23,24612128
2012-02-24,20351238
2012-02-27,27571975
2012-02-28,30402627
2012-02-29,36595785
2012-03-01,28494950
2012-03-02,16920618
2012-03-05,21651441
2012-03-06,29918110
2012-03-07,19615087
2012-03-08,17120539
2012-03-09,26144960
2012-03-12,17122839
2012-03-13,33083229
2012-03-14,34293981
2012-03-15,31786715
2012-03-16,47885250
2012-03-19,36217422
2012-03-20,17655347
2012-03-21,33128262
2012-03-22,24176971
2012-03-23,21450888
2012-03-26,25977257
2012-03-27,17801125
2012-03-28,23218442
2012-03-29,16374828
2012-03-30,15775871
2012-04-02,19357820
2012-04-03,20149241
2012-04-04,33706982
2012-04-05,25107165
2012-04-09,24756288
2012-04-10,25372032
2012-04-11,20501523
2012-04-12,26629113
2012-04-13,18611562
2012-04-16,19374151
2012-04-17,19190048
2012-04-18,29049225
2012-04-19,35051239
2012-04-20,41791136
2012-04-23,28143238
2012-04-24,39688574
2012-04-25,28175455
2012-04-26,58533970
2012-04-27,143980913
2012-04-30,57074337
2012-05-01,37241263
2012-05-02,27797308
2012-05-03,31803588
2012-05-04,28813273
2012-05-07,31861924
2012-05-08,38172687
2012-05-09,32063518
2012-05-10,23391350
2012-05-11,33826478
2012-05-14,80163456
2012-05-15,33975183
2012-05-16,22509772
2012-05-17,33779099
2012-05-18,30712080
2012-05-21,20789933
2012-05-22,24202896
2012-05-23,43161189
2012-05-24,25242016
2012-05-25,22683085
2012-05-29,32869785
2012-05-30,36218009
2012-05-31,33684270
2012-06-01,42473448
2012-06-04,31049351
2012-06-05,40710987
2012-06-06,38919730
2012-06-07,54140325
2012-06-08,24999996
2012-06-11,19140898
2012-06-12,28361960
2012-06-13,25172450
2012-06-14,31920150
2012-06-15,34487437
2012-06-18,24859949
2012-06-19,26533423
2012-06-20,20747424
2012-06-21,55649976
2012-06-22,24190022
2012-06-25,44951139
2012-06-26,38843839
2012-06-27,40484617
2012-06-28,33916419
2012-06-29,45893137
2012-07-02,46311749
2012-07-03,11663993
2012-07-05,34206082
2012-07-06,27950822
2012-07-09,56391417
2012-07-10,56013739
2012-07-11,210010040
2012-07-12,87151567
2012-07-13,65049163
2012-07-16,39896588
2012-07-17,47790804
2012-07-18,50374911
2012-07-19,39221586
2012-07-20,51549550
2012-07-23,73445374
2012-07-24,72224988
2012-07-25,57934205
2012-07-26,95530205
2012-07-27,79840712
2012-07-30,41333112
2012-07-31,30261139
2012-08-01,40049646
2012-08-02,46613598
2012-08-03,35777071
2012-08-06,28247003
2012-08-07,24205396
2012-08-08,22649427
2012-08-09,16959166
2012-08-10,15329361
2012-08-13,19768659
2012-08-14,22988511
2012-08-15,21885050
2012-08-16,27133325
2012-08-17,26338939
2012-08-20,109351807
2012-08-21,52074081
2012-08-22,27059708
2012-08-23,37802559
2012-08-24,31316580
