dt,volume
2010-01-04,21840425
2010-01-05,33138856
2010-01-06,28797769
2010-01-07,16542800
2010-01-08,15905317
2010-01-11,20404839
2010-01-12,24334747
2010-01-13,75693346
2010-01-14,58109566
2010-01-15,49714887
2010-01-19,19813482
2010-01-20,30264883
2010-01-21,31619298
2010-01-22,34544692
2010-01-25,56531728
2010-01-26,31464079
2010-01-27,32519438
2010-01-28,33254381
2010-01-29,25592355
2010-02-01,19527812
2010-02-02,63054591
2010-02-03,13272642
2010-02-04,33524194
2010-02-05,24092488
2010-02-08,21360792
2010-02-09,33081211
2010-02-10,62866313
2010-02-11,38249814
2010-02-12,37569256
2010-02-16,23734150
2010-02-17,24941450
2010-02-18,23198100
2010-02-19,34206050
2010-02-22,28288636
2010-02-23,24006494
2010-02-24,17524877
2010-02-25,18803688
2010-02-26,29453658
2010-03-01,23791733
2010-03-02,21344019
2010-03-03,14491299
2010-03-04,30050552
2010-03-05,18469885
2010-03-08,21310413
2010-03-09,16487795
2010-03-10,23914625
2010-03-11,54058411
2010-03-12,38643729
2010-03-15,28097238
2010-03-16,48649812
2010-03-17,29523440
2010-03-18,17392277
2010-03-19,33487132
2010-03-22,34276517
2010-03-23,17207036
2010-03-24,25427489
2010-03-25,37805757
2010-03-26,36257242
2010-03-29,24200642
2010-03-30,20664842
2010-03-31,21113975
2010-04-01,33872363
2010-04-05,22822586
2010-04-06,29002839
2010-04-07,22603139
2010-04-08,19588368
2010-04-09,20873656
2010-04-12,11302847
2010-04-13,53604927
2010-04-14,21875094
2010-04-15,53203925
2010-04-16,27597681
2010-04-19,19941299
2010-04-20,18480424
2010-04-21,24144847
2010-04-22,37034125
2010-04-23,28227720
2010-04-26,23524425
2010-04-27,34590916
2010-04-28,118056985
2010-04-29,39716122
2010-04-30,34331645
2010-05-03,22248656
2010-05-04,41354521
2010-05-05,28534697
2010-05-06,41155510
2010-05-07,79214938
2010-05-10,80806626
2010-05-11,37065895
2010-05-12,16750100
2010-05-13,15660451
2010-05-14,32115945
2010-05-17,23524845
2010-05-18,37310873
2010-05-19,37167824
2010-05-20,88704737
2010-05-21,53330748
2010-05-24,33817383
2010-05-25,37408227
2010-05-26,32598658
2010-05-27,30701197
2010-05-28,14477534
2010-06-01,23183656
2010-06-02,27382058
2010-06-03,32592457
2010-06-04,51107940
2010-06-07,29175072
2010-06-08,69084293
2010-06-09,38879341
2010-06-10,31415946
2010-06-11,19485555
2010-06-14,27695086
2010-06-15,26948974
2010-06-16,18682101
2010-06-17,25618712
2010-06-18,16697676
2010-06-21,19837892
2010-06-22,16752328
2010-06-23,16678556
2010-06-24,15709330
2010-06-25,18472910
2010-06-28,17593170
2010-06-29,41654203
2010-06-30,40788306
2010-07-01,37174511
2010-07-02,38704146
2010-07-06,43547766
2010-07-07,26862533
2010-07-08,22657506
2010-07-09,21169557
2010-07-12,19720666
2010-07-13,37144106
2010-07-14,31634223
2010-07-15,38517936
2010-07-16,39971596
2010-07-19,34695788
2010-07-20,21881940
2010-07-21,24365126
2010-07-22,37642387
2010-07-23,30394459
2010-07-26,30100658
2010-07-27,37864367
2010-07-28,127167268
2010-07-29,51376733
2010-07-30,52899492
2010-08-02,43652186
2010-08-03,29494733
2010-08-04,28403906
2010-08-05,14949684
2010-08-06,23277994
2010-08-09,18421898
2010-08-10,38335520
2010-08-11,33838973
2010-08-12,27912681
2010-08-13,14165830
2010-08-16,20585599
2010-08-17,23517336
2010-08-18,20860773
2010-08-19,28896676
2010-08-20,24817802
2010-08-23,34749371
2010-08-24,50407261
2010-08-25,36667425
2010-08-26,27254965
2010-08-27,34031882
2010-08-30,18618325
2010-08-31,25523896
2010-09-01,27083881
2010-09-02,38528461
2010-09-03,34827934
2010-09-07,42539851
2010-09-08,35904978
2010-09-09,39000015
2010-09-10,31001318
2010-09-13,27244806
2010-09-14,26739093
2010-09-15,21014854
2010-09-16,15757780
2010-09-17,52777925
2010-09-20,37404411
2010-09-21,53968266
2010-09-22,45567055
2010-09-23,30920453
2010-09-24,32634437
2010-09-27,38014154
2010-09-28,31692553
2010-09-29,28654587
2010-09-30,33746207
2010-10-01,33499962
2010-10-04,21092853
2010-10-05,29401550
2010-10-06,23019802
2010-10-07,33751382
2010-10-08,22505736
2010-10-11,19804811
2010-10-12,26115631
2010-10-13,27997394
2010-10-14,30156136
2010-10-15,37809073
2010-10-18,30836787
2010-10-19,33554533
2010-10-20,27830887
2010-10-21,39616246
2010-10-22,36223342
2010-10-25,39637310
2010-10-26,74682490
2010-10-27,62328331
2010-10-28,36548189
2010-10-29,31095276
2010-11-01,66456001
2010-11-02,38116085
2010-11-03,31321205
2010-11-04,34645149
2010-11-05,51351962
2010-11-08,20041374
2010-11-09,25464271
2010-11-10,29944467
2010-11-11,30491353
2010-11-12,34956398
2010-11-15,41813387
2010-11-16,34926059
2010-11-17,34911248
2010-11-18,23234721
2010-11-19,18362536
2010-11-22,16530918
2010-11-23,19145224
2010-11-24,15615212
2010-11-26,5070298
2010-11-29,25624727
2010-11-30,14892330
2010-12-01,24821211
2010-12-02,26364427
2010-12-03,25702317
2010-12-06,17832325
2010-12-07,21515252
2010-12-08,28396451
2010-12-09,29879234
2010-12-10,11558743
2010-12-13,21402365
2010-12-14,13856464
2010-12-15,20262913
2010-12-16,25801140
2010-12-17,28456372
2010-12-20,13884931
2010-12-21,15472479
2010-12-22,23090894
2010-12-23,8746130
2010-12-27,17790136
2010-12-28,13101099
2010-12-29,10059424
2010-12-30,17757165
2010-12-31,28696323
2011-01-03,35992654
2011-01-04,27281347
2011-01-05,27422835
2011-01-06,21287787
2011-01-07,16094489
2011-01-10,19609004
2011-01-11,25611442
2011-01-12,19895386
2011-01-13,25489406
2011-01-14,18957719
2011-01-18,32425508
2011-01-19,34093031
2011-01-20,37908118
2011-01-21,19071429
2011-01-24,20345282
2011-01-25,29448999
2011-01-26,17307861
2011-01-27,26672623
2011-01-28,40202904
2011-01-31,26364291
2011-02-01,29905649
2011-02-02,19980759
2011-02-03,18986537
2011-02-04,13569346
2011-02-07,25197364
2011-02-08,32920486
2011-02-09,212157040
2011-02-10,47547838
2011-02-11,25990233
2011-02-14,20539789
2011-02-15,88034907
2011-02-16,28179277
2011-02-17,26674865
2011-02-18,26520445
2011-02-22,35718362
2011-02-23,58152360
2011-02-24,26937441
2011-02-25,26783166
2011-02-28,28748650
2011-03-01,37782358
2011-03-02,32297393
