dt,volume
2010-01-04,71454926
2010-01-05,98944102
2010-01-06,46479092
2010-01-07,31624573
2010-01-08,23156009
2010-01-11,27754611
2010-01-12,52119746
2010-01-13,37833346
2010-01-14,75035821
2010-01-15,42595696
2010-01-19,19619367
2010-01-20,53332359
2010-01-21,40525721
2010-01-22,30470657
2010-01-25,31269319
2010-01-26,23196990
2010-01-27,40499753
2010-01-28,29968554
2010-01-29,35002992
2010-02-01,29242520
2010-02-02,29202609
2010-02-03,28693664
2010-02-04,27954145
2010-02-05,31962385
2010-02-08,21357506
2010-02-09,23104073
2010-02-10,15256773
2010-02-11,37142443
2010-02-12,44089665
2010-02-16,25909762
2010-02-17,23648305
2010-02-18,46907985
2010-02-19,29292285
2010-02-22,22462496
2010-02-23,42796293
2010-02-24,41425149
2010-02-25,35953727
2010-02-26,54404211
2010-03-01,51197025
2010-03-02,27727934
2010-03-03,24544186
2010-03-04,19853402
2010-03-05,24914643
2010-03-08,33521886
2010-03-09,43415345
2010-03-10,37993719
2010-03-11,27285552
2010-03-12,31353016
2010-03-15,31632786
2010-03-16,41232340
2010-03-17,54401567
2010-03-18,25681858
2010-03-19,36486343
2010-03-22,61338399
2010-03-23,52065511
2010-03-24,61071012
2010-03-25,40398493
2010-03-26,46843140
2010-03-29,36691317
2010-03-30,33477877
2010-03-31,39533074
2010-04-01,58614914
2010-04-05,54925006
2010-04-06,46805831
2010-04-07,35590238
2010-04-08,69846890
2010-04-09,61691367
2010-04-12,43541293
2010-04-13,36925563
2010-04-14,53031796
2010-04-15,51079990
2010-04-16,47664689
2010-04-19,52443972
2010-04-20,52660953
2010-04-21,37337094
2010-04-22,44636048
2010-04-23,56574188
2010-04-26,46556667
2010-04-27,44140582
2010-04-28,35060261
2010-04-29,37721060
2010-04-30,65002448
2010-05-03,55641552
2010-05-04,51387504
2010-05-05,51779373
2010-05-06,67149361
2010-05-07,107318281
2010-05-10,46416015
2010-05-11,46479173
2010-05-12,28603322
2010-05-13,28922487
2010-05-14,29874784
2010-05-17,42221607
2010-05-18,57375477
2010-05-19,49456467
2010-05-20,61503846
2010-05-21,60252565
2010-05-24,35455101
2010-05-25,57264123
2010-05-26,50223130
2010-05-27,45813204
2010-05-28,41657083
2010-06-01,33968671
2010-06-02,31446124
2010-06-03,26598699
2010-06-04,40180799
2010-06-07,28632690
2010-06-08,47348629
2010-06-09,58004417
2010-06-10,40356445
2010-06-11,24892743
2010-06-14,42588358
2010-06-15,33422928
2010-06-16,35226399
2010-06-17,24898530
2010-06-18,28092386
2010-06-21,38456070
2010-06-22,24726702
2010-06-23,26248871
2010-06-24,57420792
2010-06-25,38579496
2010-06-28,35416275
2010-06-29,79253462
2010-06-30,40706992
2010-07-01,64102756
2010-07-02,34213704
2010-07-06,32041322
2010-07-07,37336414
2010-07-08,27388949
2010-07-09,31162242
2010-07-12,29408066
2010-07-13,40997662
2010-07-14,35341347
2010-07-15,37927354
2010-07-16,31467528
2010-07-19,31425756
2010-07-20,37505820
2010-07-21,44731675
2010-07-22,35597105
2010-07-23,27210610
2010-07-26,27452092
2010-07-27,24433414
2010-07-28,32175474
2010-07-29,42260943
2010-07-30,88045107
2010-08-02,40247706
2010-08-03,34584428
2010-08-04,33201380
2010-08-05,32218927
2010-08-06,29545334
2010-08-09,20899031
2010-08-10,33065398
2010-08-11,31694046
2010-08-12,33580472
2010-08-13,20715470
2010-08-16,20398764
2010-08-17,36018747
2010-08-18,32963085
2010-08-19,29054708
2010-08-20,26522302
2010-08-23,23920266
2010-08-24,37769605
2010-08-25,35862082
2010-08-26,26712797
2010-08-27,38039081
2010-08-30,19888810
2010-08-31,38872192
2010-09-01,51243883
2010-09-02,29184021
2010-09-03,47166120
2010-09-07,24058211
2010-09-08,23002218
2010-09-09,32177604
2010-09-10,17595488
2010-09-13,21251826
2010-09-14,19908689
2010-09-15,19641994
2010-09-16,16535903
2010-09-17,45201695
2010-09-20,45294787
2010-09-21,39185996
2010-09-22,35381690
2010-09-23,47362554
2010-09-24,70734133
2010-09-27,53829256
2010-09-28,45916546
2010-09-29,35372444
2010-09-30,38064626
2010-10-01,34175955
2010-10-04,82020955
2010-10-05,36237119
2010-10-06,37271201
2010-10-07,21932526
2010-10-08,62381702
2010-10-11,97990224
2010-10-12,110125413
2010-10-13,69579216
2010-10-14,38940251
2010-10-15,43064276
2010-10-18,22162158
2010-10-19,35790105
2010-10-20,40927326
2010-10-21,80194226
2010-10-22,30181382
2010-10-25,25615316
2010-10-26,24838024
2010-10-27,19596996
2010-10-28,37351780
2010-10-29,21781839
2010-11-01,38502008
2010-11-02,53382548
2010-11-03,82244363
2010-11-04,95663869
2010-11-05,46819221
2010-11-08,47150518
2010-11-09,45910112
2010-11-10,37137976
2010-11-11,24332436
2010-11-12,31927668
2010-11-15,30245851
2010-11-16,41034882
2010-11-17,47740331
2010-11-18,40504245
2010-11-19,62252339
2010-11-22,31815520
2010-11-23,27858759
2010-11-24,22412043
2010-11-26,7706572
2010-11-29,25943313
2010-11-30,22214385
2010-12-01,98555157
2010-12-02,57481383
2010-12-03,29817274
2010-12-06,19735665
2010-12-07,27297011
2010-12-08,30032424
2010-12-09,28992197
2010-12-10,17989772
2010-12-13,23427920
2010-12-14,24304589
2010-12-15,47477070
2010-12-16,64830510
2010-12-17,36757855
2010-12-20,30169209
2010-12-21,21473874
2010-12-22,21164817
2010-12-23,14865551
2010-12-27,16636554
2010-12-28,9873497
2010-12-29,12659638
2010-12-30,10907675
2010-12-31,20668073
2011-01-03,42771716
2011-01-04,53483632
2011-01-05,38427493
2011-01-06,30417289
2011-01-07,62292184
2011-01-10,33281941
2011-01-11,35129894
2011-01-12,26071074
2011-01-13,32631155
2011-01-14,21621254
2011-01-18,26629576
2011-01-19,40709117
2011-01-20,31583931
2011-01-21,23249897
2011-01-24,20442526
2011-01-25,23716688
2011-01-26,27379970
2011-01-27,25840610
2011-01-28,28031166
2011-01-31,25790647
2011-02-01,32128089
2011-02-02,20472470
2011-02-03,32357348
2011-02-04,34903731
2011-02-07,33112646
2011-02-08,67065519
2011-02-09,30598145
2011-02-10,28661746
2011-02-11,92818727
2011-02-14,30231585
2011-02-15,22711619
2011-02-16,20723756
2011-02-17,20690663
2011-02-18,17065627
2011-02-22,25668236
2011-02-23,36375057
2011-02-24,19622945
2011-02-25,18413904
2011-02-28,15345563
2011-03-01,42772442
2011-03-02,26620665
2011-03-03,33701865
2011-03-04,33945581
2011-03-07,28538148
2011-03-08,23297800
2011-03-09,23723390
2011-03-10,32968017
2011-03-11,27693251
2011-03-14,20790156
2011-03-15,36956686
2011-03-16,31842675
2011-03-17,18580361
2011-03-18,29846304
2011-03-21,37058266
2011-03-22,45022981
2011-03-23,26205272
2011-03-24,30468767
2011-03-25,34415966
2011-03-28,23156282
2011-03-29,17733782
2011-03-30,17898016
2011-03-31,18857157
2011-04-01,63133449
2011-04-04,36894022
2011-04-05,25236602
2011-04-06,34811312
2011-04-07,27020660
2011-04-08,17997667
2011-04-11,17794906
2011-04-12,18936951
2011-04-13,32775874
2011-04-14,20993333
2011-04-15,47176570
2011-04-18,35306867
2011-04-19,37432422
2011-04-20,91626237
2011-04-21,28987859
2011-04-25,19266510
2011-04-26,21668261
2011-04-27,21844572
2011-04-28,25055388
2011-04-29,24167545
2011-05-02,35990598
2011-05-03,19365731
2011-05-04,33098891
2011-05-05,19590231
2011-05-06,20429944
2011-05-09,15220881
2011-05-10,28304085
2011-05-11,31789876
2011-05-12,24421323
2011-05-13,22995179
2011-05-16,34014185
2011-05-17,31364233
2011-05-18,25438466
2011-05-19,24217472
2011-05-20,17414004
2011-05-23,25210659
2011-05-24,14425946
2011-05-25,24194028
2011-05-26,19198139
2011-05-27,16316275
2011-05-31,17348115
2011-06-01,34979793
2011-06-02,23837339
2011-06-03,27365817
2011-06-06,18802084
2011-06-07,36429413
2011-06-08,41415646
2011-06-09,27063570
2011-06-10,29573461
2011-06-13,32156505
2011-06-14,19171312
2011-06-15,20516128
2011-06-16,25563749
2011-06-17,28939785
2011-06-20,24520361
2011-06-21,24251843
2011-06-22,14236296
2011-06-23,28883322
2011-06-24,13861848
2011-06-27,19399181
2011-06-28,26797493
2011-06-29,25499045
2011-06-30,27812258
2011-07-01,38065698
2011-07-05,22458021
2011-07-06,23943836
2011-07-07,30839082
2011-07-08,29489406
2011-07-11,29396037
2011-07-12,26785090
2011-07-13,22794420
2011-07-14,24810296
2011-07-15,25833590
2011-07-18,38918997
2011-07-19,95909065
2011-07-20,34931143
2011-07-21,25619614
2011-07-22,24981121
2011-07-25,14494667
2011-07-26,10232394
2011-07-27,23700720
2011-07-28,34318084
2011-07-29,40106126
2011-08-01,39219309
2011-08-02,29870244
2011-08-03,46266620
2011-08-04,40713809
2011-08-05,29829468
2011-08-08,57933085
2011-08-09,61970504
2011-08-10,60127726
2011-08-11,42870531
2011-08-12,44457337
2011-08-15,31783216
2011-08-16,27504718
2011-08-17,39816183
2011-08-18,62774632
2011-08-19,48308434
2011-08-22,34072120
