dt,volume
2013-02-01,1307111970
2013-02-04,119381358
2013-02-05,63715797
2013-02-06,30003592
2013-02-07,44482134
2013-02-08,36420366
2013-02-11,20357563
2013-02-12,20045436
2013-02-13,17664315
2013-02-14,44168454
2013-02-15,25313067
2013-02-19,17385504
2013-02-20,19743801
2013-02-21,45693380
2013-02-22,15154902
2013-02-25,7802067
2013-02-26,12314662
2013-02-27,20550849
2013-02-28,28554331
2013-03-01,25279824
2013-03-04,11274454
2013-03-05,21678218
2013-03-06,9120898
2013-03-07,10483951
2013-03-08,16889764
2013-03-11,23369444
2013-03-12,21260697
2013-03-13,27374552
2013-03-14,27575239
2013-03-15,16262842
2013-03-18,31859752
2013-03-19,18480361
2013-03-20,27702669
2013-03-21,6338663
2013-03-22,11406290
2013-03-25,16196651
2013-03-26,14381437
2013-03-27,15608531
2013-03-28,35001457
2013-04-01,19433242
2013-04-02,8194328
2013-04-03,8605791
2013-04-04,13221707
2013-04-05,59886293
2013-04-08,23496002
2013-04-09,28149030
2013-04-10,11350938
2013-04-11,32220350
2013-04-12,10311796
2013-04-15,10389926
2013-04-16,26573311
2013-04-17,34192181
2013-04-18,6245727
2013-04-19,28284766
2013-04-22,12117320
2013-04-23,33802676
2013-04-24,58500630
2013-04-25,24709952
2013-04-26,14753866
2013-04-29,19374131
2013-04-30,57488324
2013-05-01,13860511
2013-05-02,12017678
2013-05-03,8144649
2013-05-06,6160880
2013-05-07,7925688
2013-05-08,10736475
2013-05-09,11656005
2013-05-10,7509934
2013-05-13,6405224
2013-05-14,11017432
2013-05-15,6552885
2013-05-16,16541699
2013-05-17,9667908
2013-05-20,8293341
2013-05-21,19114612
2013-05-22,216996502
2013-05-23,81562572
2013-05-24,90217446
2013-05-28,48844573
2013-05-29,40067868
2013-05-30,41049419
2013-05-31,34713323
2013-06-03,34137509
2013-06-04,58897449
2013-06-05,35758099
2013-06-06,27765385
2013-06-07,75099496
2013-06-10,68984672
2013-06-11,65343467
2013-06-12,102066716
2013-06-13,67608076
2013-06-14,132884092
2013-06-17,357114086
2013-06-18,291825692
2013-06-19,280949943
2013-06-20,178594968
2013-06-21,311039610
2013-06-24,382507289
2013-06-25,195363685
2013-06-26,157421030
2013-06-27,161691040
2013-06-28,239804636
2013-07-01,222526129
2013-07-02,119793018
2013-07-03,124369500
2013-07-05,152440554
2013-07-08,182755522
2013-07-09,116115296
2013-07-10,76054749
2013-07-11,60024473
2013-07-12,67534492
2013-07-15,45838065
2013-07-16,39444639
2013-07-17,31620564
2013-07-18,36730292
2013-07-19,107684339
2013-07-22,48772376
2013-07-23,70190200
2013-07-24,56009799
2013-07-25,42341204
2013-07-26,50512325
2013-07-29,29455364
2013-07-30,52878596
2013-07-31,40359873
2013-08-01,106935547
2013-08-02,54868809
2013-08-05,68438912
2013-08-06,202809557
2013-08-07,72995805
2013-08-08,153058831
2013-08-09,27752431
2013-08-12,68179747
2013-08-13,43279217
2013-08-14,42877355
2013-08-15,66334406
2013-08-16,48856043
2013-08-19,27585157
2013-08-20,43855794
2013-08-21,36620595
2013-08-22,36271620
2013-08-23,26463611
2013-08-26,49547483
2013-08-27,92594990
2013-08-28,82137836
2013-08-29,18584114
2013-08-30,15956938
2013-09-03,23848420
2013-09-04,25382440
2013-09-05,74515085
2013-09-06,48406862
2013-09-09,32167077
2013-09-10,64606861
2013-09-11,73245308
2013-09-12,30740374
2013-09-13,35426580
2013-09-16,108723217
2013-09-17,62667541
2013-09-18,39236356
2013-09-19,33419242
2013-09-20,40977385
2013-09-23,41058247
2013-09-24,24513632
2013-09-25,41210379
2013-09-26,29748637
2013-09-27,26784978
2013-09-30,25873782
2013-10-01,40966822
2013-10-02,29766072
2013-10-03,34780160
2013-10-04,74924637
2013-10-07,44377814
2013-10-08,47956160
2013-10-09,42630649
2013-10-10,45597908
2013-10-11,75215177
2013-10-14,29189836
2013-10-15,28033187
2013-10-16,42814505
2013-10-17,33708540
2013-10-18,43977381
2013-10-21,19067689
2013-10-22,32676395
2013-10-23,38970508
2013-10-24,31018203
2013-10-25,15095244
2013-10-28,33245374
2013-10-29,32988877
2013-10-30,42734838
2013-10-31,44745144
2013-11-01,82825096
2013-11-04,51154976
2013-11-05,82438694
2013-11-06,79358714
2013-11-07,57300208
2013-11-08,58189201
2013-11-11,40583310
2013-11-12,32845691
2013-11-13,31500717
2013-11-14,41000808
2013-11-15,38496590
2013-11-18,35453752
2013-11-19,38244593
2013-11-20,28149124
2013-11-21,28056106
2013-11-22,32557893
2013-11-25,53064982
2013-11-26,41320839
2013-11-27,26350550
2013-11-29,5179062
2013-12-02,39646790
2013-12-03,54650920
2013-12-04,42301652
2013-12-05,57394264
2013-12-06,37271639
2013-12-09,30402020
2013-12-10,30743852
2013-12-11,39580631
2013-12-12,36574040
2013-12-13,43686743
2013-12-16,30032149
2013-12-17,33404004
2013-12-18,34577001
2013-12-19,42720966
2013-12-20,46565791
2013-12-23,25882333
2013-12-24,4826732
2013-12-26,13292622
2013-12-27,10303955
2013-12-30,20849273
2013-12-31,28952012
2014-01-02,32572647
2014-01-03,25634379
2014-01-06,33993202
2014-01-07,24908884
2014-01-08,44427348
2014-01-09,30886551
2014-01-10,33191543
2014-01-13,34440916
2014-01-14,27633386
2014-01-15,36189683
2014-01-16,24849084
2014-01-17,29635207
2014-01-21,33530016
2014-01-22,87666803
2014-01-23,33573017
2014-01-24,49500587
2014-01-27,89573511
2014-01-28,51336485
2014-01-29,34708396
2014-01-30,49063908
2014-01-31,50568512
2014-02-03,60886848
2014-02-04,38818372
2014-02-05,41573452
2014-02-06,35861987
2014-02-07,51500892
2014-02-10,67254371
2014-02-11,467097229
2014-02-12,225434590
2014-02-13,95863040
2014-02-14,69311533
2014-02-18,55586271
2014-02-19,85861054
2014-02-20,68057404
2014-02-21,33567799
2014-02-24,34327801
2014-02-25,53736348
2014-02-26,43077841
2014-02-27,56262735
2014-02-28,53529729
2014-03-03,48237847
2014-03-04,61606479
2014-03-05,49111120
2014-03-06,37456457
2014-03-07,47559013
2014-03-10,34536840
2014-03-11,30961114
2014-03-12,49111353
2014-03-13,39733487
2014-03-14,51249522
2014-03-17,44467732
2014-03-18,40838755
2014-03-19,55236244
2014-03-20,36201569
2014-03-21,73621685
2014-03-24,62445150
2014-03-25,40435625
2014-03-26,40908002
2014-03-27,35159220
2014-03-28,84228336
2014-03-31,84587948
2014-04-01,47286667
2014-04-02,23307602
2014-04-03,38220404
2014-04-04,58522827
2014-04-07,53154637
2014-04-08,52529497
2014-04-09,42926117
2014-04-10,55558628
2014-04-11,35196887
2014-04-14,32627159
2014-04-15,40612020
2014-04-16,47118481
2014-04-17,46663511
2014-04-21,44282382
2014-04-22,107737151
2014-04-23,40926345
2014-04-24,51358224
2014-04-25,56264272
2014-04-28,50107596
2014-04-29,33722655
2014-04-30,48057720
2014-05-01,42358075
2014-05-02,43617228
2014-05-05,62352437
2014-05-06,83297814
2014-05-07,107591116
2014-05-08,29746781
2014-05-09,50044337
2014-05-12,25586694
2014-05-13,23007376
2014-05-14,24700177
2014-05-15,41927609
2014-05-16,39913572
2014-05-19,47596379
2014-05-20,30799672
2014-05-21,24512077
2014-05-22,69120030
2014-05-23,42550304
2014-05-27,30256459
2014-05-28,66752269
2014-05-29,29548512
2014-05-30,32880428
2014-06-02,36626208
2014-06-03,43450189
2014-06-04,38719097
2014-06-05,27892545
2014-06-06,30392417
2014-06-09,41043828
2014-06-10,59834106
2014-06-11,45591588
2014-06-12,34323237
2014-06-13,25683611
2014-06-16,24803348
2014-06-17,48208514
2014-06-18,32724602
2014-06-19,32885183
2014-06-20,106131672
2014-06-23,31849103
2014-06-24,18091063
2014-06-25,24748593
2014-06-26,29914853
2014-06-27,12631203
2014-06-30,14059530
2014-07-01,29914106
2014-07-02,22069743
2014-07-03,9752050
2014-07-07,30045299
2014-07-08,24971495
2014-07-09,16131837
2014-07-10,29074787
2014-07-11,20726932
2014-07-14,19709200
2014-07-15,28758258
2014-07-16,22009345
2014-07-17,28350534
2014-07-18,46612454
2014-07-21,29654588
2014-07-22,26308231
2014-07-23,21769481
2014-07-24,23890674
2014-07-25,20894496
2014-07-28,17976582
2014-07-29,33631648
2014-07-30,21784749
2014-07-31,33565838
2014-08-01,73906041
2014-08-04,57495624
2014-08-05,66702687
2014-08-06,35479803
2014-08-07,40775116
2014-08-08,26518984
2014-08-11,29088927
2014-08-12,30990027
2014-08-13,43600046
2014-08-14,26420830
2014-08-15,56797895
2014-08-18,36803156
2014-08-19,28276839
2014-08-20,32103348
2014-08-21,23551006
2014-08-22,22455902
2014-08-25,26518978
2014-08-26,38588359
2014-08-27,35654678
2014-08-28,62961035
2014-08-29,10846260
2014-09-02,20233704
2014-09-03,61944744
2014-09-04,32800210
2014-09-05,18042556
2014-09-08,18632540
2014-09-09,38374022
2014-09-10,32081192
2014-09-11,23135865
2014-09-12,18250562
2014-09-15,30825985
2014-09-16,20748676
2014-09-17,29273721
2014-09-18,29060910
2014-09-19,58862484
2014-09-22,66084288
2014-09-23,43729474
2014-09-24,50374153
2014-09-25,25897249
2014-09-26,22444533
2014-09-29,22225542
2014-09-30,42570916
2014-10-01,80266420
2014-10-02,49442215
2014-10-03,55565024
2014-10-06,36844415
2014-10-07,94084093
2014-10-08,35400328
2014-10-09,45361902
2014-10-10,45846516
2014-10-13,82613178
2014-10-14,41223586
2014-10-15,74804240
2014-10-16,56459825
2014-10-17,48203604
2014-10-20,30837470
2014-10-21,53666857
2014-10-22,27310685
2014-10-23,41204707
2014-10-24,16346652
2014-10-27,32101148
2014-10-28,15612664
2014-10-29,26050817
2014-10-30,16172076
2014-10-31,30603113
2014-11-03,56270416
2014-11-04,125003853
2014-11-05,156478668
2014-11-06,55501256
2014-11-07,69365113
2014-11-10,104893912
2014-11-11,84503258
2014-11-12,366372221
2014-11-13,87471652
2014-11-14,33929201
2014-11-17,148757749
2014-11-18,136707980
2014-11-19,87616959
2014-11-20,70413157
2014-11-21,63267900
2014-11-24,40519255
2014-11-25,30648128
2014-11-26,27162603
2014-11-28,10792811
2014-12-01,40173480
2014-12-02,34281036
2014-12-03,20811589
2014-12-04,43168989
2014-12-05,39404533
2014-12-08,31351669
2014-12-09,85042105
2014-12-10,45004140
2014-12-11,39455155
2014-12-12,38303156
2014-12-15,58434989
2014-12-16,50168989
2014-12-17,82957153
2014-12-18,83107990
2014-12-19,48853380
2014-12-22,21919281
2014-12-23,32351612
2014-12-24,11564353
2014-12-26,15803825
2014-12-29,23421049
2014-12-30,24972556
2014-12-31,24196649
2015-01-02,21957990
2015-01-05,41341707
2015-01-06,46040724
2015-01-07,29504798
2015-01-08,35604910
2015-01-09,26859139
2015-01-12,23923142
2015-01-13,34608866
2015-01-14,28669618
2015-01-15,33417030
2015-01-16,29002677
2015-01-20,38521002
2015-01-21,25201223
2015-01-22,24863596
2015-01-23,19600763
2015-01-26,23146878
2015-01-27,39985165
2015-01-28,26419282
2015-01-29,61756234
2015-01-30,28230416
2015-02-02,24375537
2015-02-03,50569986
2015-02-04,68538136
2015-02-05,43030814
2015-02-06,60300462
2015-02-09,46448990
2015-02-10,42156064
2015-02-11,110750622
2015-02-12,79823637
2015-02-13,90066888
2015-02-17,37384189
2015-02-18,35771591
2015-02-19,17490954
2015-02-20,39613233
2015-02-23,29183325
2015-02-24,19959534
2015-02-25,35574773
2015-02-26,79515593
2015-02-27,66382530
